"","EEG.Anlagenschluessel","Hersteller.der.Windenergieanlage","Typenbezeichnung","Leistung","Inbetriebnahmedatum.der.Einheit","Gemeindeschluessel","Koordinate..Breitengrad..WGS84.","Koordinate..Laengengrad..WGS84.","Nabenhoehe.der.Windenergieanlage","Rotordurchmesser.der.Windenergieanlage"
"851","E3025401WEA0004100045210000016707","ENERCON GmbH","E-115","3000 ","14.01.2020",7333028,"49,576024","7,746086","149","115.71"
"852","E32954010200000000001600120811217","Enron Wind GmbH","1.5 sl","1500 ","21.11.2001",7319000,"49,653727","8,293892","100","77"
"853","E31238010000030212000000704402583","ENERCON GmbH","E40"," 500","01.12.1998",7232293,"50,093103","6,438984","65","40"
"854","E31238010000030212000000704418670","ENERCON GmbH","E-66","1500 ","01.10.1999",7232293,"50,093885","6,437259","67","66"
"855","E31238010000000000000031464051056","ENERCON GmbH","E-82 E2","2300 ","06.09.2013",7232302,"50,322224","6,422498","138.38","82"
"856","E31238010000000000000050272000030","ENERCON GmbH","E66","1800 ","16.10.2003",7232292,"50,174399","6,3269","98","70"
"857","E31238010000000000000050272011489","ENERCON GmbH","E58","1000 ","30.07.2003",7232292,"50,171813","6,325573","89","58"
"858","E30568011000000000000002251100001","Schütz GmbH & Co. KGaA","VT110","3200 ","29.08.2017",7132113,"50,71272","7,947602","143.2","110"
"859","E31238010000000000000028961522400","Nordex Energy GmbH","N117","2400 ","20.11.2014",7140005,"50,123714","7,605051","141","117"
"860","E3123801V000000000000012802802672","ENERCON GmbH","E-82","2000 ","27.08.2010",7235141,"49,750245","6,768498","138","82"
"861","E31280100000000000000000251301517","GE Wind Energy GmbH","GE1.5sl","1500 ","27.06.2003",7134042,"49,596368","7,206811","85","77"
"862","E3025401WEA0004100036820000014665","ENERCON GmbH","E-82 E2","2300 ","16.12.2017",7335202,"49,379334","7,518551","138","82"
"863","E31238010000000000000028961522394","Nordex Energy GmbH","N117","2400 ","25.11.2014",7140005,"50,121888","7,602783","141","117"
"864","E3025401WEA0004100035720000014342","ENERCON GmbH","E-115","3000 ","30.03.2017",7334009,"49,125655","8,228392","149","115.7"
"865","E3025401WEA0004100035720000014343","ENERCON GmbH","E-115","3000 ","27.04.2017",7334009,"49,121215","8,230352","149","115.7"
"866","E3025401WEA0004100035720000014344","ENERCON GmbH","E-115","3000 ","30.05.2017",7334009,"49,124533","8,238278","149","115.7"
"867","E3025401WEA0004100035720000014345","ENERCON GmbH","E-115","3000 ","17.02.2017",7334009,"49,12524","8,24597","149","115.7"
"868","E31238010000000000000012063458671","ENERCON GmbH","E-48"," 800","24.06.2010",7233036,"50,267572","6,595617","76","48"
"869","E3025401WEA0004100035720000014346","ENERCON GmbH","E-115","3000 ","26.01.2017",7334009,"49,126866","8,253992","149","115.7"
"870","","ENERCON GmbH","E-66 / 18.70","1800 ","15.09.2004",7232305,"50,220281","6,531066","98.8","70"
"871","E32954010000000000003613500500006","ENERCON GmbH","E101"," ","26.09.2014",7339015,"","","135","101"
"872","E31238010000000000000055549250893","Nordex SE","S-70","1500 ","02.06.2005",7233232,"50,33411","6,463257","65","79"
"873","E31238010000000000000055549250900","Nordex SE","S-70","1500 ","28.06.2005",7233232,"50,336228","6,464064","65","70"
"874","E31238010000000000000055549250897","Nordex SE","S-70","1500 ","16.06.2005",7233232,"50,338326","6,465573","65","70"
"875","E31238010000000000000055549250896","Nordex SE","S-70","1500 ","11.06.2005",7233232,"50,336675","6,466976","65","70"
"876","E31238010000000000000055549250903","Nordex SE","S-70","1500 ","30.06.2005",7233232,"50,338493","6,468679","65","70"
"877","E31238010000000000000055549250898","Nordex SE","S-70","1500 ","23.06.2005",7233232,"50,339966","6,462373","65","70"
"878","E31238010000000000000055549250899","Nordex SE","S-70","1500 ","23.06.2005",7233232,"50,340322","6,46548","65","70"
"879","E31238010000000000000055549250904","Nordex SE","S-70","1500 ","06.07.2005",7233232,"50,34082","6,469039","65","70"
"880","E31238010000000000000055549250901","Nordex SE","S-70","1500 ","29.06.2005",7233232,"50,342373","6,467341","65","70"
"881","E31238010000000000000055549227987","Nordex SE","S-77","1500 ","11.05.2005",7232302,"50,318722","6,412223","85","77"
"882","E31238010000000000000055549250890","Nordex SE","S-77","1500 ","11.05.2005",7232302,"50,320529","6,417279","85","77"
"883","E31238010000000000000055549250891","Nordex SE","S-77","1500 ","26.05.2005",7232302,"50,321589","6,397124","85","77"
"884","E31238010000000000000055549250892","Nordex SE","S-77","1500 ","01.06.2005",7232302,"50,320783","6,393495","85","77"
"885","E31238010000000000000055549250894","Nordex SE","S-77","1500 ","02.06.2005",7232302,"50,320319","6,389756","85","77"
"886","E31238010000000000000055549250895","Nordex SE","S-77","1500 ","09.06.2005",7232302,"50,321655","6,382592","85","77"
"887","E31238010000000000000055549250913","Nordex SE","S-77","1500 ","11.10.2007",7232302,"50,322062","6,400723","85","77"
"888","E31238010000000000000055549250911","Nordex SE","S-77","1500 ","10.10.2007",7232302,"50,319867","6,384978","85","77"
"889","E31238010000000000000055549250914","Nordex SE","S-77","1500 ","17.10.2007",7232302,"50,308273","6,364768","85","77"
"890","E31238010000000000000055549250910","Nordex SE","S-77","1500 ","18.02.2007",7232302,"50,316179","6,411044","100","77"
