"","EEG.Anlagenschluessel","Hersteller.der.Windenergieanlage","Typenbezeichnung","Leistung","Inbetriebnahmedatum.der.Einheit","Gemeindeschluessel","Koordinate..Breitengrad..WGS84.","Koordinate..Laengengrad..WGS84.","Nabenhoehe.der.Windenergieanlage","Rotordurchmesser.der.Windenergieanlage"
"1","E31238010000000000000029577072006","Vestas Deutschland GmbH","V112-3.3MW","3300 ","14.03.2016",7135043,"50,252081","7,239221","119","112"
"2","E31102010000000000001274253800001","Fuhrländer AG","FUH15 G1 D250"," 250","29.11.1994",7143225,"50,694","7,725945","42","30"
"3","E31238010000000000000031719600309","Vestas Deutschland GmbH","V90","2000 ","06.09.2013",7232065,"49,103025","-4,194624","105","90"
"4","E31238010000000000000029577072007","Vestas Deutschland GmbH","V112-3.3MW","3300 ","17.03.2016",7135043,"50,389202","7,238948","119","112"
"5","E31238010000000000000029577072009","Vestas Deutschland GmbH","V112-3.3MW","3300 ","29.03.2016",7135043,"50,246862","7,243275","94","112"
"6","","BRAUN Windturbinen GmbH","Antaris 2,5 kW","3000 ","07.06.2018",7132073,"","","10","3"
"7","E3123801W000000000003160841212100","Vestas Deutschland GmbH","V136","3600 ","02.02.2019",7134082,"49,68639","7,521022","149","136"
"8","E31238010000000000000020589068586","ENERCON GmbH","E-82 E2","2300 ","09.11.2012",7339201,"49,754202","8,280162","138","82"
"9","E3123801W000000000003528601167290","Senvion Deutschland GmbH","SEN 3.2M114","3200 ","24.03.2018",7140014,"50,13803","7,587343","143","114"
"10","E3123801W000000000003160841212099","Vestas Deutschland GmbH","V136","3600 ","31.12.2018",7134082,"49,683209","7,519205","149","136"
"11","E31102010000000000001274404200001","ENERCON GmbH","E-40/5.40"," 500","24.09.1997",7143253,"50,705","7,9496","65","40.3"
"12","E31102010000000000002000249400012","ENERCON GmbH","E-70 E4","2000 ","19.06.2006",7143268,"50,608","7,7597","113.5","71"
"13","E31102010000000000001008269700002","ENERCON GmbH","E-40/5.40"," 500","13.08.1998",7143202,"50,6196","7,8544","65","40.3"
"14","E31102010000000000001008269700003","ENERCON GmbH","E-40/6.44 E1"," 600","22.09.2000",7143202,"50,6208","7,8527","65","44"
"15","E31238010000000000000020589068577","ENERCON GmbH","E-82 E2","2300 ","26.10.2012",7339201,"49,756982","8,287872","138","82"
"16","E31238010000000000000020589068578","ENERCON GmbH","E-82 E2","2300 ","08.11.2012",7339201,"49,754797","8,28932","138","82"
"17","E31238010000000000000020589068585","ENERCON GmbH","E-82 E2","2300 ","16.11.2012",7339201,"49,758067","8,293269","138","82"
"18","E31238010000000000000020589068580","ENERCON GmbH","E-82 E2","2300 ","02.12.2012",7339201,"49,755851","8,293995","138","82"
"19","E31238010000000000000020589038553","ENERCON GmbH","E-82 E2","2300 ","13.12.2012",7339201,"49,755387","8,277112","138","82"
"20","E31238010000000000000020589068581","ENERCON GmbH","E-82 E2","2300 ","14.12.2012",7339201,"49,749585","8,283978","138","82"
"21","E31238010000000000000020589068583","ENERCON GmbH","E-82 E2","2300 ","18.04.2013",7331015,"49,75404","8,271404","138","82"
"22","E31238010000000000000020589068575","ENERCON GmbH","E-82 E2","2300 ","11.03.2013",7331015,"49,751951","8,272588","138","82"
"23","E31238010000000000000020589068579","ENERCON GmbH","E-82 E2","2300 ","08.02.2013",7331015,"49,750232","8,274486","138","82"
"24","E31238010000000000000020589068576","ENERCON GmbH","E-82 E2","2300 ","30.01.2013",7331015,"49,747944","8,275065","138","82"
"25","E31238010000000000000020589068587","ENERCON GmbH","E-82 E2","2300 ","02.09.2013",7331002,"49,750218","8,289635","138","82"
"26","E31238010000000000000020589068584","ENERCON GmbH","E-82 E2","2300 ","06.09.2013",7331002,"49,753074","8,293326","138","82"
"27","E31238010000000000000020589068582","ENERCON GmbH","E-82 E2","2300 ","26.09.2013",7331002,"49,750967","8,296351","138","82"
"28","E31495010000000000060235572900000","ENERCON GmbH","E-53"," 800","20.12.2013",7141011,"50,246624","7,97376","73","53"
"29","E32954010200000000003616500511201","Nordex Energy GmbH","N43/600"," 600","09.06.1999",7331031,"49,738404","8,19873","77.5","43"
"30","E32954010200000000001600317015568","Vestas Deutschland GmbH","V112","3000 ","09.02.2012",7319000,"49,658572","8,286653","119","112"
"31","E32954010200000000001600317015566","Vestas Deutschland GmbH","V112","3000 ","24.01.2012",7319000,"49,65902","8,291696","119","112"
"32","E32954010200000000001600317015569","Vestas Deutschland GmbH","V112","3000 ","29.12.2011",7319000,"49,660986","8,299842","119","112"
"33","E32954010200000000001600317015563","Vestas Deutschland GmbH","V112","3000 ","22.02.2012",7319000,"49,657308","8,301973","119","112"
"34","E32954010200000000001600317015564","Vestas Deutschland GmbH","V112","3000 ","13.01.2012",7319000,"49,649227","8,271765","119","112"
"35","E32954010200000000001600317015567","Vestas Deutschland GmbH","V112","3000 ","09.02.2012",7319000,"49,652306","8,280835","119","112"
"36","E32954010200000000001600317015565","Vestas Deutschland GmbH","V112","3000 ","21.01.2012",7319000,"49,650905","8,28551","119","112"
"37","E31238010000000000000031144888144","ENERCON GmbH","E-82 E2","2300 ","18.12.2013",7140076,"50,003016","7,467705","138","82"
"38","E31102010000000000001274446800001","ENERCON GmbH","E-40/5.40"," 500","11.03.1996",7143291,"50,67","8,051","48","40.3"
"39","E3123801W000000000005258220151966","Nordex SE","N117/2400 PH141","2400 ","09.09.2017",7231006,"49,774174","6,959297","140.6","116.8"
"40","E31238010000000000000031144888142","ENERCON GmbH","E-82 E2","2300 ","20.12.2013",7140076,"50,003318","7,462672","138","82"
"41","E31238010000000000000021070019134","ENERCON GmbH","E126","7580 ","29.10.2012",7140125,"49,978479","7,682222","135","127"
"42","E31238010000000000000021070025269","ENERCON GmbH","E126","7580 ","28.12.2012",7140035,"49,963953","7,653295","135","127"
"43","E31238010000000000000021070019138","ENERCON GmbH","E101","3050 ","14.06.2013",7140035,"49,966809","7,650566","135.4","101"
"44","E31238010000000000000021070025246","ENERCON GmbH","E126","7580 ","22.11.2012",7140035,"49,967849","7,661163","135","127"
"45","E31238010000000000000021070025271","ENERCON GmbH","E126","7580 ","27.11.2012",7140035,"49,971947","7,665554","135","127"
"46","E31238010000000000000021070025254","ENERCON GmbH","E126","7580 ","17.12.2012",7140125,"49,976332","7,67461","135","127"
"47","E31238010000000000000021070019132","ENERCON GmbH","E101","3050 ","03.05.2013",7140125,"49,975627","7,667196","135.4","101"
"48","E31238010000000000000021070025273","ENERCON GmbH","E101","3050 ","12.04.2013",7140125,"49,983956","7,684542","135.4","101"
"49","E31238010000000000000021070025250","ENERCON GmbH","E101","3050 ","22.07.2013",7133023,"49,948864","7,676284","135.4","101"
"50","E31238010000000000000021070019141","ENERCON GmbH","E101","3050 ","29.08.2013",7133023,"49,947672","7,669612","135.4","101"
"51","E31238010000000000000021070083365","ENERCON GmbH","E101","3050 ","16.09.2013",7133023,"49,94473","7,664062","135.4","101"
"52","E31238010000000000000021070025274","ENERCON GmbH","E101","3050 ","19.08.2013",7133025,"49,944813","7,671252","135.4","101"
"53","E31238010000000000000021070060483","ENERCON GmbH","E101","3050 ","13.12.2012",7133025,"49,942203","7,665609","135.4","101"
"54","E3025401WEA0004100037160000015467","Nordex Energy GmbH","N117/3000","3000 ","30.01.2019",7333034,"49,60915","7,757556","141","117"
"55","E3025401WEA0004100037160000015468","Nordex Energy GmbH","N117/3000","3000 ","30.01.2019",7333034,"49,605765","7,758112","141","117"
"56","E3025401WEA0004100037160000015469","Nordex Energy GmbH","N117/3000","3000 ","30.01.2019",7333034,"49,606658","7,762519","141","117"
"57","E31238010000000000000052582251969","Nordex SE","N117/2400 PH141","2400 ","05.09.2017",7231006,"49,776099","6,968023","140.6","116.8"
"58","E31102010000000000001274439500001","ENERCON GmbH","E58"," 950","03.12.2003",7143243,"50,668215","8,032498","89","58"
"59","E00035056472000000000000012744409","Fuhrländer AG","FL 250"," 250","29.05.1996",7143291,"50","8","42",""
"60","E3123801W000000000000025131238865","ENERCON GmbH","E-92","2350 ","07.02.2019",7134042,"49,59997","7,212961","138","92"
"61","E31102010000000000001008269700001","ENERCON GmbH","E-40/5.40"," 500","07.08.1998",7143202,"50,6237","7,8508","65","40.3"
"62","E31102010000000000002000219900001","ENERCON GmbH","E-40/6.44 E3"," 600","20.06.2002",7143202,"50,6223","7,8513","65","44"
"63","E3123801W000000000005374811211081","Vestas Deutschland GmbH","Vestas V136 (3,6 MW)","3600 ","14.01.2019",7232262,"50,123982","6,319622","149","136"
"64","E3123801W000000000005374811211082","Vestas Deutschland GmbH","Vestas V136 (3,6 MW)","3600 ","09.01.2019",7232262,"50,124914","6,328064","149","136"
"65","E3123801W000000000005374811211083","Vestas Deutschland GmbH","Vestas V136 (3,6 MW)","3600 ","08.01.2019",7232201,"50,118336","6,325226","149","136"
"66","E3123801W000000000005374811211078","Vestas Deutschland GmbH","Vestas V136 (3,6 MW)","3600 ","04.02.2019",7232262,"50,127334","6,315615","149","136"
"67","E3123801W000000000005374811211079","Vestas Deutschland GmbH","Vestas V136 (3,6 MW)","3600 ","28.02.2019",7232262,"50,12932","6,325649","149","136"
"68","E3123801W000000000005374811211080","Vestas Deutschland GmbH","Vestas V136 (3,6 MW)","3600 ","18.02.2019",7232262,"50,131733","6,331616","149","136"
"69","E31238010000000000000021070019135","ENERCON GmbH","E101","3050 ","18.07.2013",7133023,"49,968903","7,673866","135.4","101"
"70","E31238010000000000000021070019140","ENERCON GmbH","E101","3050 ","13.06.2013",7133023,"49,974275","7,677972","135.4","101"
"71","E31238010000000000000021070025253","ENERCON GmbH","","3050 ","04.07.2013",7133023,"49,976692","7,687306","135.4","101"
"72","E31238010000000000000021070083374","ENERCON GmbH","E101","3050 ","09.09.2013",7140027,"49,999384","7,723401","135.4","101"
"73","E31238010000000000000021070084475","ENERCON GmbH","E101","3050 ","16.09.2013",7140027,"49,998801","7,728495","135.4","101"
"74","E3025401WEA0005000077080000006148","Senvion Deutschland GmbH","3.2M114","3170 ","14.02.2013",7333076,"49,690702","8,099436","143","114"
"75","E3025401WEA0005000077080000006149","Senvion Deutschland GmbH","3.2M114","3170 ","07.02.2013",7333076,"49,686434","8,099806","143","114"
"76","E3025401WEA0005000077080000006150","Senvion Deutschland GmbH","3.2M114","3170 ","29.12.2012",7333076,"49,683401","8,102827","143","114"
"77","E3025401WEA000000000HUNGERBERG004","Vestas Deutschland GmbH","Vestas V112","3075 ","31.01.2014",7333062,"49,658403","8,048717","140","112"
"78","E3123801W000000000005365291210281","Vestas Deutschland GmbH","V136","3600 ","01.02.2018",7232229,"50,168119","6,196456","149","136"
"79","E3123801W000000000005365291210284","Vestas Deutschland GmbH","V136","3600 ","21.02.2018",7232229,"50,172611","6,196207","149","136"
"80","E3123801W000000000005365291210283","Vestas Deutschland GmbH","V136","3600 ","23.02.2018",7232229,"50,171247","6,202702","149","136"
"81","E31102010000000000001274407700001","ENERCON GmbH","E-40/5.40"," 500","25.02.1997",7143253,"50,707","7,947","65","40.3"
"82","E31102010000000000001274406900001","AN-Maschinenbau- und Umweltschutzanlagen GmbH","AN Bonus 600/41"," 600","06.04.1995",7143253,"50,708","7,9456","50","41"
"83","E31238010000030212000001161911805","DeWind GmbH","De/600"," 500","28.06.1998",7233214,"50","6","70","46"
"84","E31238010000030212000001161901230","DeWind GmbH","D4/600"," 500","12.06.1998",7233214,"50","6","70","46"
"85","E31238010000030212000000859901229","DeWind GmbH","D4/600"," 600","19.11.1998",7232307,"50,140246","6,495148","70","48"
"86","E3025401WEA0005000093180000007504","ENERCON GmbH","E-82 E2","2300 ","29.07.2013",7340221,"49,168909","7,45952","138.4","82"
"87","E3025401WEA000000000HUNGERBERG006","Vestas Deutschland GmbH","Vestas V112","3075 ","27.12.2013",7333022,"49,65165","8,04569","140","112"
"88","E3025401WEA000000000HUNGERBERG005","Vestas Deutschland GmbH","Vestas V112","3075 ","31.01.2014",7333022,"49,654588","8,045203","140","112"
"89","E3025401WEA000000000HUNGERBERG008","Vestas Deutschland GmbH","Vestas V112","3075 ","13.02.2014",7333022,"49,656694","8,053087","140","112"
"90","E3025401WEA000000000HUNGERBERG010","Vestas Deutschland GmbH","Vestas V112","3075 ","10.12.2013",7333022,"49,650669","8,057692","140","112"
"91","E3025401WEA000000000HUNGERBERG007","Vestas Deutschland GmbH","Vestas V112","3075 ","10.12.2013",7333022,"49,648654","8,048865","140","112"
"92","E3025401WEA000000000HUNGERBERG001","Vestas Deutschland GmbH","Vestas V112","3075 ","27.12.2013",7333010,"49,647127","8,041429","140","112"
"93","E3025401WEA000000000HUNGERBERG009","Vestas Deutschland GmbH","Vestas V112","3075 ","29.12.2013",7333022,"49,652515","8,053542","140","112"
"94","E3025401WEA000000000HUNGERBERG012","Vestas Deutschland GmbH","Vestas V112","3075 ","18.11.2013",7333001,"49,648599","8,061971","140","112"
"95","E3025401WEA000000000HUNGERBERG013","Vestas Deutschland GmbH","Vestas V112","3075 ","03.12.2013",7333001,"49,647921","8,068149","140","112"
"96","E3025401WEA000000000HUNGERBERG011","Vestas Deutschland GmbH","Vestas V126","3300 ","28.11.2015",7333001,"49,646794","8,053501","137","126"
"97","","Vestas Deutschland GmbH","V47"," 660","01.09.1999",7235037,"49","6","65","47"
"98","E3025401WEA0005000093220000007507","ENERCON GmbH","E-82 E2","2300 ","19.07.2013",7340221,"49,169291","7,46407","138.4","82"
"99","E3025401WEA0005000093240000007509","ENERCON GmbH","E-82 E2","2300 ","16.08.2013",7340221,"49,166747","7,4593","138.4","82"
"100","E3025401WEA0005000093260000007510","ENERCON GmbH","E-82 E2","2300 ","02.08.2013",7340221,"49,167138","7,464524","138.4","82"
"101","E31238010000030212000001165350614","DeWind GmbH","D6/1000","1000 ","29.12.1999",7233214,"50","6","68.5","62"
"102","E31238010000030212000001165350623","DeWind GmbH","D6/1000","1000 ","17.04.2000",7233214,"50","6","68.5","62"
"103","E31238010000030212000001165350621","DeWind GmbH","D6/1000","1000 ","13.04.2000",7233214,"50","6","68.5","62"
"104","E31238010000030212000001165350620","DeWind GmbH","D6/1000","1000 ","30.03.2000",7233214,"50","6","68.5","62"
"105","E3025401WEA0004100034100000014178","Vestas Deutschland GmbH","V 126","3300 ","09.01.2017",7337038,"49,169511","8,231607","137","126"
"106","E3025401WEA0004100034100000014179","Vestas Deutschland GmbH","V 126","3300 ","19.01.2017",7334014,"49,176935","8,24701","137","126"
"107","E3025401WEA0004100034100000014180","Vestas Deutschland GmbH","V 126","3300 ","24.01.2017",7334014,"49,171414","8,257136","137","126"
"108","E33079010000000100000003563600001","ENERCON GmbH","E141","4200 ","20.11.2019",7315000,"49,942011","8,245619","159","141"
"109","E3025401WEA0004100034100000014181","Vestas Deutschland GmbH","V126","3300 ","20.01.2017",7337039,"49,171873","8,251491","137","126"
"110","","ENERCON GmbH","E-141 EP4","4200 ","23.12.2019",7231087,"49,828134","7,105327","159","141"
"111","","ENERCON GmbH","E-141 EP4","4200 ","09.04.2020",7231087,"49,83195","7,105998","159","141"
"112","","ENERCON GmbH","E-141 EP4","4200 ","30.12.2019",7231087,"49,827445","7,114934","159","141"
"113","","ENERCON GmbH","E-141 EP4","4200 ","13.09.2019",7231087,"49,836805","7,109132","159","141"
"114","","ENERCON GmbH","E-141 EP4","4200 ","28.11.2019",7231087,"49,832942","7,115527","159","141"
"115","","ENERCON GmbH","E-141 EP4","4200 ","29.08.2019",7231087,"49,837298","7,119586","159","141"
"116","","ENERCON GmbH","E-141 EP4","4200 ","27.09.2019",7231087,"49,841794","7,11777","159","141"
"117","E32954010000000000003610200900001","ENERCON GmbH","E-92","2350 ","23.12.2013",7339066,"49,773","8,302","138","92"
"118","E3025401WEA0004100034100000014182","Vestas Deutschland GmbH","V 126","3300 ","25.01.2017",7337038,"49,166003","8,239782","137","126"
"119","E3025401WEA0004100034100000014183","Vestas Deutschland GmbH","V 126","3300 ","12.01.2017",7337038,"49,170525","8,239301","137","126"
"120","E31238010000030212000001165350626","DeWind GmbH","D6/1000","1000 ","01.12.2000",7233214,"50,366772","6,420114","68.5","62"
"121","E31238010000030212000001165350624","NEG Micon Deutschland GmbH","NM60/1000","1000 ","26.10.2000",7233214,"50,339569","6,434389","70","60"
"122","E31238010000030212000001165350625","NEG Micon Deutschland GmbH","NM60/1000","1000 ","01.11.2000",7233214,"50,341214","6,434542","70","60"
"123","E3123801W000000000005297981208865","Vestas Deutschland GmbH","V126","3300 ","28.12.2017",7140094,"49,969778","7,379481","166","126"
"124","E3123801V000000000000031195984899","ENERCON GmbH","E 82","2300 ","12.09.2013",7140062,"50,01384","7,37215","138.38","82"
"125","E31238010000030212000001165350634","GE Wind Energy GmbH","GE 1,5s","1500 ","28.12.2000",7233235,"50,286172","6,498106","80","70"
"126","E31238010000030212000001165350635","GE Wind Energy GmbH","GE1.5s","1500 ","29.12.2000",7233235,"50,28731","6,506431","80","70"
"127","E31238010000030212000001165350631","GE Wind Energy GmbH","GE 15.5s","1500 ","21.12.2000",7233235,"50,291206","6,502439","80","70"
"128","E31238010000030212000001165350629","GE Wind Energy GmbH","GE 1.5s","1500 ","20.12.2000",7233235,"50,290231","6,507747","80","70"
"129","E31238010000030212000001165350633","GE Wind Energy GmbH","GE1.5s","1500 ","28.12.2000",7233235,"50,293297","6,509772","80","70"
"130","E31238010000030212000001165350630","GE Wind Energy GmbH","GE1.5s","1500 ","21.12.2000",7233235,"50,294714","6,528147","80","70"
"131","E31238010000030212000001165350632","GE Wind Energy GmbH","GE1.5s","1500 ","21.12.2000",7233235,"50,296772","6,506722","80","70"
"132","E31238010000030212000001165350627","GE Wind Energy GmbH","GE1.5s","1500 ","16.12.2000",7233235,"50,298678","6,50475","80","70"
"133","E31238010000030212000001165350628","GE Wind Energy GmbH","GE1.5s","1500 ","18.12.2000",7233235,"50,299","6,511461","80","70"
"134","E31238010000020170000009529211700","NEG Micon Deutschland GmbH","NM60/1000","1000 ","19.01.2001",7232045,"49,929547","6,363864","80","60"
"135","E31238010000020170000009529211702","NEG Micon Deutschland GmbH","NM60/1000","1000 ","28.12.2000",7232045,"49,933508","6,362125","80","60"
"136","E31238010000020170000009529211703","NEG Micon Deutschland GmbH","NM60/1000","1000 ","20.12.2000",7232045,"49,932317","6,366992","80","60"
"137","E31238010000020170000009529218880","NEG Micon Deutschland GmbH","NM60/1000","1000 ","21.12.2000",7232045,"49,937461","6,359925","80","60"
"138","E31238010000020170000009529218881","NEG Micon Deutschland GmbH","NM60/1000","1000 ","22.12.2000",7232045,"49,935781","6,362867","80","60"
"139","E31238010000020170000009529218882","NEG Micon Deutschland GmbH","NM60/1000","1000 ","20.12.2000",7232045,"49,93485","6,367317","80","60"
"140","E31238010000020170000009529218883","NEG Micon Deutschland GmbH","NM60/1000","1000 ","21.12.2000",7232045,"49,941467","6,364275","80","60"
"141","E31238010000020170000009529218884","NEG Micon Deutschland GmbH","NM60/1000","1000 ","21.12.2000",7232045,"49,938533","6,365394","80","60"
"142","E31238010000020170000009529218885","NEG Micon Deutschland GmbH","NM60/1000","1000 ","22.12.2000",7232045,"49,937806","6,369861","80","60"
"143","E31238010000020170000009529218886","NEG Micon Deutschland GmbH","NM60/1000","1000 ","20.12.2000",7232045,"49,940753","6,368419","80","60"
"144","E31238010000030212000001165350636","NEG Micon Deutschland GmbH","NM60/1000","1000 ","11.09.2001",7233214,"50,342806","6,464414","70","60"
"145","E3025401WEA00O4100036880000014696","Vestas Deutschland GmbH","V126","3450 ","27.03.2018",7336101,"49,461998","7,368058","137","126"
"146","E31238010000000000000032054536391","Vestas Deutschland GmbH","Vestas V112-3.0 MW","3075 ","30.12.2013",7140084,"50,132726","7,598708","140","112"
"147","E31102010000000000001274449200001","ENERCON GmbH","E-40/5.40"," 500","18.09.1997",7143243,"50,6683","8,0301","65","40.3"
"148","E3123801W000000000001624361171016","ENERCON GmbH","E-82","2300 ","06.12.2017",7131211,"50,411694","7,170454","108.38",""
"149","","ENERCON GmbH","E-82 E2","2300 ","07.02.2019",7331031,"49,716865","8,183006","108","82"
"150","E31102010000000000001278035900001","ENERCON GmbH","E-66/18.70","1800 ","30.03.2004",7143222,"50,653402","8,005816","85","70"
"151","","ENERCON GmbH","E-82 E2","2300 ","12.02.2019",7331031,"49,736197","8,193764","108","82"
"152","E31238010000000000000060638018548","Vestas Deutschland GmbH","V80","2000 ","31.12.2004",7232048,"50,064227","6,474845","100","80"
"153","E3123801V000000000000013889117229","Vestas Deutschland GmbH","V90","2000 ","27.07.2010",7232321,"50,130261","6,504964","95","90"
"154","E32954010000000000003623500815602","ENERCON GmbH","E-101","3050 ","10.05.2012",7331029,"49,815566","8,171645","135","101"
"155","E31238010000000000000032054536389","Vestas Deutschland GmbH","Vestas V112-3.0 MW","3075 ","03.02.2014",7140084,"50,129148","7,597385","140","112"
"156","E3123801V000000000000032519789456","Vestas Deutschland GmbH","V112-3.0 MW","3075 ","31.01.2014",7331021,"49,738802","8,013684","140","112"
"157","E3123801V000000000000032519687348","Vestas Deutschland GmbH","Vestas V112-3.0 MW","3075 ","30.12.2013",7331021,"49,746003","8,01959","140","112"
"158","E31238010000000000000012414595385","Vestas Deutschland GmbH","V90","2000 ","23.08.2010",7232321,"50,130956","6,509025","105","90"
"159","E31238010000000000000012414517226","Vestas Deutschland GmbH","V90","2000 ","29.07.2010",7232321,"50,128036","6,502308","105","90"
"160","E31238010000000000000012414517213","Vestas Deutschland GmbH","V90","2000 ","03.08.2010",7232321,"50,130503","6,500467","105","90"
"161","E31238010000000000000012414517209","Vestas Deutschland GmbH","","2000 ","05.08.2010",7232321,"50,12925","6,495508","105","90"
"162","E31238010000000000000012414517212","Vestas Deutschland GmbH","V90","2000 ","03.08.2010",7232321,"50,126578","6,497078","105","90"
"163","E31238010000000000000012414517207","Vestas Deutschland GmbH","V90","2000 ","20.08.2010",7232321,"50,128275","6,490794","105","90"
"164","E31238010000000000000060638018546","Vestas Deutschland GmbH","V80","2000 ","31.12.2004",7232048,"50,060706","6,469544","100","85"
"165","E31238010000000000000060638018544","Vestas Deutschland GmbH","V80","2000 ","31.12.2004",7232048,"50,057373","6,46837","100","85"
"166","E31238010000000000000060638018545","Vestas Deutschland GmbH","V80","2000 ","26.01.2005",7232048,"50,055874","6,472498","100","85"
"167","E31238010000000000000060638014133","Vestas Deutschland GmbH","V80","2000 ","03.02.2005",7232048,"50,054268","6,46739","100","85"
"168","E31238010000000000000060638009839","Vestas Deutschland GmbH","V80","2000 ","01.03.2005",7232048,"50,053553","6,473757","100","85"
"169","E31238010000000000000060638000677","Vestas Deutschland GmbH","V80","2000 ","05.03.2005",7232048,"50,051398","6,474987","100","85"
"170","E3123801W000000000005297981212893","Vestas Deutschland GmbH","V 126 NH 166","3300 ","19.12.2017",7140094,"49,968536","7,347306","166","126"
"171","E3123801W000000000005297981212895","Vestas Deutschland GmbH","V 126 NH 166","3300 ","11.12.2017",7140111,"49,966264","7,349703","166","126"
"172","E31102010000000000001274362300001","Fuhrländer AG","FL 800"," 800","09.07.1998",7143248,"50","7","70","48"
"173","E31102010000000000001273977400001","NEG Micon Deutschland GmbH","M570 200/40"," 200","26.11.1993",7143295,"50,670606","8,043634","36","27"
"174","E31238010000030212000000558701424","ENERCON GmbH","E40"," 500","30.09.1998",7232290,"50,1547","6,391396","65","40"
"175","E31238010000000000000051980701032","ENERCON GmbH","E40/6.44"," 600","23.10.2003",7232284,"50,160591","6,413087","78","44"
"176","E3123801V000000000000032519687351","Vestas Deutschland GmbH","Vestas V112-3.0 MW","3075 ","30.12.2013",7331021,"49,741697","8,023022","140","112"
"177","E3025401WEA0004100036880000014695","Vestas Deutschland GmbH","V126","3450 ","27.03.2018",7336101,"49,469213","7,368122","137","126"
"178","E3123801V000000000000032519787770","Vestas Deutschland GmbH","Vestas V112-3.0 MW","3075 ","30.12.2013",7331021,"49,745082","8,02455","140","112"
"179","E3123801V000000000000032519689461","Vestas Deutschland GmbH","Vestas V112-3.0 MW","3075 ","21.01.2014",7331021,"49,738066","8,022387","140","112"
"180","E3123801V000000000000032519689463","Vestas Deutschland GmbH","Vestas V112-3.0 MW","3075 ","23.01.2014",7331021,"49,741691","8,028782","140","112"
"181","E3123801V000000000000027432768487","Kenersys Europe GmbH","K110 – 2.4","2400 ","12.12.2012",7331030,"49,807167","8,020774","145","109"
"182","E3123801V000000000000027432370736","Kenersys Europe GmbH","K110 – 2.4","2400 ","14.02.2013",7331030,"49,813432","8,018174","145","109"
"183","E32954010200000000001600120811216","GE Wind Energy GmbH","GE-1,5SL","1500 ","13.11.2001",7319000,"49,653086","8,302393","85","77"
"184","E32954010200000000001600120811218","GE Wind Energy GmbH","GE-1,5SL","1500 ","21.11.2001",7319000,"49,653146","8,297462","85","77"
"185","E32954010200000000003624100111195","ENERCON GmbH","Enercon E-40"," 500","17.05.1997",7331061,"49,81344","8,117547","65","40"
"186","E32954010200000000003624100111194","ENERCON GmbH","Enercon E-40"," 500","21.05.1997",7331061,"49,815521","8,116954","65","40"
"187","E32954010200000000003624100111196","ENERCON GmbH","Enercon E-40"," 500","23.05.1997",7331061,"49,817502","8,116139","65","40"
"188","E32954010200000000003624100111197","ENERCON GmbH","Enercon E-40"," 500","08.10.1998",7331061,"49,819148","8,11629","65","40"
"189","E32954010200000000003624100111198","ENERCON GmbH","Enercon E-40"," 500","09.10.1998",7331061,"49,821108","8,116296","65","40"
"190","E31238010000000000000076713230900","ENERCON GmbH","E-70","2000 ","17.07.2007",7140204,"50,032525","7,344494","98","70"
"191","E31238010000000000000076713250972","ENERCON GmbH","E-70","2000 ","06.07.2007",7140204,"50,044869","7,343736","98","70"
"192","E31238010000000000000076713250973","ENERCON GmbH","E-70","2000 ","29.06.2007",7140204,"50,049398","7,345496","98","70"
"193","E31238010000000000000076713250974","ENERCON GmbH","E-70","2000 ","01.08.2007",7140204,"50,032525","7,344494","85","70"
"194","E31238010000000000000076713250975","ENERCON GmbH","E-70","2000 ","03.08.2007",7140204,"50,035206","7,343592","98","70"
"195","E31238010000000000000076713250976","ENERCON GmbH","E-70","2000 ","09.08.2007",7140204,"50,040661","7,343004","85","70"
"196","E31238010000000000000076713250977","ENERCON GmbH","E-70","2000 ","10.08.2007",7140204,"50,046899","7,343136","114","70"
"197","E31238010000000000000076713293227","ENERCON GmbH","E-82","2300 ","07.09.2010",7140204,"50,047718","7,334544","98","82"
"198","E31238010000000000000076713293229","ENERCON GmbH","E-82","2300 ","26.08.2010",7140204,"50,052475","7,333671","108","82"
"199","E31238010000000000000076713293828","ENERCON GmbH","E-82","2300 ","26.08.2010",7140204,"50,050187","7,334054","108","82"
"200","E3123801V000000000000031196276461","ENERCON GmbH","E-101","3050 ","21.10.2014",7140009,"50,044244","7,372994","135","101"
"201","E3123801V000000000000031196276462","ENERCON GmbH","E-101","3050 ","31.10.2014",7140009,"50,041611","7,377664","138",""
"202","E3123801V000000000000031195984900","ENERCON GmbH","E 82","2300 ","12.09.2013",7140062,"50,01759","7,378417","138.38","82"
"203","E3025401WEA0ENERGIEPARKGOLLHEIM01","Vestas Deutschland GmbH","V112","3075 ","18.07.2014",7333026,"49,58874","8,075503","140","112"
"204","E31238010000000000000022292270704","Vestas Deutschland GmbH","Vestas V112-3.0 MW","3075 ","15.01.2013",7140021,"50,083059","7,404963","140","112"
"205","E31238010000000000000022292206214","Vestas Deutschland GmbH","Vestas V112-3.0 MW","3075 ","22.12.2012",7140021,"50,080959","7,409925","140","112"
"206","E31238010000000000000022292270705","Vestas Deutschland GmbH","Vestas V112-3.0 MW","3075 ","18.12.2012",7140021,"50,078539","7,411878","140","112"
"207","E31238010000000000000022277370792","Vestas Deutschland GmbH","Vestas V112-3.0 MW","3075 ","09.11.2012",7140123,"50,013507","7,439135","140","112"
