"","gem","plz","ort","leistung","inbetriebnahme","eiccode","bnetznr","anlagenschluessel","menge_kwh","lk_nr","lk_name","flh","menge_mwh","vg_nr","vg_name"
"268",714301243,56472,"Hof",500,1997-09-19,"11YR000000018725",10001102,"E31102010000000000001274442500001",668465.5,7143,"Westerwald",1336.931,668,"714301","Bad Marienberg"
"269",714306291,56479,"Salzburg",500,1996-03-06,"11YR000000018725",10001102,"E31102010000000000001274443300001",829245.25,7143,"Westerwald",1658.4905,829,"714306","Rennerod"
"270",714306291,56479,"Salzburg",250,1995-09-28,"11YR000000018725",10001102,"E31102010000000000001274444100001",298593.53,7143,"Westerwald",1194.37412,299,"714306","Rennerod"
"271",714306291,56479,"Salzburg",500,1996-03-11,"11YR000000018725",10001102,"E31102010000000000001274446800001",731240.75,7143,"Westerwald",1462.4815,731,"714306","Rennerod"
"272",714301243,56472,"Hof",100,1993-02-25,"11YR000000018725",10001102,"E31102010000000000001274448400001",73006.5,7143,"Westerwald",730.065,73,"714301","Bad Marienberg"
"273",714301243,56472,"Hof",100,1993-02-25,"11YR000000018725",10001102,"E31102010000000000001274448400002",73006.5,7143,"Westerwald",730.065,73,"714301","Bad Marienberg"
"274",714301243,56472,"Hof",500,1997-09-18,"11YR000000018725",10001102,"E31102010000000000001274449200001",807690.5,7143,"Westerwald",1615.381,808,"714301","Bad Marienberg"
"275",714301277,56472,"Nisterau",500,1997-02-28,"11YR000000018725",10001102,"E31102010000000000001274450600001",749118,7143,"Westerwald",1498.236,749,"714301","Bad Marienberg"
"333",723507501,54298,"Welschbillig",1300,2000-10-19,"11YR00000003039P",10003764,"E31238010000000000000000832515818",1513216,7235,"Trier-Saarburg",1164.01230769231,1513,"723507","Trier-Land"
"334",723507501,54298,"Welschbillig",1300,2000-10-11,"11YR00000003039P",10003764,"E31238010000000000000000832518851",1495735,7235,"Trier-Saarburg",1150.56538461538,1496,"723507","Trier-Land"
"335",723507501,54298,"Welschbillig",1300,2000-10-12,"11YR00000003039P",10003764,"E31238010000000000000000832518852",1420579,7235,"Trier-Saarburg",1092.75307692308,1421,"723507","Trier-Land"
"337",723507501,54298,"Welschbillig",1300,2000-10-19,"11YR00000003039P",10003764,"E31238010000000000000000832518854",1593567,7235,"Trier-Saarburg",1225.82076923077,1594,"723507","Trier-Land"
"338",723507501,54298,"Welschbillig",1500,2000-12-27,"11YR00000003039P",10003764,"E31238010000000000000000832518855",1711244,7235,"Trier-Saarburg",1140.82933333333,1711,"723507","Trier-Land"
"339",723507501,54298,"Welschbillig",1500,2000-12-29,"11YR00000003039P",10003764,"E31238010000000000000000832518856",1680107,7235,"Trier-Saarburg",1120.07133333333,1680,"723507","Trier-Land"
"340",723507501,54298,"Welschbillig",1500,2000-12-21,"11YR00000003039P",10003764,"E31238010000000000000000832518857",1797538,7235,"Trier-Saarburg",1198.35866666667,1798,"723507","Trier-Land"
"782",723206231,54597,"Habscheid",500,1998-10-05,"11YR00000003039P",10003764,"E31238010000000000000038538618906",627137,7232,"Eifelkreis Bitburg-Pr?m",1254.274,627,"723206","Pr?m"
"1027",714004159,55491,"Wahlenau",600,1997-12-22,"11YR00000003039P",10003764,"E31238010000010120000008484301512",665722,7140,"Rhein-Hundsr?ck",1109.53666666667,666,"714004","Kirchberg (Hunsr?ck)"
"1028",714008027,55494,"Dichtelbach",1500,1999-08-01,"11YR00000003039P",10003764,"E31238010000010120000008529201417",2314690.7,7140,"Rhein-Hundsr?ck",1543.12713333333,2315,"714008","Simmern-Rheinb?llen"
"1029",714008027,55494,"Dichtelbach",1800,2000-11-01,"11YR00000003039P",10003764,"E31238010000010120000008529201418",2323194.04,7140,"Rhein-Hundsr?ck",1290.66335555556,2323,"714008","Simmern-Rheinb?llen"
"1031",723205225,54298,"Gilzem",1000,2000-06-30,"11YR00000003039P",10003764,"E31238010000010170000000298001456",1180388,7232,"Eifelkreis Bitburg-Pr?m",1180.388,1180,"723205","S?deifel"
"1034",723503106,54331,"Pellingen",1300,1999-12-16,"11YR00000003039P",10003764,"E31238010000010170000001432611721",1694940,7235,"Trier-Saarburg",1303.8,1695,"723503","Konz"
"1036",723508072,54316,"Lampaden",1300,1999-12-16,"11YR00000003039P",10003764,"E31238010000010170000001432618841",1694940,7235,"Trier-Saarburg",1303.8,1695,"723508","Saarburg-Kell"
"1037",723508072,54316,"Lampaden",1300,1999-12-16,"11YR00000003039P",10003764,"E31238010000010170000001432618842",1694940,7235,"Trier-Saarburg",1303.8,1695,"723508","Saarburg-Kell"
"1038",723508072,54316,"Lampaden",1300,2000-07-15,"11YR00000003039P",10003764,"E31238010000010170000001432618843",1797895,7235,"Trier-Saarburg",1382.99615384615,1798,"723508","Saarburg-Kell"
"1039",723504037,54317,"Gusterath",1300,2000-12-28,"11YR00000003039P",10003764,"E31238010000010170000001432618844",1797895,7235,"Trier-Saarburg",1382.99615384615,1798,"723504","Ruwer"
"1041",723504037,54317,"Gusterath",660,1999-09-01,"11YR00000003039P",10003764,"E31238010000010170000002251800039",1042853,7235,"Trier-Saarburg",1580.0803030303,1043,"723504","Ruwer"
"1042",723504037,54317,"Gusterath",660,1999-09-01,"11YR00000003039P",10003764,"E31238010000010170000002251818492",1042853,7235,"Trier-Saarburg",1580.0803030303,1043,"723504","Ruwer"
"1043",723504037,54317,"Gusterath",660,2000-08-24,"11YR00000003039P",10003764,"E31238010000010170000002251818493",1042853,7235,"Trier-Saarburg",1580.0803030303,1043,"723504","Ruwer"
"1044",723504037,54317,"Gusterath",270,1995-04-21,"11YR00000003039P",10003764,"E31238010000010170000002253311482",137294,7235,"Trier-Saarburg",508.496296296296,137,"723504","Ruwer"
"1053",714003010,56290,"Beltheim",600,1997-06-20,"11YR00000003039P",10003764,"E31238010000020120000007635809808",708085,7140,"Rhein-Hundsr?ck",1180.14166666667,708,"714003","Kastellaun"
"1054",723101070,54483,"Kleinich",1000,1999-03-10,"11YR00000003039P",10003764,"E31238010000020170000000172817172",1451143,7231,"Bernkastel-Wittlich",1451.143,1451,"723101","Bernkastel-Kues"
"1055",723208048,54636,"Heilenbach",510,1997-06-10,"",10003764,"E31238010000020170000006822801191",509502,7232,"Eifelkreis Bitburg-Pr?m",999.023529411765,510,"723208","Bitburger Land"
"1056",723208313,54655,"Steinborn",270,1995-08-25,"11YR00000003039P",10003764,"E31238010000020170000007828501185",239478,7232,"Eifelkreis Bitburg-Pr?m",886.955555555556,239,"723208","Bitburger Land"
"1057",723205068,54673,"Koxhausen",500,1994-09-07,"11YR00000003039P",10003764,"E31238010000020170000008995100041",643579,7232,"Eifelkreis Bitburg-Pr?m",1287.158,644,"723205","S?deifel"
"1058",723205056,54673,"Hütten",500,1994-09-06,"11YR00000003039P",10003764,"E31238010000020170000008995119010",643579,7232,"Eifelkreis Bitburg-Pr?m",1287.158,644,"723205","S?deifel"
"1059",723205056,54673,"Hütten",500,1994-06-14,"11YR00000003039P",10003764,"E31238010000020170000008995119012",643579,7232,"Eifelkreis Bitburg-Pr?m",1287.158,644,"723205","S?deifel"
"1060",723205068,54673,"Koxhausen",500,1994-03-25,"11YR00000003039P",10003764,"E31238010000020170000009043109633",641234,7232,"Eifelkreis Bitburg-Pr?m",1282.468,641,"723205","S?deifel"
"1061",723205068,54673,"Koxhausen",500,1994-03-24,"11YR00000003039P",10003764,"E31238010000020170000009043119002",641234,7232,"Eifelkreis Bitburg-Pr?m",1282.468,641,"723205","S?deifel"
"1062",723205068,54673,"Koxhausen",500,1994-06-09,"11YR00000003039P",10003764,"E31238010000020170000009043119003",641234,7232,"Eifelkreis Bitburg-Pr?m",1282.468,641,"723205","S?deifel"
"1063",723205073,54673,"Leimbach",500,1994-10-04,"11YR00000003039P",10003764,"E31238010000020170000009048200040",629116,7232,"Eifelkreis Bitburg-Pr?m",1258.232,629,"723205","S?deifel"
