"","gem","plz","ort","leistung","inbetriebnahme","anlagenschluessel","menge_kwh","flh","menge_mwh"
"1",731700000,66955,"Pirmasens",1500,2003-11-03,"E301610166955AAAD1001086600000000",2932902,1955.268,2933
"2",733307078,67823,"Unkenbach",1000,2000-08-22,"E30254010000000000005230787201686",1515606,1515.606,1516
"3",733511031,66851,"Oberarnbach",1000,1999-10-27,"E30254010000000000005230787301688",1690809,1690.809,1691
"4",733511031,66851,"Oberarnbach",1000,2001-12-31,"E30254010000000000005230787301689",1690811,1690.811,1691
"5",733511031,66851,"Oberarnbach",1000,2000-05-29,"E30254010000000000005230787306704",1690811,1690.811,1691
"6",734003053,66957,"Vinningen",1650,2001-07-25,"E30254010000000000005230787601693",1286879,779.926666666667,1287
"7",734003053,66957,"Vinningen",1650,2000-12-06,"E30254010000000000005230787606677",1286882,779.928484848485,1287
"8",733510029,67700,"Niederkirchen",500,2000-11-23,"E30254010000000000005230787721589",898278,1796.556,898
"9",733207044,67311,"Tiefenthal",1800,2001-09-21,"E30254010000000000005230788001702",3254568,1808.09333333333,3255
"10",733207044,67311,"Tiefenthal",1800,2001-09-19,"E30254010000000000005230788004100",3112976,1729.43111111111,3113
"11",713301030,67824,"Feilbingert",600,2001-07-09,"E30254010000000000005230788101704",732484,1220.80666666667,732
"12",713301030,67824,"Feilbingert",600,2001-07-09,"E30254010000000000005230788101705",732484,1220.80666666667,732
"13",713301030,67824,"Feilbingert",600,2001-07-09,"E30254010000000000005230788104101",732480,1220.8,732
"14",734009216,66894,"Krähenberg",660,2001-09-06,"E30254010000000000005230788206674",993959,1505.99848484848,994
"15",734009055,66919,"Weselberg",1800,2002-06-27,"E30254010000000000005230788301708",3170562,1761.42333333333,3171
"16",734009055,66919,"Weselberg",1380,2002-06-04,"E30254010000000000005230788301709",2445573,1772.15434782609,2446
"17",734009055,66919,"Weselberg",1800,2002-01-15,"E30254010000000000005230788306675",3170560,1761.42222222222,3171
"18",733608087,67753,"Rothselberg",1600,2003-12-19,"E30254010000000000005230788501717",1073544,670.965,1074
"19",733207029,67271,"Kindenheim",1800,2003-07-24,"E30254010000000000005230788601719",2518435,1399.13055555556,2518
"20",733207029,67271,"Kindenheim",1800,2003-07-17,"E30254010000000000005230788601720",2518435,1399.13055555556,2518
"21",733207029,67271,"Kindenheim",1800,2003-07-30,"E30254010000000000005230788607050",2518436,1399.13111111111,2518
"22",733511037,66851,"Queidersbach",2000,2002-06-12,"E30254010000000000005230788701721",3308188,1654.094,3308
"23",733401001,76756,"Bellheim",1500,2003-12-21,"E30254010000000000005230789301729",2282789,1521.85933333333,2283
"24",733401001,76756,"Bellheim",1500,2003-12-21,"E30254010000000000005230789301730",2282789,1521.85933333333,2283
"25",733401001,76756,"Bellheim",1500,2003-12-17,"E30254010000000000005230789306702",2282790,1521.86,2283
"26",733510033,67737,"Olsbrücken",1800,2004-07-16,"E30254010000000000005230789401732",2073185,1151.76944444444,2073
"27",733510033,67737,"Olsbrücken",1800,2004-07-27,"E30254010000000000005230789401733",2073177,1151.765,2073
"28",733510029,67700,"Niederkirchen",2000,2005-03-24,"E30254010000000000005230789401734",2554238,1277.119,2554
"29",733510029,67700,"Niederkirchen",2000,2005-03-24,"E30254010000000000005230789401735",2554238,1277.119,2554
"30",733510029,67700,"Niederkirchen",2000,2004-11-30,"E30254010000000000005230789401736",2554238,1277.119,2554
"31",733510029,67700,"Niederkirchen",2000,2004-12-02,"E30254010000000000005230789401737",2554238,1277.119,2554
"32",733510029,67700,"Niederkirchen",2000,2006-03-22,"E30254010000000000005230789401738",2882998,1441.499,2883
"33",733510029,67700,"Niederkirchen",2000,2006-05-08,"E30254010000000000005230789401739",2882998,1441.499,2883
"34",733510029,67700,"Niederkirchen",2000,2006-03-30,"E30254010000000000005230789401740",2882998,1441.499,2883
"35",733510029,67700,"Niederkirchen",2000,2006-05-18,"E30254010000000000005230789401741",2882998,1441.499,2883
"36",733510029,67700,"Niederkirchen",2000,2006-05-24,"E30254010000000000005230789401742",2882998,1441.499,2883
"37",733510029,67700,"Niederkirchen",2000,2006-04-07,"E30254010000000000005230789401743",2882992,1441.496,2883
"38",733608036,67753,"Hefersweiler",2300,2009-01-08,"E30254010000000000005230789408782",2344728,1019.44695652174,2345
"39",733608036,67753,"Hefersweiler",2300,2009-01-13,"E30254010000000000005230789408817",2344728,1019.44695652174,2345
"40",733608085,67753,"Reipoltskirchen",2300,2009-01-14,"E30254010000000000005230789408818",2344719,1019.44304347826,2345
"41",733608086,67753,"Relsberg",2300,2009-01-12,"E30254010000000000005230789408838",2344728,1019.44695652174,2345
"42",733704039,76863,"Herxheimweyher",1500,2005-10-01,"E30254010000000000005230789801746",2411405,1607.60333333333,2411
"43",733704039,76863,"Herxheimweyher",1500,2005-10-10,"E30254010000000000005230789801747",2411405,1607.60333333333,2411
"44",733704039,76863,"Herxheimweyher",1500,2005-12-31,"E30254010000000000005230789801748",2411405,1607.60333333333,2411
"45",733704039,76863,"Herxheimweyher",1500,2005-12-31,"E30254010000000000005230789801749",2411405,1607.60333333333,2411
"46",733704039,76863,"Herxheimweyher",1500,2005-12-31,"E30254010000000000005230789801750",2411405,1607.60333333333,2411
"47",733704039,76863,"Herxheimweyher",1500,2005-10-01,"E30254010000000000005230789807055",2411405,1607.60333333333,2411
"48",733200025,67454,"Haßloch",1500,2005-12-23,"E30254010000000000005230790301752",2143091,1428.72733333333,2143
"49",733200025,67454,"Haßloch",1500,2005-12-16,"E30254010000000000005230790306701",2143096,1428.73066666667,2143
"50",734006022,66989,"Höheinöd",2300,2006-02-02,"E30254010000000000005230790601754",2968590,1290.69130434783,2969
"51",734006022,66989,"Höheinöd",2000,2006-08-17,"E30254010000000000005230790601755",2852936,1426.468,2853
"52",734006022,66989,"Höheinöd",2300,2006-01-24,"E30254010000000000005230790606676",2968590,1290.69130434783,2969
"53",733404020,76872,"Minfeld",1500,2004-09-22,"E30254010000000000005230791001762",2504323,1669.54866666667,2504
"54",733404020,76872,"Minfeld",1500,2004-09-14,"E30254010000000000005230791001763",2504323,1669.54866666667,2504
"55",733404020,76872,"Minfeld",1500,2004-09-15,"E30254010000000000005230791001764",2504323,1669.54866666667,2504
"56",733404020,76872,"Minfeld",1500,2004-09-22,"E30254010000000000005230791006703",2504323,1669.54866666667,2504
"57",733404020,76872,"Minfeld",2000,2009-02-12,"E30254010000000000005230791008781",3610916,1805.458,3611
"58",734009216,66894,"Krähenberg",1250,2003-03-28,"E30254010000000000005230797401809",1252114,1001.6912,1252
"59",734009216,66894,"Krähenberg",1250,2003-03-25,"E30254010000000000005230797401810",1252114,1001.6912,1252
"60",734009216,66894,"Krähenberg",1250,2003-03-19,"E30254010000000000005230797401811",1374979,1099.9832,1375
