"","gem","plz","ort","leistung","inbetriebnahme","anlagenschluessel","menge_kwh","flh","menge_mwh"
"1",731700000,66955,"Pirmasens",1500,2003-11-03,"E301610166955AAAD1001086600000000",2316074,1544.04933333333,2316
"2",733307078,67823,"Unkenbach",1000,2000-08-22,"E30254010000000000005230787201686",1428425,1428.425,1428
"3",733511031,66851,"Oberarnbach",1000,1999-10-27,"E30254010000000000005230787301688",1471672,1471.672,1472
"4",733511031,66851,"Oberarnbach",1000,2001-12-31,"E30254010000000000005230787301689",1471673,1471.673,1472
"5",733511031,66851,"Oberarnbach",1000,2000-05-29,"E30254010000000000005230787306704",1471672,1471.672,1472
"6",734003053,66957,"Vinningen",1650,2001-07-25,"E30254010000000000005230787601693",1299316,787.464242424242,1299
"7",734003053,66957,"Vinningen",1650,2000-12-07,"E30254010000000000005230787601694",1294900,784.787878787879,1295
"8",734003053,66957,"Vinningen",1650,2000-12-06,"E30254010000000000005230787606677",1299316,787.464242424242,1299
"9",733510029,67700,"Niederkirchen",500,2000-11-23,"E30254010000000000005230787721589",839684,1679.368,840
"10",733207044,67311,"Tiefenthal",1800,2001-09-21,"E30254010000000000005230788001702",2894147,1607.85944444444,2894
"11",733207044,67311,"Tiefenthal",1800,2001-09-19,"E30254010000000000005230788004100",2768229,1537.905,2768
"12",713301030,67824,"Feilbingert",600,2001-07-09,"E30254010000000000005230788101704",698153,1163.58833333333,698
"13",713301030,67824,"Feilbingert",600,2001-07-09,"E30254010000000000005230788101705",698153,1163.58833333333,698
"14",713301030,67824,"Feilbingert",600,2001-07-09,"E30254010000000000005230788104101",698151,1163.585,698
"15",734009216,66894,"Krähenberg",660,2001-09-06,"E30254010000000000005230788206674",908866,1377.0696969697,909
"16",734009055,66919,"Weselberg",1800,2002-06-27,"E30254010000000000005230788301708",2809043,1560.57944444444,2809
"17",734009055,66919,"Weselberg",1380,2002-06-04,"E30254010000000000005230788301709",2153599,1560.57898550725,2154
"18",734009055,66919,"Weselberg",1800,2002-01-15,"E30254010000000000005230788306675",2809043,1560.57944444444,2809
"19",733608087,67753,"Rothselberg",1600,2003-12-19,"E30254010000000000005230788501717",2711690,1694.80625,2712
"20",733207029,67271,"Kindenheim",1800,2003-07-24,"E30254010000000000005230788601719",2218585,1232.54722222222,2219
"21",733207029,67271,"Kindenheim",1800,2003-07-17,"E30254010000000000005230788601720",2218585,1232.54722222222,2219
"22",733207029,67271,"Kindenheim",1800,2003-07-30,"E30254010000000000005230788607050",2218586,1232.54777777778,2219
"23",733511037,66851,"Queidersbach",2000,2002-06-12,"E30254010000000000005230788701721",2921647,1460.8235,2922
"24",733401001,76756,"Bellheim",1500,2003-12-21,"E30254010000000000005230789301729",2105290,1403.52666666667,2105
"25",733401001,76756,"Bellheim",1500,2003-12-21,"E30254010000000000005230789301730",2105290,1403.52666666667,2105
"26",733401001,76756,"Bellheim",1500,2003-12-17,"E30254010000000000005230789306702",2105292,1403.528,2105
"27",733510033,67737,"Olsbrücken",1800,2004-07-16,"E30254010000000000005230789401732",2032929,1129.405,2033
"28",733510033,67737,"Olsbrücken",1800,2004-07-27,"E30254010000000000005230789401733",2032922,1129.40111111111,2033
"29",733510029,67700,"Niederkirchen",2000,2005-03-24,"E30254010000000000005230789401734",2439651,1219.8255,2440
"30",733510029,67700,"Niederkirchen",2000,2005-03-24,"E30254010000000000005230789401735",2439651,1219.8255,2440
"31",733510029,67700,"Niederkirchen",2000,2004-11-30,"E30254010000000000005230789401736",2439651,1219.8255,2440
"32",733510029,67700,"Niederkirchen",2000,2004-12-02,"E30254010000000000005230789401737",2439651,1219.8255,2440
"33",733510029,67700,"Niederkirchen",2000,2006-03-22,"E30254010000000000005230789401738",2753660,1376.83,2754
"34",733510029,67700,"Niederkirchen",2000,2006-05-08,"E30254010000000000005230789401739",2753660,1376.83,2754
"35",733510029,67700,"Niederkirchen",2000,2006-03-30,"E30254010000000000005230789401740",2753660,1376.83,2754
"36",733510029,67700,"Niederkirchen",2000,2006-05-18,"E30254010000000000005230789401741",2753660,1376.83,2754
"37",733510029,67700,"Niederkirchen",2000,2006-05-24,"E30254010000000000005230789401742",2753660,1376.83,2754
"38",733510029,67700,"Niederkirchen",2000,2006-04-07,"E30254010000000000005230789401743",2753655,1376.8275,2754
"39",733608036,67753,"Hefersweiler",2300,2009-01-08,"E30254010000000000005230789408782",2135900,928.652173913043,2136
"40",733608036,67753,"Hefersweiler",2300,2009-01-13,"E30254010000000000005230789408817",2135900,928.652173913043,2136
"41",733608085,67753,"Reipoltskirchen",2300,2009-01-14,"E30254010000000000005230789408818",2135894,928.649565217391,2136
"42",733608086,67753,"Relsberg",2300,2009-01-12,"E30254010000000000005230789408838",2135900,928.652173913043,2136
"43",733406025,76761,"Rülzheim",1500,2005-10-01,"E30254010000000000005230789801746",2202028,1468.01866666667,2202
"44",733406025,76761,"Rülzheim",1500,2005-10-10,"E30254010000000000005230789801747",2202028,1468.01866666667,2202
"45",733704039,76863,"Herxheimweyher",1500,2005-12-31,"E30254010000000000005230789801748",2202028,1468.01866666667,2202
"46",733704039,76863,"Herxheimweyher",1500,2005-12-31,"E30254010000000000005230789801749",2202028,1468.01866666667,2202
"47",733704039,76863,"Herxheimweyher",1500,2005-12-31,"E30254010000000000005230789801750",2202028,1468.01866666667,2202
"48",733406025,76761,"Rülzheim",1500,2005-10-01,"E30254010000000000005230789807055",2202028,1468.01866666667,2202
"49",733200025,67454,"Haßloch",1500,2005-12-23,"E30254010000000000005230790301752",1988333,1325.55533333333,1988
