"","gem","plz","ort","leistung","inbetriebnahme","anlagenschluessel","menge_kwh","flh","menge_mwh"
"1038",723508072,54316,"Lampaden",1300,2000-07-15,"E31238010000010170000001432618843",1797895,1382.99615384615,1798
"1039",723504037,54317,"Gusterath",1300,2000-12-28,"E31238010000010170000001432618844",1797895,1382.99615384615,1798
"1041",723504037,54317,"Gusterath",660,1999-09-01,"E31238010000010170000002251800039",1042853,1580.0803030303,1043
"1042",723504037,54317,"Gusterath",660,1999-09-01,"E31238010000010170000002251818492",1042853,1580.0803030303,1043
"1043",723504037,54317,"Gusterath",660,2000-08-24,"E31238010000010170000002251818493",1042853,1580.0803030303,1043
"1044",723504037,54317,"Gusterath",270,1995-04-21,"E31238010000010170000002253311482",137294,508.496296296296,137
"1053",714003010,56290,"Beltheim",600,1997-06-20,"E31238010000020120000007635809808",708085,1180.14166666667,708
"1054",723101070,54483,"Kleinich",1000,1999-03-10,"E31238010000020170000000172817172",1451143,1451.143,1451
"1055",723208048,54636,"Heilenbach",510,1997-06-10,"E31238010000020170000006822801191",509502,999.023529411765,510
"1056",723208313,54655,"Steinborn",270,1995-08-25,"E31238010000020170000007828501185",239478,886.955555555556,239
"1057",723205068,54673,"Koxhausen",500,1994-09-07,"E31238010000020170000008995100041",643579,1287.158,644
"1058",723205056,54673,"Hütten",500,1994-09-06,"E31238010000020170000008995119010",643579,1287.158,644
"1059",723205056,54673,"Hütten",500,1994-06-14,"E31238010000020170000008995119012",643579,1287.158,644
"1060",723205068,54673,"Koxhausen",500,1994-03-25,"E31238010000020170000009043109633",641234,1282.468,641
"1061",723205068,54673,"Koxhausen",500,1994-03-24,"E31238010000020170000009043119002",641234,1282.468,641
"1062",723205068,54673,"Koxhausen",500,1994-06-09,"E31238010000020170000009043119003",641234,1282.468,641
"1063",723205073,54673,"Leimbach",500,1994-10-04,"E31238010000020170000009048200040",629116,1258.232,629
"1064",723205073,54673,"Leimbach",500,1994-10-04,"E31238010000020170000009048219013",629116,1258.232,629
"1065",723205088,54673,"Neuerburg",500,1995-05-31,"E31238010000020170000009179900042",722271,1444.542,722
"1066",723205088,54673,"Neuerburg",500,1995-05-18,"E31238010000020170000009179919015",722271,1444.542,722
"1067",723205088,54673,"Neuerburg",500,1995-05-23,"E31238010000020170000009179919016",722271,1444.542,722
"1068",723205088,54673,"Neuerburg",500,1995-05-31,"E31238010000020170000009179919018",722271,1444.542,722
"1070",723205122,54675,"Sinspelt",1000,2000-12-28,"E31238010000020170000009529211702",1280046,1280.046,1280
"1071",723205122,54675,"Sinspelt",1000,2000-12-20,"E31238010000020170000009529211703",1280046,1280.046,1280
"1072",723205122,54675,"Sinspelt",1000,2000-12-21,"E31238010000020170000009529218880",1280046,1280.046,1280
"1073",723205122,54675,"Sinspelt",1000,2000-12-22,"E31238010000020170000009529218881",1280046,1280.046,1280
"1074",723205122,54675,"Sinspelt",1000,2000-12-20,"E31238010000020170000009529218882",1280046,1280.046,1280
"1075",723205122,54675,"Sinspelt",1000,2000-12-20,"E31238010000020170000009529218883",1280046,1280.046,1280
"1076",723205122,54675,"Sinspelt",1000,2000-12-21,"E31238010000020170000009529218884",1280046,1280.046,1280
"1077",723205122,54675,"Sinspelt",1000,2000-12-22,"E31238010000020170000009529218885",1280046,1280.046,1280
"1078",723205122,54675,"Sinspelt",1000,2000-12-20,"E31238010000020170000009529218886",1280046,1280.046,1280
"1083",723206226,54595,"Weinsheim",500,1998-04-23,"E31238010000030212000000318501209",664270,1328.54,664
"1084",723206226,54595,"Weinsheim",500,1998-04-22,"E31238010000030212000000318518850",664270,1328.54,664
"1085",723206223,54597,"Fleringen",600,2000-10-06,"E31238010000030212000000430411715",945060,1575.1,945
"1086",723206223,54597,"Fleringen",600,2000-10-09,"E31238010000030212000000430418902",945060,1575.1,945
"1087",723206231,54597,"Habscheid",600,1995-02-01,"E31238010000030212000000491111480",598440,997.4,598
"1088",723206231,54597,"Habscheid",600,1995-02-01,"E31238010000030212000000491122555",598440,997.4,598
"1089",723206290,54595,"Orlenbach",500,1998-09-30,"E31238010000030212000000558701424",555047,1110.094,555
"1090",723206288,54597,"Olzheim",600,1998-01-31,"E31238010000030212000000560611694",759220,1265.36666666667,759
"1091",723206288,54597,"Olzheim",600,1998-01-31,"E31238010000030212000000560618337",759220,1265.36666666667,759
"1092",723306232,54597,"Ormont",1000,2000-04-26,"E31238010000030212000000629009141",1459740,1459.74,1460
"1093",723306232,54597,"Ormont",500,1999-06-30,"E31238010000030212000000629009142",729871,1459.742,730
"1094",723306232,54597,"Ormont",300,1991-07-11,"E31238010000030212000000630301215",45037,150.123333333333,45
"1095",723306232,54597,"Ormont",300,1991-07-11,"E31238010000030212000000630310551",45037,150.123333333333,45
"1096",723306232,54597,"Ormont",300,1991-07-11,"E31238010000030212000000630311806",45037,150.123333333333,45
"1097",723306232,54597,"Ormont",300,1993-02-09,"E31238010000030212000000630318067",45037,150.123333333333,45
"1098",723306232,54597,"Ormont",300,1993-02-09,"E31238010000030212000000630318068",45037,150.123333333333,45
"1099",723306232,54597,"Ormont",300,1993-02-09,"E31238010000030212000000630318069",45037,150.123333333333,45
"1100",723306232,54597,"Ormont",300,1993-02-09,"E31238010000030212000000630318070",45037,150.123333333333,45
"1101",723201293,54597,"Plütscheid",500,1998-12-01,"E31238010000030212000000704401224",830063,1660.126,830
"1102",723201293,54597,"Plütscheid",500,1998-12-01,"E31238010000030212000000704402583",830063,1660.126,830
"1103",723201293,54597,"Plütscheid",1500,1998-12-01,"E31238010000030212000000704418670",2490186,1660.124,2490
"1104",723206307,54597,"Seiwerath",600,1998-11-19,"E31238010000030212000000859901229",760278,1267.13,760
"1105",723206307,54597,"Seiwerath",600,1999-06-10,"E31238010000030212000000861201449",863108,1438.51333333333,863
"1106",723206307,54597,"Seiwerath",600,1999-06-11,"E31238010000030212000000861219019",863108,1438.51333333333,863
"1107",723306214,54611,"Hallschlag",1000,2000-05-12,"E31238010000030212000001159009088",1349839,1349.839,1350
"1111",723306214,54611,"Hallschlag",500,1998-06-22,"E31238010000030212000001160302382",682965,1365.93,683
"1112",723306214,54611,"Hallschlag",1500,2000-10-19,"E31238010000030212000001160302383",2048887,1365.92466666667,2049
"1113",723306214,54611,"Hallschlag",500,1998-06-24,"E31238010000030212000001160310727",682965,1365.93,683
"1114",723306214,54611,"Hallschlag",500,1998-07-06,"E31238010000030212000001161109134",691775,1383.55,692
"1115",723306214,54611,"Hallschlag",500,1998-06-12,"E31238010000030212000001161901230",698039,1396.078,698
"1116",723306214,54611,"Hallschlag",500,1998-06-28,"E31238010000030212000001161911805",698039,1396.078,698
"1117",723306214,54611,"Hallschlag",500,1997-06-04,"E31238010000030212000001162701234",640473,1280.946,640
"1118",723306214,54611,"Hallschlag",500,1997-06-04,"E31238010000030212000001162718041",640473,1280.946,640
"1119",723306214,54611,"Hallschlag",500,1997-06-20,"E31238010000030212000001163501216",624267,1248.534,624
"1120",723306214,54611,"Hallschlag",500,1997-06-06,"E31238010000030212000001164301226",781762,1563.524,782
"1121",723306214,54611,"Hallschlag",1000,1998-12-16,"E31238010000030212000001165318727",1510331,1510.331,1510
"1130",723306214,54611,"Hallschlag",1000,1999-12-29,"E31238010000030212000001165350614",1510331,1510.331,1510
"1131",723306214,54611,"Hallschlag",1000,1999-12-28,"E31238010000030212000001165350615",1510331,1510.331,1510
"1132",723306214,54611,"Hallschlag",1000,1999-12-30,"E31238010000030212000001165350616",1510331,1510.331,1510
"1133",723306214,54611,"Hallschlag",1000,2000-02-29,"E31238010000030212000001165350617",1510331,1510.331,1510
"1134",723306214,54611,"Hallschlag",1000,2000-03-02,"E31238010000030212000001165350618",1510331,1510.331,1510
"1135",723306214,54611,"Hallschlag",1000,2000-03-28,"E31238010000030212000001165350619",1510331,1510.331,1510
"1136",723306214,54611,"Hallschlag",1000,2000-03-30,"E31238010000030212000001165350620",1510331,1510.331,1510
"1137",723306214,54611,"Hallschlag",1000,2000-04-13,"E31238010000030212000001165350621",1510331,1510.331,1510
"1138",723306214,54611,"Hallschlag",1000,2000-04-14,"E31238010000030212000001165350622",1510331,1510.331,1510
"1139",723306214,54611,"Hallschlag",1000,2000-04-17,"E31238010000030212000001165350623",1510331,1510.331,1510
"1140",723306214,54611,"Hallschlag",1000,2000-10-26,"E31238010000030212000001165350624",1376621,1376.621,1377
"1141",723306214,54611,"Hallschlag",1000,2000-11-01,"E31238010000030212000001165350625",1376621,1376.621,1377
"1142",723306214,54611,"Hallschlag",1000,2000-12-01,"E31238010000030212000001165350626",1510331,1510.331,1510
"1143",723306214,54611,"Hallschlag",1500,2000-12-16,"E31238010000030212000001165350627",2089021,1392.68066666667,2089
"1144",723306214,54611,"Hallschlag",1500,2000-12-18,"E31238010000030212000001165350628",2089021,1392.68066666667,2089
"1145",723306214,54611,"Hallschlag",1500,2000-12-20,"E31238010000030212000001165350629",2089021,1392.68066666667,2089
"1146",723306214,54611,"Hallschlag",1500,2000-12-21,"E31238010000030212000001165350630",2089021,1392.68066666667,2089
"1147",723306214,54611,"Hallschlag",1500,2000-12-21,"E31238010000030212000001165350631",2089021,1392.68066666667,2089
"1148",723306214,54611,"Hallschlag",1500,2000-12-21,"E31238010000030212000001165350632",2089021,1392.68066666667,2089
"1149",723306214,54611,"Hallschlag",1500,2000-12-28,"E31238010000030212000001165350633",2089021,1392.68066666667,2089
"1150",723306214,54611,"Hallschlag",1500,2000-12-28,"E31238010000030212000001165350634",2089021,1392.68066666667,2089
"1151",723306214,54611,"Hallschlag",1500,2000-12-29,"E31238010000030212000001165350635",2089021,1392.68066666667,2089
"1158",723306237,54611,"Scheid",1500,1997-12-23,"E31238010000030212000001174009128",1333306,888.870666666667,1333
"1159",723306237,54611,"Scheid",600,1999-04-21,"E31238010000030212000001174009131",757291,1262.15166666667,757
"1160",723206327,54614,"Winringen",500,1998-01-01,"E31238010000030212000001384101214",737035,1474.07,737
"1161",723206327,54614,"Winringen",500,1998-01-01,"E31238010000030212000001384118673",737035,1474.07,737
"1162",723206327,54614,"Winringen",600,1999-01-01,"E31238010000030212000001384118675",867746,1446.24333333333,868
"1164",723201234,54617,"Harspelt",250,1994-11-01,"E31238010000030212000001442711726",256802,1027.208,257
"1166",723206231,54597,"Habscheid",500,1998-03-16,"E31238010000030212000001534400518",658363,1316.726,658
"1167",723206231,54597,"Habscheid",600,1999-12-01,"E31238010000030212000001534456471",775122,1291.87,775
"1168",723206231,54597,"Habscheid",600,1999-11-30,"E31238010000030212000001534456473",775122,1291.87,775
"1169",723304242,56767,"Uersfeld",1000,2000-12-19,"E31238010000030212000002017518048",621120,621.12,621
"1170",723304224,56767,"Lirstal",1000,2000-09-01,"E31238010000030212000002108801238",1121004,1121.004,1121
"1171",723304224,56767,"Lirstal",1000,2000-09-01,"E31238010000030212000002108818056",1121018,1121.018,1121
"1172",713104211,56745,"Weibern",110,1994-04-14,"E31238010000040311000003033209143",110542,1004.92727272727,111
"1173",713502075,56754,"Roes",600,1996-08-20,"E31238010000050311000000236501176",686649,1144.415,687
"1174",713502075,56754,"Roes",600,1996-08-20,"E31238010000050311000000236518006",686649,1144.415,687
"1175",713502075,56754,"Roes",600,1996-08-20,"E31238010000050311000000236518007",686649,1144.415,687
