"","gem","plz","ort","leistung","inbetriebnahme","eiccode","bnetznr","anlagenschluessel","menge_kwh"
"53",733404020,76872,"Minfeld",1500,2004-09-22,"11YR00000001555H",10002992,"E30254010000000000005230791001762",2504323
"54",733404020,76872,"Minfeld",1500,2004-09-14,"11YR00000001555H",10002992,"E30254010000000000005230791001763",2504323
"55",733404020,76872,"Minfeld",1500,2004-09-15,"11YR00000001555H",10002992,"E30254010000000000005230791001764",2504323
"56",733404020,76872,"Minfeld",1500,2004-09-22,"11YR00000001555H",10002992,"E30254010000000000005230791006703",2504323
"57",733404020,76872,"Minfeld",2000,2009-02-12,"11YR00000001555H",10002992,"E30254010000000000005230791008781",3610916
"58",734009216,66894,"Krähenberg",1250,2003-03-28,"11YR00000001555H",10002992,"E30254010000000000005230797401809",1252114
"59",734009216,66894,"Krähenberg",1250,2003-03-25,"11YR00000001555H",10002992,"E30254010000000000005230797401810",1252114
"60",734009216,66894,"Krähenberg",1250,2003-03-19,"11YR00000001555H",10002992,"E30254010000000000005230797401811",1374979
"61",734009216,66894,"Krähenberg",1250,2003-03-31,"11YR00000001555H",10002992,"E30254010000000000005230797401812",1374979
"62",734009216,66894,"Krähenberg",1250,2003-03-31,"11YR00000001555H",10002992,"E30254010000000000005230797405750",1374978
"63",733405028,67365,"Schwegenheim",1500,2006-01-17,"11YR00000001555H",10002992,"E30254010000000000005230797501801",1833372
"64",733405028,67365,"Schwegenheim",1500,2006-01-31,"11YR00000001555H",10002992,"E30254010000000000005230797501802",1833372
"65",733405028,67365,"Schwegenheim",1500,2005-12-23,"11YR00000001555H",10002992,"E30254010000000000005230797501803",1833372
"66",733610052,66871,"Konken",850,2002-02-01,"11YR00000001555H",10002992,"E30254010000000000005230797601805",1134210
"67",733610052,66871,"Konken",850,2002-02-01,"11YR00000001555H",10002992,"E30254010000000000005230797601806",1134210
"68",733610052,66871,"Konken",850,2002-02-01,"11YR00000001555H",10002992,"E30254010000000000005230797601807",1134210
"69",733610052,66871,"Konken",850,2002-02-01,"11YR00000001555H",10002992,"E30254010000000000005230797606681",1134204
"70",733307008,67806,"Bisterschied",1500,2000-04-10,"11YR00000001555H",10002992,"E30254010000000000005230822702034",1975377
"71",733307008,67806,"Bisterschied",500,1999-11-04,"11YR00000001555H",10002992,"E30254010000000000005230822707035",742214
"72",733501203,66894,"Martinshöhe",1000,2000-12-28,"11YR00000001555H",10002992,"E30254010000000000005230823306682",1169164
"73",733608074,67748,"Odenbach",600,2004-12-28,"11YR00000001555H",10002992,"E30254010000000000005230823402040",716942
"74",733608074,67748,"Odenbach",600,2004-12-28,"11YR00000001555H",10002992,"E30254010000000000005230823407054",716934
"75",733610103,66887,"Welchweiler",1750,2003-12-22,"11YR00000001555H",10002992,"E30254010000000000005230826706683",1186884
"76",733307008,67806,"Bisterschied",1800,2004-02-27,"11YR00000001555H",10002992,"E30254010000000000005230827307061",2707546
"77",733304031,67294,"Ilbesheim",500,1998-02-05,"11YR00000001555H",10002992,"E30254010000000000005230837706693",725465
"78",733304040,67819,"Kriegsfeld",1800,2000-12-21,"11YR00000001555H",10002992,"E30254010000000000005230838106691",3120769
"79",733608069,67759,"Nußbach",600,2002-05-07,"11YR00000001555H",10002992,"E30254010000000000005230876501820",1022546
"80",733608069,67759,"Nußbach",1600,2003-12-12,"11YR00000001555H",10002992,"E30254010000000000005230888706707",3219360
"81",733807023,67354,"Römerberg",2000,2006-04-13,"11YR00000001555H",10002992,"E30254010000000000005230940402446",3159743
"82",733807023,67354,"Römerberg",2000,2008-10-01,"11YR00000001555H",10002992,"E30254010000000000005230940406757",3052733
"83",733509501,66879,"Reichenbach-Steegen",2000,2003-02-14,"11YR00000001555H",10002992,"E30254010000000000005231606303528",2885151
"84",733509501,66879,"Reichenbach-Steegen",2000,2003-01-19,"11YR00000001555H",10002992,"E30254010000000000005231606303529",2885151
"85",733509501,66879,"Reichenbach-Steegen",2000,2003-01-16,"11YR00000001555H",10002992,"E30254010000000000005231606303530",2885151
"86",733509501,66879,"Reichenbach-Steegen",2000,2002-12-28,"11YR00000001555H",10002992,"E30254010000000000005231606303531",2885151
"87",733509501,66879,"Reichenbach-Steegen",2000,2002-12-29,"11YR00000001555H",10002992,"E30254010000000000005231606303532",2885151
"88",733608087,67753,"Rothselberg",2000,2004-12-08,"11YR00000001555H",10002992,"E30254010000000000005231606303533",2411487
"89",733608087,67753,"Rothselberg",2000,2004-12-02,"11YR00000001555H",10002992,"E30254010000000000005231606303534",2411484
"90",733302038,67304,"Kerzenheim",1650,2000-10-19,"11YR00000001555H",10002992,"E30254010000000000005231607403543",1396482
"91",733302038,67304,"Kerzenheim",1500,2003-08-20,"11YR00000001555H",10002992,"E30254010000000000005231615906699",1842254
"92",733609047,66909,"Hüffler",2000,2007-02-28,"11YR00000001555H",10002992,"E30254010000000000005231640303562",3818634
"93",733609047,66909,"Hüffler",2000,2007-02-21,"11YR00000001555H",10002992,"E30254010000000000005231640307069",3818627
"94",734006016,66919,"Hermersberg",800,2007-08-09,"11YR00000001555H",10002992,"E30254010000000000005231819004016",1174216
