"","gem","plz","ort","leistung","inbetriebnahme","anlagenschluessel","menge_kwh"
"69",733610052,66871,"Konken",850,2002-02-01,"E30254010000000000005230797601806",1038719
"70",733610052,66871,"Konken",850,2002-02-01,"E30254010000000000005230797601807",1038719
"71",733610052,66871,"Konken",850,2002-02-01,"E30254010000000000005230797606681",1038710
"72",733307008,67806,"Bisterschied",1500,2000-04-10,"E30254010000000000005230822702034",2123627
"73",733307008,67806,"Bisterschied",500,1999-11-04,"E30254010000000000005230822707035",797915
"74",733303012,67308,"Bubenheim",1500,2002-11-12,"E30254010000000000005230823206696",1043061
"75",733501203,66894,"Martinshöhe",1000,2000-12-28,"E30254010000000000005230823306682",1195115
"76",733608074,67748,"Odenbach",600,2004-12-28,"E30254010000000000005230823402040",723144
"77",733608074,67748,"Odenbach",600,2004-12-28,"E30254010000000000005230823407054",723138
"78",733610103,66887,"Welchweiler",1750,2003-12-22,"E30254010000000000005230826706683",1288575
"79",733307008,67806,"Bisterschied",1800,2004-02-27,"E30254010000000000005230827307061",2932604
"80",733304031,67294,"Ilbesheim",500,1998-02-05,"E30254010000000000005230837706693",711736
"81",733304040,67819,"Kriegsfeld",1800,2000-12-21,"E30254010000000000005230838106691",3183827
"82",733608069,67759,"Nußbach",600,2002-05-07,"E30254010000000000005230876501820",976487
"83",733608069,67759,"Nußbach",1600,2003-12-12,"E30254010000000000005230888706707",3199941
"84",733807023,67354,"Römerberg",2000,2006-04-13,"E30254010000000000005230940402446",3454362
"85",733807023,67354,"Römerberg",2000,2008-10-01,"E30254010000000000005230940406757",3275773
"86",733509501,66879,"Reichenbach-Steegen",2000,2003-02-14,"E30254010000000000005231606303528",2843976
"87",733509501,66879,"Reichenbach-Steegen",2000,2003-01-19,"E30254010000000000005231606303529",2843976
"88",733509501,66879,"Reichenbach-Steegen",2000,2003-01-16,"E30254010000000000005231606303530",2843976
"89",733509501,66879,"Reichenbach-Steegen",2000,2002-12-28,"E30254010000000000005231606303531",2843976
"90",733509501,66879,"Reichenbach-Steegen",2000,2002-12-29,"E30254010000000000005231606303532",2843976
"91",733608087,67753,"Rothselberg",2000,2004-12-08,"E30254010000000000005231606303533",2377073
"92",733608087,67753,"Rothselberg",2000,2004-12-02,"E30254010000000000005231606303534",2377075
"93",733302038,67304,"Kerzenheim",1650,2000-10-19,"E30254010000000000005231607403543",1702166
"94",733302038,67304,"Kerzenheim",1500,2003-08-20,"E30254010000000000005231615906699",1877914
"95",733609047,66909,"Hüffler",2000,2007-02-28,"E30254010000000000005231640303562",3759042
