"","Gemeindeschlüssel","plz","ort","leistung","inbetriebnahme","anlagenschluessel","menge_kwh","flh","menge_mwh"
"1",731700000,66955,"Pirmasens",1500,2003-11-03,"E301610166955AAAD1001086600000000",2371039,1580.69266666667,2371
"2",733307078,67823,"Unkenbach",1000,1999-03-11,"E30254010000000000005230787201685",443587,443.587,444
"3",733307078,67823,"Unkenbach",1000,2000-08-22,"E30254010000000000005230787201686",443583,443.583,444
"4",733307078,67823,"Unkenbach",1000,1999-09-03,"E30254010000000000005230787206689",443587,443.587,444
"5",733511031,66851,"Oberarnbach",1000,1999-10-27,"E30254010000000000005230787301688",1484857,1484.857,1485
"6",733511031,66851,"Oberarnbach",1000,2001-12-31,"E30254010000000000005230787301689",1484859,1484.859,1485
"7",733511031,66851,"Oberarnbach",1000,2000-05-29,"E30254010000000000005230787306704",1484857,1484.857,1485
"8",734003053,66957,"Vinningen",1650,2001-07-25,"E30254010000000000005230787601693",1362595,825.815151515152,1363
"9",734003053,66957,"Vinningen",1650,2000-12-07,"E30254010000000000005230787601694",1362594,825.814545454546,1363
"10",734003053,66957,"Vinningen",1650,2000-12-06,"E30254010000000000005230787606677",1362594,825.814545454546,1363
"11",733510029,67700,"Niederkirchen",500,2000-11-23,"E30254010000000000005230787721589",803497,1606.994,803
"12",733207044,67311,"Tiefenthal",1800,2001-09-21,"E30254010000000000005230788001702",2786302,1547.94555555556,2786
"13",733207044,67311,"Tiefenthal",1800,2001-09-19,"E30254010000000000005230788004100",2665083,1480.60166666667,2665
"14",713301030,67824,"Feilbingert",600,2001-07-09,"E30254010000000000005230788101704",662443,1104.07166666667,662
"15",713301030,67824,"Feilbingert",600,2001-07-09,"E30254010000000000005230788101705",662443,1104.07166666667,662
"16",713301030,67824,"Feilbingert",600,2001-07-09,"E30254010000000000005230788104101",662447,1104.07833333333,662
"17",734009216,66894,"Krähenberg",660,2001-09-06,"E30254010000000000005230788206674",840023,1272.76212121212,840
"18",734009055,66919,"Weselberg",1800,2002-06-27,"E30254010000000000005230788301708",2790806,1550.44777777778,2791
"19",734009055,66919,"Weselberg",1380,2002-06-04,"E30254010000000000005230788301709",2139620,1550.44927536232,2140
"20",734009055,66919,"Weselberg",1800,2002-01-15,"E30254010000000000005230788306675",2790809,1550.44944444444,2791
"21",733608087,67753,"Rothselberg",1600,2003-12-19,"E30254010000000000005230788501717",2626806,1641.75375,2627
"22",733207029,67271,"Kindenheim",1800,2003-07-24,"E30254010000000000005230788601719",2187124,1215.06888888889,2187
"23",733207029,67271,"Kindenheim",1800,2003-07-17,"E30254010000000000005230788601720",2187124,1215.06888888889,2187
"24",733207029,67271,"Kindenheim",1800,2003-07-30,"E30254010000000000005230788607050",2187128,1215.07111111111,2187
"25",733511037,66851,"Queidersbach",2000,2002-06-12,"E30254010000000000005230788701721",2929133,1464.5665,2929
"26",733207029,67271,"Kindenheim",1500,2000-10-01,"E30254010000000000005230789142762",1839583,1226.38866666667,1840
"27",733401001,76756,"Bellheim",1500,2003-12-21,"E30254010000000000005230789301729",2274117,1516.078,2274
"28",733401001,76756,"Bellheim",1500,2003-12-21,"E30254010000000000005230789301730",2274117,1516.078,2274
"29",733401001,76756,"Bellheim",1500,2003-12-17,"E30254010000000000005230789306702",2274118,1516.07866666667,2274
"30",733510033,67737,"Olsbrücken",1800,2004-07-16,"E30254010000000000005230789401732",1756409,975.782777777778,1756
"31",733510033,67737,"Olsbrücken",1800,2004-07-27,"E30254010000000000005230789401733",1756404,975.78,1756
"32",733510029,67700,"Niederkirchen",2000,2005-03-24,"E30254010000000000005230789401734",2254720,1127.36,2255
"33",733510029,67700,"Niederkirchen",2000,2005-03-24,"E30254010000000000005230789401735",2254720,1127.36,2255
"34",733510029,67700,"Niederkirchen",2000,2004-11-30,"E30254010000000000005230789401736",2254720,1127.36,2255
"35",733510029,67700,"Niederkirchen",2000,2004-12-02,"E30254010000000000005230789401737",2254720,1127.36,2255
"36",733510029,67700,"Niederkirchen",2000,2006-03-22,"E30254010000000000005230789401738",2544928,1272.464,2545
"37",733510029,67700,"Niederkirchen",2000,2006-05-08,"E30254010000000000005230789401739",2544928,1272.464,2545
"38",733510029,67700,"Niederkirchen",2000,2006-03-30,"E30254010000000000005230789401740",2544928,1272.464,2545
"39",733510029,67700,"Niederkirchen",2000,2006-05-18,"E30254010000000000005230789401741",2544928,1272.464,2545
"40",733510029,67700,"Niederkirchen",2000,2006-05-24,"E30254010000000000005230789401742",2544928,1272.464,2545
"41",733510029,67700,"Niederkirchen",2000,2006-04-07,"E30254010000000000005230789401743",2544930,1272.465,2545
"42",733608036,67753,"Hefersweiler",2300,2009-01-08,"E30254010000000000005230789408782",1938388,842.777391304348,1938
"43",733608036,67753,"Hefersweiler",2300,2009-01-13,"E30254010000000000005230789408817",1938388,842.777391304348,1938
"44",733608085,67753,"Reipoltskirchen",2300,2009-01-14,"E30254010000000000005230789408818",1938383,842.775217391304,1938
"45",733608086,67753,"Relsberg",2300,2009-01-12,"E30254010000000000005230789408838",1938388,842.777391304348,1938
"46",733406025,76761,"Rülzheim",1500,2005-10-01,"E30254010000000000005230789801746",2232393,1488.262,2232
"47",733406025,76761,"Rülzheim",1500,2005-10-10,"E30254010000000000005230789801747",2232393,1488.262,2232
"48",733704039,76863,"Herxheimweyher",1500,2005-12-31,"E30254010000000000005230789801748",2232393,1488.262,2232
"49",733704039,76863,"Herxheimweyher",1500,2005-12-31,"E30254010000000000005230789801749",2232393,1488.262,2232
"50",733704039,76863,"Herxheimweyher",1500,2005-12-31,"E30254010000000000005230789801750",2232389,1488.25933333333,2232
"51",733406025,76761,"Rülzheim",1500,2005-10-01,"E30254010000000000005230789807055",2232393,1488.262,2232
"52",733200025,67454,"Haßloch",1500,2005-12-23,"E30254010000000000005230790301752",1825776,1217.184,1826
"53",733200025,67454,"Haßloch",1500,2005-12-16,"E30254010000000000005230790306701",1825782,1217.188,1826
"54",734006022,66989,"Höheinöd",2300,2006-02-02,"E30254010000000000005230790601754",2668158,1160.06869565217,2668
"55",734006022,66989,"Höheinöd",2000,2006-08-17,"E30254010000000000005230790601755",2320137,1160.0685,2320
"56",734006022,66989,"Höheinöd",2300,2006-01-24,"E30254010000000000005230790606676",2668158,1160.06869565217,2668
"57",733404020,76872,"Minfeld",1500,2004-09-22,"E30254010000000000005230791001762",2346008,1564.00533333333,2346
"58",733404020,76872,"Minfeld",1500,2004-09-14,"E30254010000000000005230791001763",2346008,1564.00533333333,2346
"59",733404020,76872,"Minfeld",1500,2004-09-15,"E30254010000000000005230791001764",2346008,1564.00533333333,2346
"60",733404020,76872,"Minfeld",1500,2004-09-22,"E30254010000000000005230791006703",2346012,1564.008,2346
"61",733404020,76872,"Minfeld",2000,2009-02-12,"E30254010000000000005230791008781",3382652,1691.326,3383
"62",734009216,66894,"Krähenberg",1250,2003-03-28,"E30254010000000000005230797401809",1320808,1056.6464,1321
"63",734009216,66894,"Krähenberg",1250,2003-03-25,"E30254010000000000005230797401810",1320808,1056.6464,1321
"64",734009216,66894,"Krähenberg",1250,2003-03-19,"E30254010000000000005230797401811",1320808,1056.6464,1321
"65",734009216,66894,"Krähenberg",1250,2003-03-31,"E30254010000000000005230797401812",1320808,1056.6464,1321
"66",734009216,66894,"Krähenberg",1250,2003-03-31,"E30254010000000000005230797405750",1320798,1056.6384,1321
"67",733405028,67365,"Schwegenheim",1500,2006-01-17,"E30254010000000000005230797501801",2171688,1447.792,2172
"68",733405028,67365,"Schwegenheim",1500,2006-01-31,"E30254010000000000005230797501802",2171691,1447.794,2172
"69",733405028,67365,"Schwegenheim",1500,2005-12-23,"E30254010000000000005230797501803",2171688,1447.792,2172
"70",733610052,66871,"Konken",850,2002-02-01,"E30254010000000000005230797601805",1011674,1190.20470588235,1012
"71",733610052,66871,"Konken",850,2002-02-01,"E30254010000000000005230797601806",1011674,1190.20470588235,1012
"72",733610052,66871,"Konken",850,2002-02-01,"E30254010000000000005230797601807",1011674,1190.20470588235,1012
"73",733610052,66871,"Konken",850,2002-02-01,"E30254010000000000005230797606681",1011664,1190.19294117647,1012
"74",733307008,67806,"Bisterschied",1500,2000-04-10,"E30254010000000000005230822702034",1934371,1289.58066666667,1934
"75",733307008,67806,"Bisterschied",500,1999-11-04,"E30254010000000000005230822707035",726805,1453.61,727
"76",733303012,67308,"Bubenheim",1500,2002-11-12,"E30254010000000000005230823206696",2044892,1363.26133333333,2045
"77",733501203,66894,"Martinshöhe",1000,2000-12-28,"E30254010000000000005230823306682",1090799,1090.799,1091
"78",733608074,67748,"Odenbach",600,2004-12-28,"E30254010000000000005230823402040",647955,1079.925,648
"79",733608074,67748,"Odenbach",600,2004-12-28,"E30254010000000000005230823407054",647950,1079.91666666667,648
"80",733610103,66887,"Welchweiler",1750,2003-12-22,"E30254010000000000005230826706683",1245162,711.521142857143,1245
"81",733307008,67806,"Bisterschied",1800,2004-02-27,"E30254010000000000005230827307061",2655589,1475.32722222222,2656
"82",733304031,67294,"Ilbesheim",500,1998-02-05,"E30254010000000000005230837706693",638581,1277.162,639
"83",733304040,67819,"Kriegsfeld",1800,2000-12-21,"E30254010000000000005230838106691",2780359,1544.64388888889,2780
"84",733608069,67759,"Nußbach",600,2002-05-07,"E30254010000000000005230876501820",859880,1433.13333333333,860
"85",733608069,67759,"Nußbach",1600,2003-12-12,"E30254010000000000005230888706707",2814606,1759.12875,2815
"86",733807023,67354,"Römerberg",2000,2006-04-13,"E30254010000000000005230940402446",3048216,1524.108,3048
"87",733807023,67354,"Römerberg",2000,2008-10-01,"E30254010000000000005230940406757",2846040,1423.02,2846
"88",733509501,66879,"Reichenbach-Steegen",2000,2003-02-14,"E30254010000000000005231606303528",2678118,1339.059,2678
"89",733509501,66879,"Reichenbach-Steegen",2000,2003-01-19,"E30254010000000000005231606303529",2678118,1339.059,2678
"90",733509501,66879,"Reichenbach-Steegen",2000,2003-01-16,"E30254010000000000005231606303530",2678118,1339.059,2678
"91",733509501,66879,"Reichenbach-Steegen",2000,2002-12-28,"E30254010000000000005231606303531",2678118,1339.059,2678
"92",733509501,66879,"Reichenbach-Steegen",2000,2002-12-29,"E30254010000000000005231606303532",2678118,1339.059,2678
"93",733608087,67753,"Rothselberg",2000,2004-12-08,"E30254010000000000005231606303533",2238444,1119.222,2238
"94",733608087,67753,"Rothselberg",2000,2004-12-02,"E30254010000000000005231606303534",2238438,1119.219,2238
"95",733302038,67304,"Kerzenheim",1650,2000-10-19,"E30254010000000000005231607403543",1468129,889.775151515151,1468
"96",733302038,67304,"Kerzenheim",1500,2003-08-20,"E30254010000000000005231615906699",1592198,1061.46533333333,1592
"97",733609047,66909,"Hüffler",2000,2007-02-28,"E30254010000000000005231640303562",3519013,1759.5065,3519
"98",733609047,66909,"Hüffler",2000,2007-02-21,"E30254010000000000005231640307069",3519007,1759.5035,3519
"99",734006016,66919,"Hermersberg",800,2007-08-09,"E30254010000000000005231819004016",1133260,1416.575,1133
"100",734006016,66919,"Hermersberg",800,2007-08-07,"E30254010000000000005231819006705",1133260,1416.575,1133
"101",734006016,66919,"Hermersberg",2000,2008-07-10,"E30254010000000000005231819007703",3883888,1941.944,3884
"102",734006016,66919,"Hermersberg",2000,2008-07-29,"E30254010000000000005231819007704",3883889,1941.9445,3884
"103",733610103,66887,"Welchweiler",2000,2007-08-03,"E30254010000000000005231821504019",1804358,902.179,1804
"104",734006054,67714,"Waldfischbach-Burgalben",2000,2007-12-28,"E30254010000000000005232123306711",2947258,1473.629,2947
"105",734006022,66989,"Höheinöd",2000,2007-12-27,"E30254010000000000005232123306712",2947258,1473.629,2947
"106",734006054,67714,"Waldfischbach-Burgalben",2000,2008-01-30,"E30254010000000000005232123306713",2947258,1473.629,2947
"107",733707061,76877,"Offenbach",2000,2008-03-04,"E30254010000000000005232263805059",3428387,1714.1935,3428
"108",733707061,76877,"Offenbach",2000,2008-03-17,"E30254010000000000005232263805060",3428387,1714.1935,3428
"109",733707061,76877,"Offenbach",2000,2008-03-08,"E30254010000000000005232263805061",3428384,1714.192,3428
"110",733807023,67354,"Römerberg",2000,2008-10-07,"E30254010000000000005232790909814",2846035,1423.0175,2846
"111",734008221,66484,"Riedelberg",2300,2009-02-27,"E30254010000000000005232855709017",2554907,1110.82913043478,2555
"112",734008221,66484,"Riedelberg",2300,2009-03-04,"E30254010000000000005232855709018",2554907,1110.82913043478,2555
"113",734008221,66484,"Riedelberg",2000,2009-03-03,"E30254010000000000005232855709019",3190886,1595.443,3191
"114",734008221,66484,"Riedelberg",2000,2009-02-27,"E30254010000000000005232855709020",3190888,1595.444,3191
"115",733610003,66885,"Erdesbach-Patersbach",2000,2009-10-26,"E30254010000000000005233312514223",3001430,1500.715,3001
"116",733610022,66887,"Erdesbach-Patersbach",2000,2009-11-03,"E30254010000000000005233312514224",3001430,1500.715,3001
"117",733610022,66887,"Erdesbach-Patersbach",2000,2009-11-03,"E30254010000000000005233312514225",3001430,1500.715,3001
"118",733610003,66885,"Erdesbach-Patersbach",2000,2009-10-12,"E30254010000000000005233312514226",3001428,1500.714,3001
"119",734008226,66484,"Walshausen",2000,2009-11-28,"E30254010000000000005233432816109",3156090,1578.045,3156
"120",734008226,66484,"Walshausen",2000,2009-12-01,"E30254010000000000005233432816110",3156083,1578.0415,3156
"121",733307025,67813,"Gerbach",3050,2011-10-28,"E30254010000000000005234010639491",6365230,2086.96065573771,6365
"122",733801006,67125,"Dannstadt-Schauernheim",2500,2011-02-04,"E30254010000000000005234201028183",3043640,1217.456,3044
"123",733800005,67459,"Böhl-Iggelheim",2500,2011-02-02,"E30254010000000000005234201028184",3043640,1217.456,3044
"124",733207010,67246,"Dirmstein",2000,2010-12-30,"E30254010000000000005234239828155",2892389,1446.1945,2892
"125",733207010,67246,"Dirmstein",2000,2010-12-30,"E30254010000000000005234239828156",2892389,1446.1945,2892
"126",733609101,66909,"Wahnwegen",2000,2011-03-31,"E30254010000000000005234430229628",3290214,1645.107,3290
"127",733609101,66909,"Wahnwegen",2000,2011-03-10,"E30254010000000000005234430229629",3290220,1645.11,3290
"128",733610103,66887,"Welchweiler",800,2007-07-13,"E30254010000000000005234767337518",830749,1038.43625,831
"129",733307055,67821,"Oberndorf",2530,2014-09-05,"E30254010WEA1OBERNDORF0FLUR322006",5156942,2038.31699604743,5157
"130",733303026,67307,"Göllheim",2530,2014-09-23,"E30254010WEA2GOLLWALD00FLUR474306",5265518,2081.23241106719,5266
"131",733303026,67307,"Göllheim",2530,2014-09-04,"E30254010WEA2GOLLWALD00FLUR475902",5265518,2081.23241106719,5266
"132",733303026,67307,"Göllheim",2530,2014-09-11,"E30254010WEA2GOLLWALD00FLUR475903",5265518,2081.23241106719,5266
"133",733303026,67307,"Göllheim",2530,2014-09-13,"E30254010WEA2GOLLWALD00FLUR476304",5265518,2081.23241106719,5266
"134",733303026,67307,"Göllheim",2530,2014-09-23,"E30254010WEA2GOLLWALD00FLUR476305",5265521,2081.23359683794,5266
"135",733307055,67821,"Oberndorf",2530,2014-09-01,"E30254010WEA2OBERNDORF0FLUR306006",5156948,2038.31936758893,5157
"136",733806013,67259,"Heuchelheim",2000,2004-12-30,"E30254011000000000005231616306700",1975162,987.581,1975
"137",733806013,67259,"Heuchelheim",2000,2005-05-13,"E30254012000000000005231616306700",1975162,987.581,1975
"138",733806013,67259,"Heuchelheim",2000,2005-05-03,"E30254013000000000005231616306700",1975162,987.581,1975
"139",733806013,67259,"Heuchelheim",2000,2005-04-15,"E30254014000000000005231616306700",1975160,987.58,1975
"140",733806013,67259,"Heuchelheim",800,2005-02-03,"E30254015000000000005231616306700",790065,987.58125,790
"141",733502004,67677,"Enkenbach-Alsenborn",3000,2013-05-31,"E3025401PVA0000000000009000011337",4631045,1543.68166666667,4631
"142",733101022,55234,"Esselborn",3075,2013-10-16,"E3025401WEA0000000000ESSELBORN001",6498619,2113.37203252033,6499
"143",733101022,55234,"Esselborn",3075,2013-10-17,"E3025401WEA0000000000ESSELBORN002",6498614,2113.37040650407,6499
"144",733307053,67822,"Oberhausen",3075,2014-04-02,"E3025401WEA0000000000OBERHAUSEN01",5972695,1942.33983739837,5973
"145",733307053,67822,"Oberhausen",3075,2014-04-11,"E3025401WEA0000000000OBERHAUSEN02",5972689,1942.33788617886,5973
"146",733304010,67295,"Bolanden",3075,2013-12-27,"E3025401WEA000000000HUNGERBERG001",6000700,1951.44715447154,6001
"147",733304022,67294,"Gauersheim",3075,2014-01-31,"E3025401WEA000000000HUNGERBERG004",6000700,1951.44715447154,6001
"148",733304062,67294,"Rittersheim",3075,2014-01-31,"E3025401WEA000000000HUNGERBERG005",6000700,1951.44715447154,6001
"149",733304022,67294,"Gauersheim",3075,2013-12-27,"E3025401WEA000000000HUNGERBERG006",6000700,1951.44715447154,6001
"150",733304022,67294,"Gauersheim",3075,2013-12-10,"E3025401WEA000000000HUNGERBERG007",6000700,1951.44715447154,6001
"151",733304022,67294,"Gauersheim",3075,2014-02-13,"E3025401WEA000000000HUNGERBERG008",6000700,1951.44715447154,6001
"152",733304022,67294,"Gauersheim",3075,2013-12-29,"E3025401WEA000000000HUNGERBERG009",6000700,1951.44715447154,6001
"153",733304022,67294,"Gauersheim",3075,2013-12-10,"E3025401WEA000000000HUNGERBERG010",6000700,1951.44715447154,6001
"154",733303001,67308,"Albisheim",3300,2015-11-14,"E3025401WEA000000000HUNGERBERG011",6439770,1951.44545454545,6440
"155",733303001,67308,"Albisheim",3075,2013-11-18,"E3025401WEA000000000HUNGERBERG012",6000700,1951.44715447154,6001
"156",733303001,67308,"Albisheim (Pfrimm)",3075,2013-12-03,"E3025401WEA000000000HUNGERBERG013",6000700,1951.44715447154,6001
"157",733511023,66851,"Linden",2400,2013-12-09,"E3025401WEA000000000LINDEN8288102",5233604,2180.66833333333,5234
"158",733511023,66851,"Linden",2400,2013-12-18,"E3025401WEA000000000LINDEN8288201",5233598,2180.66583333333,5234
"159",733303012,67308,"Bubenheim",2530,2014-07-23,"E3025401WEA00000000BUBENHEIM00009",6191525,2447.24308300395,6192
"160",733303012,67308,"Bubenheim",2530,2014-07-23,"E3025401WEA00000000BUBENHEIM00011",6191518,2447.24031620553,6192
"161",733207029,67271,"Kindenheim",3050,2014-07-28,"E3025401WEA00000000KINDENHEIM0001",6365684,2087.10950819672,6366
"162",733207029,67271,"Kindenheim",3050,2014-09-12,"E3025401WEA00000000KINDENHEIM0002",6365676,2087.1068852459,6366
"163",733608087,67753,"Rothselberg",3050,2014-12-15,"E3025401WEA000000GALGENBERT010001",6366702,2087.44327868852,6367
"164",733608087,67753,"Rothselberg",3050,2014-12-23,"E3025401WEA000000GALGENBERT010002",6366702,2087.44327868852,6367
"165",733608087,67753,"Rothselberg",3050,2014-12-30,"E3025401WEA000000GALGENBERT010003",6366702,2087.44327868852,6367
"166",733608105,67752,"Wolfstein",3050,2015-02-24,"E3025401WEA000000GALGENBERT010004",6366702,2087.44327868852,6367
"167",733608105,67752,"Wolfstein",3050,2015-06-25,"E3025401WEA000000GALGENBERT010005",6366702,2087.44327868852,6367
"168",733608105,67752,"Wolfstein",3050,2015-05-21,"E3025401WEA000000GALGENBERT010006",6366702,2087.44327868852,6367
"169",733608105,67752,"Wolfstein",3050,2015-07-28,"E3025401WEA000000GALGENBERT010007",6366702,2087.44327868852,6367
"170",733608105,67752,"Wolfstein",3050,2015-08-04,"E3025401WEA000000GALGENBERT010008",6366689,2087.43901639344,6367
"171",733707061,76877,"Offenbach",2530,2014-09-03,"E3025401WEA000000UWOFFENBACH37501",5349116,2114.27509881423,5349
"172",733707061,76877,"Offenbach",2530,2014-08-19,"E3025401WEA000000UWOFFENBACH37502",5349116,2114.27509881423,5349
"173",733707061,76877,"Offenbach",2530,2014-09-03,"E3025401WEA000000UWOFFENBACH37503",5349116,2114.27509881423,5349
"174",733707061,76877,"Offenbach",2530,2014-09-02,"E3025401WEA000000UWOFFENBACH37504",5349116,2114.27509881423,5349
"175",733707061,76877,"Offenbach",2530,2014-08-14,"E3025401WEA000000UWOFFENBACH37505",5349116,2114.27509881423,5349
"176",733707061,76877,"Offenbach",2530,2014-08-27,"E3025401WEA000000UWOFFENBACH37506",5349102,2114.26956521739,5349
"177",733302038,67304,"Kerzenheim",3075,2015-06-12,"E3025401WEA0004100033530000013176",6351826,2065.63447154472,6352
"178",733302038,67304,"Kerzenheim",3075,2015-06-17,"E3025401WEA0004100033530000013177",6351821,2065.63284552846,6352
"179",733302038,67304,"Kerzenheim",3300,2015-09-02,"E3025401WEA0004100033550000013217",7820928,2369.97818181818,7821
"180",733302038,67304,"Kerzenheim",3300,2015-09-09,"E3025401WEA0004100033550000013218",7820923,2369.97666666667,7821
"181",733609102,66914,"Waldmohr",2780,2015-09-17,"E3025401WEA0004100033620000013424",5822685,2094.49100719424,5823
"182",733609102,66914,"Waldmohr",2780,2015-09-15,"E3025401WEA0004100033620000013425",5822687,2094.4917266187,5823
"183",733303012,67308,"Bubenheim",2780,2015-12-19,"E3025401WEA0004100033660000013421",6037094,2171.61654676259,6037
"184",733303012,67308,"Bubenheim",2780,2015-12-22,"E3025401WEA0004100033660000013422",6037087,2171.61402877698,6037
"185",733304076,67294,"Stetten",3075,2015-11-25,"E3025401WEA0004100033710000013499",5955563,1936.76845528455,5956
"186",733610055,66869,"Kusel",2000,2015-12-25,"E3025401WEA0004100033770000013556",3440895,1720.4475,3441
"187",733509019,66879,"Kollweiler",3050,2014-07-24,"E3025401WEA0005000000KOLLWEILER01",5419270,1776.80983606557,5419
"188",733509019,66879,"Kollweiler",3050,2014-07-24,"E3025401WEA0005000000KOLLWEILER02",5419264,1776.80786885246,5419
"189",733608069,67759,"Nußbach",3050,2012-05-15,"E3025401WEA0005000060110000004636",5508204,1805.96852459016,5508
"190",733608069,67759,"Nußbach",3050,2012-04-24,"E3025401WEA0005000060110000004637",5508207,1805.96950819672,5508
"191",733307079,67822,"Waldgrehweiler",3400,2012-03-22,"E3025401WEA0005000060630000004685",6333602,1862.82411764706,6334
"192",733307079,67822,"Waldgrehweiler",3400,2012-03-22,"E3025401WEA0005000060630000004686",6333602,1862.82411764706,6334
"193",713301045,55585,"Hochstätten",2000,2012-01-12,"E3025401WEA0005000068450000005343",2859753,1429.8765,2860
"194",713301045,55585,"Hochstätten",2000,2011-12-29,"E3025401WEA0005000068450000005344",2859753,1429.8765,2860
"195",713301045,55585,"Hochstätten",2000,2012-01-18,"E3025401WEA0005000068450000005345",2859747,1429.8735,2860
"196",733304076,67294,"Stetten",3170,2013-02-14,"E3025401WEA0005000077080000006148",6530311,2060.03501577287,6530
"197",733304076,67294,"Stetten",3170,2013-02-07,"E3025401WEA0005000077080000006149",6530313,2060.0356466877,6530
"198",733304076,67294,"Stetten",3170,2012-12-29,"E3025401WEA0005000077080000006150",6530313,2060.0356466877,6530
"199",733101024,55234,"Flomborn",3075,2012-12-21,"E3025401WEA0005000085560000006845",5783843,1880.92455284553,5784
"200",733101024,55234,"Flomborn",3075,2012-12-28,"E3025401WEA0005000085570000006846",5783843,1880.92455284553,5784
"201",733101024,55234,"Flomborn",3075,2013-01-25,"E3025401WEA0005000085580000006847",5783843,1880.92455284553,5784
"202",733101024,55234,"Flomborn",3075,2013-02-07,"E3025401WEA0005000085590000006848",5783843,1880.92455284553,5784
"203",733101024,55234,"Flomborn",3075,2013-02-21,"E3025401WEA0005000087220000006951",5783841,1880.92390243902,5784
"204",734008221,66484,"Riedelberg",2300,2013-07-19,"E3025401WEA0005000093180000007504",3697110,1607.43913043478,3697
"205",734008221,66484,"Riedelberg",2300,2013-07-29,"E3025401WEA0005000093220000007507",3697110,1607.43913043478,3697
"206",734008221,66484,"Riedelberg",2300,2013-08-02,"E3025401WEA0005000093240000007509",3697110,1607.43913043478,3697
"207",734008221,66484,"Riedelberg",2300,2013-08-16,"E3025401WEA0005000093260000007510",3697109,1607.43869565217,3697
"208",713301032,55546,"Fürfeld",2300,2013-12-27,"E3025401WEA0005000102220000011949",3816801,1659.47869565217,3817
"209",713301032,55546,"Fürfeld",3050,2013-12-23,"E3025401WEA0005000102220000011950",5497489,1802.45540983607,5497
"210",713301032,55546,"Fürfeld",3050,2013-12-18,"E3025401WEA0005000102220000011951",5340639,1751.02918032787,5341
"211",713301032,55546,"Fürfeld",3050,2014-07-14,"E3025401WEA000500010222FUERFELD04",5340639,1751.02918032787,5341
"212",733307003,67821,"Alsenz",3075,2014-08-01,"E3025401WEA00UWALSENZ370000000001",6255305,2034.24552845528,6255
"213",733307003,67821,"Alsenz",3075,2014-07-28,"E3025401WEA00UWALSENZ370000000002",6255305,2034.24552845528,6255
"214",733307003,67821,"Alsenz",3075,2014-08-12,"E3025401WEA00UWALSENZ370000000003",6255305,2034.24552845528,6255
