"","eeg_nr","leistung_m","inbetrieb_m","gem_m","b_wgs84","l_wgs84","nabe_m","rotor_m","gem","plz","ort","leistung","inbetriebnahme","menge_kwh"
"26","E30254010000000000005230789401732","1800","16.7.2004",7335033,"49,552833","7,656802",65,66,733510033,67737,"Olsbrücken",1800,"2004-07-16",2073185
"27","E30254010000000000005230789401733","1800","27.7.2004",7335033,"49,556707","7,65823",65,66,733510033,67737,"Olsbrücken",1800,"2004-07-27",2073177
"28","E30254010000000000005230789401734","2000","3.12.2004",7335029,"49,577767","7,729233",98,70,733510029,67700,"Niederkirchen",2000,"2005-03-24",2554238
"29","E30254010000000000005230789401735","2000","30.11.2004",7335029,"49,576873","7,731607",98,77,733510029,67700,"Niederkirchen",2000,"2005-03-24",2554238
"30","E30254010000000000005230789401736","2000","24.3.2005",7335029,"49,584019","7,731028",98,70,733510029,67700,"Niederkirchen",2000,"2004-11-30",2554238
"31","E30254010000000000005230789401737","2000","24.3.2005",7335029,"49,585967","7,731109",98,70,733510029,67700,"Niederkirchen",2000,"2004-12-02",2554238
"32","E30254010000000000005230789401738","2000","7.4.2006",7335029,"49,584602","7,720648",98,70,733510029,67700,"Niederkirchen",2000,"2006-03-22",2882998
"33","E30254010000000000005230789401739","2000","17.5.2006",7335029,"49,583218","7,723228",98,70,733510029,67700,"Niederkirchen",2000,"2006-05-08",2882998
"34","E30254010000000000005230789401740","2000","30.3.2006",7335029,"49,588547","7,720517",98,70,733510029,67700,"Niederkirchen",2000,"2006-03-30",2882998
"35","E30254010000000000005230789401741","2000","22.3.2006",7335029,"49,586589","7,720637",98,70,733510029,67700,"Niederkirchen",2000,"2006-05-18",2882998
"36","E30254010000000000005230789401742","2000","8.5.2006",7335029,"49,587505","7,724652",98,70,733510029,67700,"Niederkirchen",2000,"2006-05-24",2882998
"37","E30254010000000000005230789401743","2000","24.5.2006",7335029,"49,586613","7,727745",98,70,733510029,67700,"Niederkirchen",2000,"2006-04-07",2882992
"38","E30254010000000000005230789408782","2300","8.1.2009",7336086,"49,605","7,65509",65,70,733608036,67753,"Hefersweiler",2300,"2009-01-08",2344728
"39","E30254010000000000005230789408817","2300","12.1.2009",7336036,"49,60921","7,66289",65,70,733608036,67753,"Hefersweiler",2300,"2009-01-13",2344728
"40","E30254010000000000005230789408818","2300","13.1.2009",7336085,"49,60801","7,65637",65,70,733608085,67753,"Reipoltskirchen",2300,"2009-01-14",2344719
"41","E30254010000000000005230789408838","2300","12.1.2009",7336036,"49,61113","7,66179",65,70,733608086,67753,"Relsberg",2300,"2009-01-12",2344728
"42","E30254010000000000005230789801746","1500","30.9.2005",7337039,"49,168084","8,251131",100,77,733704039,76863,"Herxheimweyher",1500,"2005-10-01",2411405
"43","E30254010000000000005230789801747","1500","10.10.2005",7337039,"49,165615","8,25461",100,77,733704039,76863,"Herxheimweyher",1500,"2005-10-10",2411405
"44","E30254010000000000005230789801748","1500","12.10.2005",7334025,"49,163768","8,260973",100,77,733704039,76863,"Herxheimweyher",1500,"2005-12-31",2411405
"45","E30254010000000000005230789801749","1500","22.10.2005",7337039,"49,165163","8,25836",100,77,733704039,76863,"Herxheimweyher",1500,"2005-12-31",2411405
"46","E30254010000000000005230789801750","1500","17.2.2006",7334025,"49,164089","8,264848",100,77,733704039,76863,"Herxheimweyher",1500,"2005-12-31",2411405
"47","E30254010000000000005230789807055","1500","27.9.2005",7337039,"49,167872","8,247555",100,77,733704039,76863,"Herxheimweyher",1500,"2005-10-01",2411405
