"","X","eeg_nr","leistung_m","inbetrieb_m","gem_m","b_wgs84","l_wgs84","nabe_m","rotor_m","gem","plz","ort","leistung","inbetriebnahme","menge_kwh","nearest","menge_mwh","area_m2","area_km2","kwh_m2","d"
"32",32,"E30254010000000000005230789401738","2000","7.4.2006",7335029,49.584602,7.720648,98,70,733510029,67700,"Niederkirchen",2000,"2006-03-22",2882998,289,2883,83521,0.084,34.518,4
"33",33,"E30254010000000000005230789401739","2000","17.5.2006",7335029,49.583218,7.723228,98,70,733510029,67700,"Niederkirchen",2000,"2006-05-08",2882998,316,2883,99856,0.1,28.872,5
"34",34,"E30254010000000000005230789401740","2000","30.3.2006",7335029,49.588547,7.720517,98,70,733510029,67700,"Niederkirchen",2000,"2006-03-30",2882998,285,2883,81225,0.081,35.494,4
"35",35,"E30254010000000000005230789401741","2000","22.3.2006",7335029,49.586589,7.720637,98,70,733510029,67700,"Niederkirchen",2000,"2006-05-18",2882998,285,2883,81225,0.081,35.494,4
"36",36,"E30254010000000000005230789401742","2000","8.5.2006",7335029,49.587505,7.724652,98,70,733510029,67700,"Niederkirchen",2000,"2006-05-24",2882998,320,2883,102400,0.102,28.154,5
"37",37,"E30254010000000000005230789401743","2000","24.5.2006",7335029,49.586613,7.727745,98,70,733510029,67700,"Niederkirchen",2000,"2006-04-07",2882992,320,2883,102400,0.102,28.154,5
"38",38,"E30254010000000000005230789408782","2300","8.1.2009",7336086,49.605,7.65509,65,70,733608036,67753,"Hefersweiler",2300,"2009-01-08",2344728,454,2345,206116,0.206,11.376,6
"39",39,"E30254010000000000005230789408817","2300","12.1.2009",7336036,49.60921,7.66289,65,70,733608036,67753,"Hefersweiler",2300,"2009-01-13",2344728,298,2345,88804,0.089,26.403,4
"40",40,"E30254010000000000005230789408818","2300","13.1.2009",7336085,49.60801,7.65637,65,70,733608085,67753,"Reipoltskirchen",2300,"2009-01-14",2344719,454,2345,206116,0.206,11.376,6
"41",41,"E30254010000000000005230789408838","2300","12.1.2009",7336036,49.61113,7.66179,65,70,733608086,67753,"Relsberg",2300,"2009-01-12",2344728,298,2345,88804,0.089,26.403,4
"42",42,"E30254010000000000005230789801746","1500","30.9.2005",7337039,49.168084,8.251131,100,77,733704039,76863,"Herxheimweyher",1500,"2005-10-01",2411405,344,2411,118336,0.118,20.378,4
"43",43,"E30254010000000000005230789801747","1500","10.10.2005",7337039,49.165615,8.25461,100,77,733704039,76863,"Herxheimweyher",1500,"2005-10-10",2411405,366,2411,133956,0.134,18.001,5
"44",44,"E30254010000000000005230789801748","1500","12.10.2005",7334025,49.163768,8.260973,100,77,733704039,76863,"Herxheimweyher",1500,"2005-12-31",2411405,323,2411,104329,0.104,23.113,4
"45",45,"E30254010000000000005230789801749","1500","22.10.2005",7337039,49.165163,8.25836,100,77,733704039,76863,"Herxheimweyher",1500,"2005-12-31",2411405,323,2411,104329,0.104,23.113,4
"46",46,"E30254010000000000005230789801750","1500","17.2.2006",7334025,49.164089,8.264848,100,77,733704039,76863,"Herxheimweyher",1500,"2005-12-31",2411405,375,2411,140625,0.141,17.148,5
"47",47,"E30254010000000000005230789807055","1500","27.9.2005",7337039,49.167872,8.247555,100,77,733704039,76863,"Herxheimweyher",1500,"2005-10-01",2411405,344,2411,118336,0.118,20.378,4
"48",48,"E30254010000000000005230790301752","1500","22.12.2005",7316000,49.386136,8.270259,100,77,733200025,67454,"Haßloch",1500,"2005-12-23",2143091,632,2143,399424,0.399,5.365,8
"49",49,"E30254010000000000005230790306701","1500","22.12.2005",7316000,49.381927,8.268697,100,77,733200025,67454,"Haßloch",1500,"2005-12-16",2143096,632,2143,399424,0.399,5.365,8
"50",50,"E30254010000000000005230790601754","2300","2.2.2006",7340022,49.30543,7.61455,114,70,734006022,66989,"Höheinöd",2300,"2006-02-02",2968590,341,2969,116281,0.116,25.529,5
"51",51,"E30254010000000000005230790601755","2000","17.8.2006",7340022,49.303426,7.616378,1135,71,734006022,66989,"Höheinöd",2000,"2006-08-17",2852936,341,2853,116281,0.116,24.535,5
"52",52,"E30254010000000000005230790606676","2300","24.1.2006",7340022,49.302891,7.609465,114,70,734006022,66989,"Höheinöd",2300,"2006-01-24",2968590,611,2969,373321,0.373,7.952,9
"53",53,"E30254010000000000005230791001762","1500","22.9.2004",7334020,49.081286,8.155437,100,77,733404020,76872,"Minfeld",1500,"2004-09-22",2504323,304,2504,92416,0.092,27.098,4
"54",54,"E30254010000000000005230791001763","1500","14.9.2004",7334020,49.081483,8.152292,100,77,733404020,76872,"Minfeld",1500,"2004-09-14",2504323,304,2504,92416,0.092,27.098,4
"55",55,"E30254010000000000005230791001764","1500","15.9.2004",7334020,49.079857,8.158007,100,77,733404020,76872,"Minfeld",1500,"2004-09-15",2504323,324,2504,104976,0.105,23.856,4
"56",56,"E30254010000000000005230791006703","1500","22.9.2004",7334020,49.082963,8.147428,100,77,733404020,76872,"Minfeld",1500,"2004-09-22",2504323,375,2504,140625,0.141,17.809,5
"57",57,"E30254010000000000005230791008781","2000","12.2.2009",7334020,49.085519,8.147192,105,90,733404020,76872,"Minfeld",2000,"2009-02-12",3610916,375,3611,140625,0.141,25.678,4
"58",58,"E30254010000000000005230797401809","1250","28.3.2003",7335003,49.333007,7.492786,68,64,734009216,66894,"Krähenberg",1250,"2003-03-28",1252114,339,1252,114921,0.115,10.895,5
"59",59,"E30254010000000000005230797401810","1250","25.3.2003",7335003,49.335168,7.490376,68,64,734009216,66894,"Krähenberg",1250,"2003-03-25",1252114,325,1252,105625,0.106,11.854,5
"60",60,"E30254010000000000005230797401811","1250","19.3.2003",7335003,49.336903,7.48825,915,64,734009216,66894,"Krähenberg",1250,"2003-03-19",1374979,251,1375,63001,0.063,21.825,4
"61",61,"E30254010000000000005230797401812","1250","31.3.2003",7335003,49.337976,7.486198,915,64,734009216,66894,"Krähenberg",1250,"2003-03-31",1374979,251,1375,63001,0.063,21.825,4
"62",62,"E30254010000000000005230797405750","1250","31.3.2003",7335003,49.331644,7.4878,915,64,734009216,66894,"Krähenberg",1250,"2003-03-31",1374978,359,1375,128881,0.129,10.669,6
"63",63,"E30254010000000000005230797501801","1500","17.1.2006",7334028,49.266912,8.355917,100,77,733405028,67365,"Schwegenheim",1500,"2006-01-17",1833372,713,1833,508369,0.508,3.606,9
"64",64,"E30254010000000000005230797501802","1500","31.1.2006",7334028,49.268489,8.362973,100,77,733405028,67365,"Schwegenheim",1500,"2006-01-31",1833372,669,1833,447561,0.448,4.096,9
"65",65,"E30254010000000000005230797501803","1500","23.12.2005",7334028,49.265038,8.348838,100,77,733405028,67365,"Schwegenheim",1500,"2005-12-23",1833372,730,1833,532900,0.533,3.44,9
"66",66,"E30254010000000000005230797601805","850","29.1.2002",7336052,49.49695,7.345698,74,52,733610052,66871,"Konken",850,"2002-02-01",1134210,288,1134,82944,0.083,13.674,6
"67",67,"E30254010000000000005230797601806","850","29.1.2002",7336052,49.495237,7.344047,74,52,733610052,66871,"Konken",850,"2002-02-01",1134210,295,1134,87025,0.087,13.033,6
"68",68,"E30254010000000000005230797601807","850","29.1.2002",7336052,49.495481,7.347723,74,52,733610052,66871,"Konken",850,"2002-02-01",1134210,288,1134,82944,0.083,13.674,6
"69",69,"E30254010000000000005230797606681","850","29.1.2002",7336052,49.496783,7.351158,74,52,733610052,66871,"Konken",850,"2002-02-01",1134204,377,1134,142129,0.142,7.98,7
"70",70,"E30254010000000000005230822702034","1500","10.4.2000",7333008,49.628597,7.755712,67,66,733307008,67806,"Bisterschied",1500,"2000-04-10",1975377,253,1975,64009,0.064,30.861,4
"71",71,"E30254010000000000005230822707035","500","4.11.1999",7333008,49.628729,7.758726,65,40,733307008,67806,"Bisterschied",500,"1999-11-04",742214,285,742,81225,0.081,9.138,7
"72",72,"E30254010000000000005230823306682","1000","28.12.2000",7335203,49.369523,7.467375,70,54,733501203,66894,"Martinshöhe",1000,"2000-12-28",1169164,4519,1169,20421361,20.421,0.057,84
"73",73,"E30254010000000000005230823402040","600","28.12.2004",7336074,49.686775,7.666451,78,44,733608074,67748,"Odenbach",600,"2004-12-28",716942,250,717,62500,0.062,11.471,6
"74",74,"E30254010000000000005230823407054","600","28.12.2004",7336074,49.685214,7.665335,78,44,733608074,67748,"Odenbach",600,"2004-12-28",716934,250,717,62500,0.062,11.471,6
"75",75,"E30254010000000000005230826706683","1750","22.12.2003",7336021,49.572734,7.492273,67,66,733610103,66887,"Welchweiler",1750,"2003-12-22",1186884,275,1187,75625,0.076,15.694,4
"76",76,"E30254010000000000005230827307061","1800","27.2.2004",7333008,49.629864,7.753883,98,66,733307008,67806,"Bisterschied",1800,"2004-02-27",2707546,253,2708,64009,0.064,42.299,4
"77",77,"E30254010000000000005230837706693","500","5.2.1998",7333031,49.679773,8.076552,65,40,733304031,67294,"Ilbesheim",500,"1998-02-05",725465,2396,725,5740816,5.741,0.126,60
"78",78,"E30254010000000000005230876501820","600","7.5.2002",7336069,49.6504,7.6976,65,44,733608069,67759,"Nußbach",600,"2002-05-07",1022546,647,1023,418609,0.419,2.443,15
"79",79,"E30254010000000000005230888706707","1600","12.12.2003",7336069,49.6523,7.7038,98,70,733608069,67759,"Nußbach",1600,"2003-12-12",3219360,420,3219,176400,0.176,18.25,6
"80",80,"E30254010000000000005230940402446","2000","13.4.2006",7338023,49.293704,8.379747,105,90,733807023,67354,"Römerberg",2000,"2006-04-13",3159743,558,3160,311364,0.311,10.148,6
"81",81,"E30254010000000000005230940406757","2000","1.10.2008",7338023,49.296821,8.383127,105,90,733807023,67354,"Römerberg",2000,"2008-10-01",3052733,558,3053,311364,0.311,9.804,6
"82",82,"E30254010000000000005231606303528","2000","14.2.2003",7335501,49.520949,7.530289,100,80,733509501,66879,"Reichenbach-Steegen",2000,"2003-02-14",2885151,333,2885,110889,0.111,26.018,4
"83",83,"E30254010000000000005231606303529","2000","19.1.2003",7335501,49.519808,7.533332,100,80,733509501,66879,"Reichenbach-Steegen",2000,"2003-01-19",2885151,298,2885,88804,0.089,32.489,4
"84",84,"E30254010000000000005231606303530","2000","16.1.2003",7335501,49.518207,7.53529,100,80,733509501,66879,"Reichenbach-Steegen",2000,"2003-01-16",2885151,298,2885,88804,0.089,32.489,4
"85",85,"E30254010000000000005231606303531","2000","28.12.2002",7335501,49.518739,7.539336,100,80,733509501,66879,"Reichenbach-Steegen",2000,"2002-12-28",2885151,365,2885,133225,0.133,21.656,5
"86",86,"E30254010000000000005231606303532","2000","29.12.2002",7335501,49.519194,7.543122,100,80,733509501,66879,"Reichenbach-Steegen",2000,"2002-12-29",2885151,365,2885,133225,0.133,21.656,5
"87",87,"E30254010000000000005231606303533","2000","8.12.2004",7336087,49.530546,7.589261,98,704,733608087,67753,"Rothselberg",2000,"2004-12-08",2411487,612,2411,374544,0.375,6.438,1
"88",88,"E30254010000000000005231606303534","2000","2.12.2004",7336087,49.521912,7.607461,98,704,733608087,67753,"Rothselberg",2000,"2004-12-02",2411484,813,2411,660969,0.661,3.648,1
"89",89,"E30254010000000000005231607403543","1650","19.10.2000",7333038,49.58767,8.079197,67,66,733302038,67304,"Kerzenheim",1650,"2000-10-19",1396482,382,1396,145924,0.146,9.57,6
"90",90,"E30254010000000000005231615906699","1500","20.8.2003",7333038,49.586088,8.068118,647,705,733302038,67304,"Kerzenheim",1500,"2003-08-20",1842254,798,1842,636804,0.637,2.893,1
"91",91,"E30254010000000000005231640303562","2000","28.2.2007",7336047,49.499972,7.404166,105,90,733609047,66909,"Hüffler",2000,"2007-02-28",3818634,364,3819,132496,0.132,28.821,4
"92",92,"E30254010000000000005231640307069","2000","21.2.2007",7336047,49.502427,7.404858,105,90,733609047,66909,"Hüffler",2000,"2007-02-21",3818627,364,3819,132496,0.132,28.821,4
"93",93,"E30254010000000000005231819004016","800","9.8.2007",7340016,49.324,7.61322,758,48,734006016,66919,"Hermersberg",800,"2007-08-09",1174216,235,1174,55225,0.055,21.262,5
"94",94,"E30254010000000000005231819006705","800","7.8.2007",7340016,49.324202,7.610776,758,48,734006016,66919,"Hermersberg",800,"2007-08-07",1174216,235,1174,55225,0.055,21.262,5
"95",95,"E30254010000000000005231819007703","2000","8.7.2008",7340055,49.323744,7.594404,138,82,734006016,66919,"Hermersberg",2000,"2008-07-10",4024250,380,4024,144400,0.144,27.869,5
"96",96,"E30254010000000000005231819007704","2000","16.7.2008",7340055,49.31567,7.593234,138,82,734006016,66919,"Hermersberg",2000,"2008-07-29",4024251,625,4024,390625,0.391,10.302,8
"97",97,"E30254010000000000005231821504019","2000","3.8.2007",7336021,49.575628,7.492944,65,70,733610103,66887,"Welchweiler",2000,"2007-08-03",1700281,426,1700,181476,0.181,9.369,6
"98",98,"E30254010000000000005232123306711","2000","28.12.2007",7340015,49.294891,7.624759,108,82,734006054,67714,"Waldfischbach-Burgalben",2000,"2007-12-28",3092015,475,3092,225625,0.226,13.704,6
"99",99,"E30254010000000000005232123306712","2000","27.12.2007",7340015,49.296296,7.631006,108,82,734006022,66989,"Höheinöd",2000,"2007-12-27",3092015,631,3092,398161,0.398,7.766,8
"100",100,"E30254010000000000005232123306713","2000","30.1.2008",7340015,49.291881,7.626631,108,82,734006054,67714,"Waldfischbach-Burgalben",2000,"2008-01-30",3092016,475,3092,225625,0.226,13.704,6
"101",101,"E30254010000000000005232263805059","2000","4.3.2008",7337061,49.170983,8.20202,105,90,733707061,76877,"Offenbach",2000,"2008-03-04",3564919,368,3565,135424,0.135,26.324,4
"102",102,"E30254010000000000005232263805060","2000","17.3.2008",7337061,49.167192,8.2064,105,90,733707061,76877,"Offenbach",2000,"2008-03-17",3564919,360,3565,129600,0.13,27.507,4
"103",103,"E30254010000000000005232263805061","2000","8.3.2008",7337061,49.169503,8.205116,105,90,733707061,76877,"Offenbach",2000,"2008-03-08",3564912,360,3565,129600,0.13,27.507,4
"104",104,"E30254010000000000005232790909814","2000","7.10.2008",7338023,49.297747,8.377295,105,90,733807023,67354,"Römerberg",2000,"2008-10-07",3052724,573,3053,328329,0.328,9.298,6
"105",105,"E30254010000000000005232855709017","2300","27.2.2009",7340221,49.172108,7.466173,98,71,734008221,66484,"Riedelberg",2300,"2009-02-27",3114291,384,3114,147456,0.147,21.12,5
"106",106,"E30254010000000000005232855709018","2300","4.3.2009",7340221,49.170805,7.469643,98,71,734008221,66484,"Riedelberg",2300,"2009-03-04",3114293,384,3114,147456,0.147,21.12,5
"107",107,"E30254010000000000005232855709019","2000","3.3.2009",7340221,49.170418,7.473716,98,82,734008221,66484,"Riedelberg",2000,"2009-03-03",3705969,390,3706,152100,0.152,24.365,5
"108",108,"E30254010000000000005232855709020","2000","27.2.2009",7340221,49.169497,7.477531,98,82,734008221,66484,"Riedelberg",2000,"2009-02-27",3705969,390,3706,152100,0.152,24.365,5
"109",109,"E30254010000000000005233312514223","2000","26.10.2009",7336003,49.560905,7.427893,108,82,733610003,66885,"Erdesbach-Patersbach",2000,"2009-10-26",2812792,504,2813,254016,0.254,11.073,6
"110",110,"E30254010000000000005233312514224","2000","3.11.2009",7336003,49.563606,7.422525,108,82,733610022,66887,"Erdesbach-Patersbach",2000,"2009-11-03",2812792,507,2813,257049,0.257,10.943,6
"111",111,"E30254010000000000005233312514225","2000","3.11.2009",7336003,49.560124,7.422714,108,82,733610022,66887,"Erdesbach-Patersbach",2000,"2009-11-03",2812791,406,2813,164836,0.165,17.064,5
"112",112,"E30254010000000000005233312514226","2000","12.10.2009",7336003,49.557391,7.421888,108,82,733610003,66885,"Erdesbach-Patersbach",2000,"2009-10-12",2812792,406,2813,164836,0.165,17.064,5
"113",113,"E30254010000000000005233432816109","2000","28.11.2009",7340226,49.21603,7.49013,105,90,734008226,66484,"Walshausen",2000,"2009-11-28",3690572,355,3691,126025,0.126,29.284,4
"114",114,"E30254010000000000005233432816110","2000","1.12.2009",7340226,49.21436,7.49281,105,90,734008226,66484,"Walshausen",2000,"2009-12-01",3690567,355,3691,126025,0.126,29.284,4
"115",115,"E30254010000000000005234010625532","7580","24.11.2010",7333025,49.678627,7.896039,135,126,NA,NA,NA,NA,NA,NA,348,NA,121104,0.121,NA,3
"116",116,"E30254010000000000005234010639491","3050","28.10.2011",7333025,49.67732,7.90634,135,101,733307025,67813,"Gerbach",3050,"2011-10-28",8012878,515,8013,265225,0.265,30.212,5
"117",117,"E30254010000000000005234201028183","2500","4.2.2011",7338006,49.400356,8.324114,135,100,733801006,67125,"Dannstadt-Schauernheim",2500,"2011-02-04",3663506,560,3664,313600,0.314,11.682,6
"118",118,"E30254010000000000005234201028184","2500","2.2.2011",7338005,49.399298,8.318452,135,100,733800005,67459,"Böhl-Iggelheim",2500,"2011-02-02",3663507,560,3664,313600,0.314,11.682,6
"119",119,"E30254010000000000005234239828155","2000","30.12.2010",7332010,49.586289,8.272211,108,82,733207010,67246,"Dirmstein",2000,"2010-12-30",3285475,305,3285,93025,0.093,35.318,4
"120",120,"E30254010000000000005234239828156","2000","29.12.2010",7332010,49.586054,8.278192,108,82,733207010,67246,"Dirmstein",2000,"2010-12-30",3284043,318,3284,101124,0.101,32.475,4
"121",121,"E30254010000000000005234430229628","2000","31.3.2011",7336055,49.493047,7.357079,105,90,733609041,66909,"Herschweiler-Pettersheim",2000,"2011-03-31",3412674,362,3413,131044,0.131,26.042,4
"122",122,"E30254010000000000005234430229629","2000","10.3.2011",7336006,49.493163,7.36553,105,90,733609101,66909,"Wahnwegen",2000,"2011-03-10",3412676,452,3413,204304,0.204,16.704,5
"123",123,"E30254010000000000005234767337518","800","13.7.2007",7336021,49.570928,7.491431,758,48,733610103,66887,"Welchweiler",800,"2007-07-13",782829,275,783,75625,0.076,10.351,6
"124",124,"E30254010WEA1OBERNDORF0FLUR322006","2750","5.9.2014",7333055,49.703675,7.824258,139,120,733307055,67821,"Oberndorf",2530,"2014-09-05",5483956,550,5484,302500,0.302,18.129,5
"125",125,"E30254010WEA2GOLLWALD00FLUR474306","2750","23.9.2014",7333026,49.571669,7.988501,139,120,733303026,67307,"Göllheim",2530,"2014-09-23",5468956,603,5469,363609,0.364,15.041,5
"126",126,"E30254010WEA2GOLLWALD00FLUR475902","2750","4.9.2014",7333026,49.571299,7.982149,139,120,733303026,67307,"Göllheim",2530,"2014-09-04",5468956,452,5469,204304,0.204,26.769,4
"127",127,"E30254010WEA2GOLLWALD00FLUR475903","2750","11.9.2014",7333026,49.573993,7.97977,139,120,733303026,67307,"Göllheim",2530,"2014-09-11",5468956,452,5469,204304,0.204,26.769,4
"128",128,"E30254010WEA2GOLLWALD00FLUR476304","2750","13.9.2014",7333026,49.576934,7.976805,139,120,733303026,67307,"Göllheim",2530,"2014-09-13",5468956,466,5469,217156,0.217,25.184,4
"129",129,"E30254010WEA2GOLLWALD00FLUR476305","2750","23.9.2014",7333026,49.578424,7.972446,139,120,733303026,67307,"Göllheim",2530,"2014-09-23",5468952,466,5469,217156,0.217,25.184,4
"130",130,"E30254010WEA2OBERNDORF0FLUR306006","2750","1.9.2014",7333055,49.704111,7.830056,139,120,733307055,67821,"Oberndorf",2530,"2014-09-01",5483960,550,5484,302500,0.302,18.129,5
"131",131,"E30254011000000000005231616306700","2000","30.12.2004",7338013,49.586441,8.284324,98,70,733806013,67259,"Heuchelheim",2000,"2004-12-30",2255677,278,2256,77284,0.077,29.187,4
"132",132,"E30254012000000000005231616306700","2000","13.5.2005",7338009,49.584225,8.290069,113,70,733806013,67259,"Heuchelheim",2000,"2005-05-13",2355899,210,2356,44100,0.044,53.422,3
"133",133,"E30254013000000000005231616306700","2000","21.4.2005",7338013,49.586063,8.28925,98,70,733806013,67259,"Heuchelheim",2000,"2005-05-03",2255677,199,2256,39601,0.04,56.96,3
"134",134,"E30254014000000000005231616306700","2000","15.4.2005",7338013,49.58453,8.284287,98,70,733806013,67259,"Heuchelheim",2000,"2005-04-15",2255674,278,2256,77284,0.077,29.187,4
"135",135,"E30254015000000000005231616306700","800","3.2.2005",7338013,49.583,8.29124,76,48,733806013,67259,"Heuchelheim",800,"2005-02-03",903367,210,903,44100,0.044,20.485,4
"136",136,"E3025401PVA0000000000009000011337","3000","31.5.2013",7335205,49.511284,7.88393,135,101,733502004,67677,"Enkenbach-Alsenborn",3000,"2013-05-31",5211716,7770,5212,60372900,60.373,0.086,77
"137",137,"E3025401WEA0000000000ESSELBORN001","3075","16.10.2013",7331022,49.702394,8.115272,140,112,733101022,55234,"Esselborn",3075,"2013-10-16",7476259,561,7476,314721,0.315,23.755,5
"138",138,"E3025401WEA0000000000ESSELBORN002","3075","17.10.2013",7331022,49.699907,8.108869,140,112,733101022,55234,"Esselborn",3075,"2013-10-17",7476254,452,7476,204304,0.204,36.594,4
"139",139,"E3025401WEA0000000000OBERHAUSEN01","3075","2.4.2014",7333053,49.723831,7.852142,140,112,733307053,67822,"Oberhausen",3075,"2014-04-02",6245691,673,6246,452929,0.453,13.79,6
"140",140,"E3025401WEA0000000000OBERHAUSEN02","3075","11.4.2014",7333053,49.715885,7.848181,140,112,733307053,67822,"Oberhausen",3075,"2014-04-11",6245686,600,6246,360000,0.36,17.349,5
"141",141,"E3025401WEA000000000HUNGERBERG001","3075","27.12.2013",7333010,49.647127,8.041429,140,112,733304010,67295,"Bolanden",3075,"2013-12-27",6542120,736,6542,541696,0.542,12.077,7
"142",142,"E3025401WEA000000000HUNGERBERG004","3075","31.1.2014",7333022,49.654588,8.045203,140,112,733304022,67294,"Gauersheim",3075,"2014-01-31",6533594,429,6534,184041,0.184,35.501,4
"143",143,"E3025401WEA000000000HUNGERBERG005","3075","31.1.2014",7333062,49.658403,8.048717,140,112,733304062,67294,"Rittersheim",3075,"2014-01-31",6533594,481,6534,231361,0.231,28.24,4
