gemeinde,vg,kreis,datum,nennleist,nabenhoehe,rotor,gesamthoeh,bemerkung,planstd,gem_neu,xcoord,ycoord
Mehring,Schweich a.d. Röm.Weinstr.,Trier-Saarburg,2003/09/16,"2000",113.50,71.00,149.00,,am Netz,"723506083",344981.761612749,5513663.42997339
Mehring,Schweich a.d. Röm.Weinstr.,Trier-Saarburg,2003/09/16,"2000",113.50,71.00,149.00,,am Netz,"723506083",345223.093463247,5513542.7045589
Mehring,Schweich a.d. Röm.Weinstr.,Trier-Saarburg,2003/09/16,"2000",113.50,71.00,149.00,,am Netz,"723506083",345426.820621943,5513457.50567154
Mehring,Schweich a.d. Röm.Weinstr.,Trier-Saarburg,2003/09/16,"2000",113.50,71.00,149.00,,am Netz,"723506083",346014.262786294,5513383.97672545
Mehring,Schweich a.d. Röm.Weinstr.,Trier-Saarburg,2003/09/16,"2000",113.50,71.00,149.00,,am Netz,"723506083",346249.558520269,5513437.60611989
Mehring,Schweich a.d. Röm.Weinstr.,Trier-Saarburg,2003/09/16,"2000",113.50,71.00,149.00,,am Netz,"723506083",346490.769590574,5513188.80403157
Bescheid,Hermeskeil,Trier-Saarburg,2004/10/19,"2000",85.00,71.00,120.50,,am Netz,"723501005",346580.686949027,5512684.88552641
Bescheid,Hermeskeil,Trier-Saarburg,2004/10/19,"2000",85.00,71.00,120.50,,am Netz,"723501005",346539.004781112,5512968.7342858
Bescheid,Hermeskeil,Trier-Saarburg,2004/10/19,"2000",85.00,71.00,120.50,,am Netz,"723501005",346548.36041347,5512376.97932193
Naurath (Wald),Hermeskeil,Trier-Saarburg,2004/10/19,"2000",85.00,71.00,120.50,,am Netz,"723501092",346792.8794609,5513612.00039551
Alpenrod,Hachenburg,Westerwaldkreis,1998/08/15,"500",65.00,40.00,85.00,,am Netz,"714302202",418959.247883859,5608150.55780351
Alpenrod,Hachenburg,Westerwaldkreis,2000/09/12,"600",65.00,44.00,87.00,,am Netz,"714302202",418842.220229986,5608290.03308565
Alpenrod,Hachenburg,Westerwaldkreis,1998/08/31,"500",65.00,40.00,85.00,,am Netz,"714302202",418714.34160056,5608589.05303647
Alpenrod,Hachenburg,Westerwaldkreis,2002/04/30,"600",65.00,44.00,87.00,,am Netz,"714302202",418749.38556224,5608461.23820147
Alpenrod,Hachenburg,Westerwaldkreis,2010/11/19,"2000",108.00,82.00,149.00,,am Netz,"714302202",417419.999998972,5608326.99999951
Alpenrod,Hachenburg,Westerwaldkreis,2010/11/19,"2000",108.00,82.00,149.00,,am Netz,"714302202",417550,5607837
Alpenrod,Hachenburg,Westerwaldkreis,2010/11/19,"2000",108.00,82.00,149.00,,am Netz,"714302202",417843.999999504,5608397.99999976
Alpenrod,Hachenburg,Westerwaldkreis,2010/11/19,"2000",108.00,82.00,149.00,,am Netz,"714302202",417722.999999499,5608123.99999976
Alpenrod,Hachenburg,Westerwaldkreis,2010/11/19,"2000",108.00,82.00,149.00,,am Netz,"714302202",417967,5607914
Fehl-Ritzhausen,Bad Marienberg (Ww),Westerwaldkreis,1997/07/15,"500",65.00,40.00,85.00,,am Netz,"714301222",429392.12597218,5611562.5107292
Fehl-Ritzhausen,Bad Marienberg (Ww),Westerwaldkreis,1996/05/15,"600",53.00,44.00,75.00,,am Netz,"714301222",429538.763006718,5611377.62469342
Fehl-Ritzhausen,Bad Marienberg (Ww),Westerwaldkreis,2004/03/12,"1800",86.00,70.00,121.00,,am Netz,"714301222",429720.236373809,5611756.64053438
Giesenhausen,Hachenburg,Westerwaldkreis,1996/08/12,"600",53.00,44.00,75.00,,am Netz,"714302225",410117.120868029,5617116.03195037
Girkenroth,Westerburg,Westerwaldkreis,2008/01/23,"2000",113.50,71.00,149.00,,am Netz,"714309226",427854.025410212,5596780.90104012
Girkenroth,Westerburg,Westerwaldkreis,2008/01/23,"2000",138.40,82.00,179.40,,am Netz,"714309226",428684.701503243,5596912.84296912
Hahn am See,Wallmerod,Westerwaldkreis,2001/12/28,"1000",70.00,54.00,97.00,,am Netz,"714308232",420483.91185856,5598248.37863817
Hartenfels,Selters (Westerwald),Westerwaldkreis,2006/11/30,"2000",113.50,71.00,149.00,,am Netz,"714307025",412664.045864676,5607848.67060322
Hartenfels,Selters (Westerwald),Westerwaldkreis,2006/11/30,"2000",113.50,71.00,149.00,,am Netz,"714307025",412909.947522517,5607684.73359115
Hartenfels,Selters (Westerwald),Westerwaldkreis,2006/11/30,"2000",113.50,71.00,149.00,,am Netz,"714307025",413017.903143698,5607451.82466408
Hartenfels,Selters (Westerwald),Westerwaldkreis,2006/11/30,"2000",113.50,71.00,149.00,,am Netz,"714307025",413144.851637395,5607268.89590828
Herschbach,Selters (Westerwald),Westerwaldkreis,2006/11/30,"2000",113.50,71.00,149.00,,am Netz,"714307029",412397.140536468,5606412.23854543
Herschbach,Selters (Westerwald),Westerwaldkreis,2006/11/30,"2000",113.50,71.00,149.00,,am Netz,"714307029",412761.999432751,5606813.07810415
Höchstenbach,Hachenburg,Westerwaldkreis,2006/11/30,"2000",113.00,71.00,149.00,,am Netz,"714302241",412412.145991701,5607934.63837584
Höchstenbach,Hachenburg,Westerwaldkreis,2009/08/03,"2000",138.00,82.00,179.00,,am Netz,"714302241",412116.262771244,5607924.64425732
Hof,Bad Marienberg (Ww),Westerwaldkreis,1997/09/29,"500",65.00,40.00,85.00,,am Netz,"714301243",431435.710251971,5613049.47338925
Hof,Bad Marienberg (Ww),Westerwaldkreis,1994/12/13,"500",54.50,36.00,74.00,,am Netz,"714301243",431475.695877105,5613258.39107092
Hof,Bad Marienberg (Ww),Westerwaldkreis,1997/10/01,"500",65.00,40.00,85.00,,am Netz,"714301243",431462.701745727,5613393.33841269
Hof,Bad Marienberg (Ww),Westerwaldkreis,2003/12/03,"1000",89.00,58.60,118.30,,am Netz,"714301243",431634.634540889,5613378.34200049
Homberg,Rennerod,Westerwaldkreis,2005/02/15,"1500",100.00,77.00,138.00,,am Netz,"714306244",437634.281882675,5611299.07808986
Kirburg,Bad Marienberg (Ww),Westerwaldkreis,1998/07/23,"750",70.00,52.00,96.00,,am Netz,"714301248",424792.326851369,5615096.73380953
Kundert,Hachenburg,Westerwaldkreis,2011/12/30,"850",73.00,53.00,99.00,,am Netz,"714302252",415465.023053295,5619971.86959189
Kundert,Hachenburg,Westerwaldkreis,2012/01/13,"850",73.00,53.00,99.00,,am Netz,"714302252",414987.211698536,5619959.87704144
Kundert,Hachenburg,Westerwaldkreis,2003/12/12,"1800",114.00,70.00,149.00,,am Netz,"714302252",415158.145812648,5620290.74485031
Kundert,Hachenburg,Westerwaldkreis,2003/11/18,"1800",114.00,70.00,149.00,,am Netz,"714302252",415542.993312102,5620186.78391208
Langenbach bei Kirburg,Bad Marienberg (Ww),Westerwaldkreis,2003/02/14,"1000",89.00,58.00,118.00,,am Netz,"714301253",425602.022784879,5617522.774801
Langenbach bei Kirburg,Bad Marienberg (Ww),Westerwaldkreis,1995/05/10,"600",50.00,41.00,70.50,,am Netz,"714301253",425553.043245104,5617881.63321837
Langenbach bei Kirburg,Bad Marienberg (Ww),Westerwaldkreis,1997/09/15,"500",65.00,40.00,85.00,,am Netz,"714301253",425832.890332738,5617627.1164902
Langenbach bei Kirburg,Bad Marienberg (Ww),Westerwaldkreis,1997/06/17,"500",65.00,40.00,85.00,,am Netz,"714301253",425702.865325584,5617774.34747147
Mündersbach,Hachenburg,Westerwaldkreis,2006/11/30,"2000",113.50,71.00,149.00,,am Netz,"714302268",412351.68742035,5607507.80412268
Mündersbach,Hachenburg,Westerwaldkreis,2006/11/30,"2000",113.00,71.00,149.00,,am Netz,"714302268",412592.070223381,5607304.88540352
Mündersbach,Hachenburg,Westerwaldkreis,2006/11/30,"2000",113.00,71.00,149.00,,am Netz,"714302268",412663.040489766,5607076.97475822
Mündersbach,Hachenburg,Westerwaldkreis,2006/11/30,"2000",113.00,71.00,149.00,,am Netz,"714302268",412236.683647732,5607038.570459
Mündersbach,Hachenburg,Westerwaldkreis,2006/11/30,"2000",113.00,71.00,149.00,,am Netz,"714302268",412240.205483549,5606809.08317549
Nisterau,Bad Marienberg (Ww),Westerwaldkreis,1996/01/01,"500",65.00,40.00,85.00,,am Netz,"714301277",428315.931931858,5613348.39237683
Ötzingen,Wirges,Westerwaldkreis,1997/10/02,"250",50.00,29.00,64.50,,am Netz,"714310060",419032.473197058,5597192.80292355
Salzburg,Rennerod,Westerwaldkreis,1995/11/01,"250",50.00,29.00,64.50,,am Netz,"714306291",433141.048025443,5613649.21582591
Salzburg,Rennerod,Westerwaldkreis,1996/02/28,"500",65.00,40.00,85.00,,am Netz,"714306291",431772.580234875,5613300.37069734
Waigandshain,Rennerod,Westerwaldkreis,2005/02/15,"1500",100.00,77.00,138.00,,am Netz,"714306302",436298.805282462,5611760.91433589
Waigandshain,Rennerod,Westerwaldkreis,2005/02/15,"1500",100.00,77.00,138.00,,am Netz,"714306302",436522.717554567,5611690.93885301
Waigandshain,Rennerod,Westerwaldkreis,2005/02/15,"1500",100.00,77.00,138.00,,am Netz,"714306302",436775.618391373,5611595.97280192
Waigandshain,Rennerod,Westerwaldkreis,2005/02/15,"1500",100.00,77.00,138.00,,am Netz,"714306302",437029.51905016,5611540.99104944
Waigandshain,Rennerod,Westerwaldkreis,2005/02/15,"1500",100.00,77.00,138.00,,am Netz,"714306302",437294.415371605,5611476.01307995
Waigandshain,Rennerod,Westerwaldkreis,2005/02/15,"1500",100.00,77.00,138.00,,am Netz,"714306302",436453.743478253,5611502.01389769
Waigandshain,Rennerod,Westerwaldkreis,2005/02/15,"1500",100.00,77.00,138.00,,am Netz,"714306302",436646.667812261,5611425.04157824
Waigandshain,Rennerod,Westerwaldkreis,2005/02/15,"1500",100.00,77.00,138.50,,am Netz,"714306302",436662.660570973,5611232.11708485
Waigandshain,Rennerod,Westerwaldkreis,2005/02/15,"1500",100.00,77.00,138.00,,am Netz,"714306302",436861.583767253,5611386.05406621
Waigandshain,Rennerod,Westerwaldkreis,2005/02/15,"1500",100.00,77.00,138.00,,am Netz,"714306302",436956.545746951,5611197.12698018
Waigandshain,Rennerod,Westerwaldkreis,2005/02/15,"1500",100.00,77.00,138.00,,am Netz,"714306302",437084.49667139,5611360.06135003
Zehnhausen bei Rennerod,Rennerod,Westerwaldkreis,2010/12/16,"2000",113.00,71.00,149.00,,am Netz,"714306315",433715.627749682,5611889.74070495
Zehnhausen bei Rennerod,Rennerod,Westerwaldkreis,2010/12/16,"2000",108.00,82.00,149.00,,am Netz,"714306315",433576.182080045,5612349.74050745
Polch,Maifeld,Mayen-Koblenz,2012/03/17,"2050",100.00,92.00,146.00,,am Netz,"713702089",375469.185026906,5573091.58787667
Polch,Maifeld,Mayen-Koblenz,2012/03/22,"2050",100.00,92.00,146.00,,am Netz,"713702089",376099.241852998,5573474.69470386
Polch,Maifeld,Mayen-Koblenz,2012/03/17,"2050",100.00,92.00,146.00,,am Netz,"713702089",376297.423898353,5573201.11958349
Polch,Maifeld,Mayen-Koblenz,2012/03/19,"2050",100.00,92.00,146.00,,am Netz,"713702089",377419.552606975,5573866.68999367
Naurath (Wald),Hermeskeil,Trier-Saarburg,2011/01/05,"2300",85.00,82.00,126.00,,am Netz,"723501092",346865.648442728,5513139.71242777
Kirf,Saarburg-Kell,Trier-Saarburg,2012/04/25,"2300",138.38,84.00,179.38,,am Netz,"723508062",316930.107729444,5493187.2288068
Mayen,Mayen,Mayen-Koblenz,2011/03/29,"2000",105.00,90.00,150.00,,am Netz,"713700068",371967,5572504.7
Mayen,Mayen,Mayen-Koblenz,2011/03/29,"2000",105.00,90.00,150.00,,am Netz,"713700068",372366,5572927
Roth bei Prüm,Prüm,Eifelkreis Bitburg-Prüm,2011/12/12,"2300",138.00,82.00,179.00,,am Netz,"723206302",316013.913216482,5577167.87300065
Mettweiler,Baumholder,Birkenfeld,2010/03/22,"500",65.00,40.00,85.00,WEA 1,am Netz,"713401054",378801.186056801,5494167.38539352
Waldrach,Ruwer,Trier-Saarburg,2010/09/13,"2300",138.00,82.00,179.00,,am Netz,"723504141",339517.068408786,5513563.69316129
Waldrach,Ruwer,Trier-Saarburg,2010/09/13,"2300",138.00,82.00,179.00,,am Netz,"723504141",339151.293999566,5513555.47918731
Welschbillig,Trier-Land,Trier-Saarburg,2007/01/24,"2000",105.00,92.00,150.00,,am Netz,"723507501",322640.999904591,5524864.99999859
Trierweiler,Trier-Land,Trier-Saarburg,2010/06/25,"2300",138.00,82.00,179.00,,am Netz,"723507137",324553.444293085,5516891.19327442
Trierweiler,Trier-Land,Trier-Saarburg,2010/06/15,"2300",138.00,82.00,179.00,,am Netz,"723507137",324589.999912643,5516471.99999861
Trierweiler,Trier-Land,Trier-Saarburg,2012/08/28,"3000",149.00,101.00,199.50,,am Netz,"723507137",324967.999913945,5516522.99999861
Trierweiler,Trier-Land,Trier-Saarburg,2011/04/28,"2300",108.00,82.00,149.00,,am Netz,"723507137",324803.999913411,5516246.99999861
Reinsfeld,Hermeskeil,Trier-Saarburg,2010/04/18,"1500",100.00,82.00,141.00,,am Netz,"723501114",348857.438394768,5506013.38957525
Berndroth,Aar-Einrich,Rhein-Lahn-Kreis,2011/06/30,"800",73.00,53.00,99.00,im Bau,am Netz,"714111011",426829.568104459,5566556.27200654
Ettinghausen,Wallmerod,Westerwaldkreis,2012/01/31,"800",73.00,53.00,100.00,,am Netz,"714308220",420136.557051231,5597914.31912474
Wilzenberg-Hußweiler,Birkenfeld,Birkenfeld,2013/07/01,"3370",128.00,104.00,180.00,"WEA 5; 06/11",am Netz,"713402094",370402.775599342,5506828.79146273
Niederhambach,Birkenfeld,Birkenfeld,2013/05/27,"3370",128.00,104.00,180.00,"WEA 4; 06/11",am Netz,"713402058",370479.726801905,5506513.32848577
Niederhambach,Birkenfeld,Birkenfeld,2013/06/10,"3370",128.00,104.00,180.00,"WEA 3; 06/11",am Netz,"713402058",370617.325612217,5506211.92156811
Niederhambach,Birkenfeld,Birkenfeld,2013/05/06,"3370",128.00,104.00,180.00,"WEA 2; 06/11",am Netz,"713402058",371017.017394537,5506356.07270264
Niederhambach,Birkenfeld,Birkenfeld,2013/06/12,"3370",128.00,104.00,180.00,"WEA 1; 06/11",am Netz,"713402058",371252.90106935,5506179.15994664
Niederhambach,Birkenfeld,Birkenfeld,2014/12/27,"3000",119.00,112.00,175.00,"WEA 1; 42/11",am Netz,"713402058",369157,5504292
Achtelsbach,Birkenfeld,Birkenfeld,2014/12/10,"3000",135.00,101.00,185.50,"WEA 1; 16/10",am Netz,"713402002",360529,5499043
Achtelsbach,Birkenfeld,Birkenfeld,2014/11/26,"3000",135.00,101.00,185.50,"WEA 2; 16/10",am Netz,"713402002",360140,5499864
Achtelsbach,Birkenfeld,Birkenfeld,2014/12/07,"3000",135.00,101.00,185.50,"WEA 3; 16/10",am Netz,"713402002",360488,5499870
Achtelsbach,Birkenfeld,Birkenfeld,2014/01/08,"3000",135.00,101.00,185.50,"WEA 4; 16/10",am Netz,"713402002",360794,5499789
Meckenbach,Birkenfeld,Birkenfeld,2014/07/25,"3000",135.00,100.00,185.00,"WEA 2; 17/10",am Netz,"713402053",361415.201212776,5497055.87799925
Meckenbach,Birkenfeld,Birkenfeld,2014/07/24,"3000",135.00,100.00,185.00,"WEA 3; 17/10",am Netz,"713402053",361556.438229431,5496736.64364654
Achtelsbach,Birkenfeld,Birkenfeld,2014/07/15,"3000",135.00,100.00,185.00,"WEA 5; 17/10",am Netz,"713402002",361411.33170547,5497626.63032683
Hoppstädten-Weiersbach,Birkenfeld,Birkenfeld,2014/08/21,"2300",138.00,82.00,179.00,"WEA 6; 08/10",am Netz,"713402042",371216.99999018,5495380.99999933
Gimbweiler,Birkenfeld,Birkenfeld,2014/03/21,"2300",138.00,82.00,179.00,"WEA 3; 14/10",am Netz,"713402029",370751.21721995,5493439.33936339
Gimbweiler,Birkenfeld,Birkenfeld,2014/03/21,"2300",138.00,82.00,179.00,"WEA 4; 14/10",am Netz,"713402029",370080.325881731,5493342.64328572
Dickesbach,Herrstein-Rhaunen,Birkenfeld,2014/08/11,"3000",149.00,101.00,200.00,"WEA 3; 18/12",am Netz,"713405019",385379,5506893
Dickesbach,Herrstein-Rhaunen,Birkenfeld,2014/08/22,"3000",149.00,101.00,200.00,"WEA 5; 18/12",am Netz,"713405019",385515,5507196
Dickesbach,Herrstein-Rhaunen,Birkenfeld,2014/08/11,"3000",149.00,101.00,200.00,"WEA 4; 18/12",am Netz,"713405019",385835,5506914
Arzfeld,Arzfeld,Eifelkreis Bitburg-Prüm,2011/09/21,"2300",138.00,82.00,179.00,,am Netz,"723201201",306404.869656422,5551795.45921899
Eilscheid,Arzfeld,Eifelkreis Bitburg-Prüm,2011/04/15,"2300",138.00,82.00,179.00,,am Netz,"723201217",314621,5556475
Eilscheid,Arzfeld,Eifelkreis Bitburg-Prüm,2011/04/15,"2300",138.00,82.00,179.00,,am Netz,"723201217",314349,5556405
Lauperath,Arzfeld,Eifelkreis Bitburg-Prüm,2011/03/24,"800",73.00,53.00,99.00,,am Netz,"723201258",307133.249880247,5551610.31476917
Meckel,Bitburger Land,Eifelkreis Bitburg-Prüm,2011/10/25,"2300",138.00,82.00,179.00,,am Netz,"723208077",321849.02368104,5528362.01759442
Eisenach,Südeifel,Eifelkreis Bitburg-Prüm,2008/11/24,"2000",105.00,90.00,150.00,,am Netz,"723205218",321949.740230199,5524064.46695236
Gilzem,Südeifel,Eifelkreis Bitburg-Prüm,2011/11/16,"2000",105.00,90.00,150.00,,am Netz,"723205225",322204.423944148,5526130.55520643
Fleringen,Prüm,Eifelkreis Bitburg-Prüm,2011/10/24,"2300",85.00,82.00,126.00,,am Netz,"723206223",322272.999820398,5565805.56342595
Habscheid,Prüm,Eifelkreis Bitburg-Prüm,2011/05/26,"2000",105.00,92.00,151.00,,am Netz,"723206231",303719.272461591,5561428.63284926
Habscheid,Prüm,Eifelkreis Bitburg-Prüm,2011/03/16,"2300",138.00,82.00,179.00,,am Netz,"723206231",303078.491771079,5561194.20088932
Matzerath,Prüm,Eifelkreis Bitburg-Prüm,2011/02/14,"3000",135.00,101.00,185.50,,am Netz,"723206266",314390.197649533,5557682.93713275
Scheid,Gerolstein,Vulkaneifel,2013/04/24,"2000",125.00,90.00,170.00,,am Netz,"723306237",316074.999867304,5582456.99999859
Hallschlag,Gerolstein,Vulkaneifel,2016/02/22,"2300",138.38,46.00,184.38,,am Netz,"723306214",315574.999730101,5580843.99999718
Lirstal,Kelberg,Vulkaneifel,2000/09/01,"800",82.00,52.00,108.00,,am Netz,"723304224",360581,5567113
Lirstal,Kelberg,Vulkaneifel,2000/09/01,"800",82.00,52.00,108.00,,am Netz,"723304224",360684.993148615,5567063.97954982
Lichtenborn,Arzfeld,Eifelkreis Bitburg-Prüm,2012/12/01,"2300",138.00,82.00,179.00,,am Netz,"723201260",307872.319086267,5554900.18664449
Mündersbach,Hachenburg,Westerwaldkreis,2013/05/27,"3200",137.00,110.00,192.00,,am Netz,"714302268",411759.608917648,5607170.79613638
Mündersbach,Hachenburg,Westerwaldkreis,2013/05/27,"3200",137.00,110.00,192.00,,am Netz,"714302268",411942.180604881,5607540.3241115
Weibern,Brohltal,Ahrweiler,2001/01/01,"660",65.00,47.00,89.00,,am Netz,"713104211",370402,5585707
Weibern,Brohltal,Ahrweiler,2002/01/01,"660",65.00,47.00,89.00,,am Netz,"713104211",370622.862283314,5585983.70810576
Weibern,Brohltal,Ahrweiler,2001/01/01,"660",65.00,47.00,89.00,,am Netz,"713104211",369959,5585338
Weibern,Brohltal,Ahrweiler,2008/06/26,"2000",108.00,82.00,149.00,,am Netz,"713104211",369018.642586405,5584726.00949154
Weibern,Brohltal,Ahrweiler,2008/06/26,"2000",108.00,82.00,149.00,,am Netz,"713104211",370259.34180865,5585901.33535319
Weibern,Brohltal,Ahrweiler,2009/10/28,"2500",100.00,90.00,145.00,,am Netz,"713104211",370008,5585599
Hoppstädten-Weiersbach,Birkenfeld,Birkenfeld,1996/12/19,"500",65.00,40.00,85.00,"Hoppstädten, WEA 1",am Netz,"713402042",370155.71587574,5498597.888014
Fohren-Linden,Baumholder,Birkenfeld,2016/09/01,"3200",143.00,114.00,200.00,"WEA 6; 19/12",am Netz,"713401026",376976.900551644,5495900.37373441
Ruschberg,Baumholder,Birkenfeld,2015/03/02,"3200",143.00,114.00,200.00,"WEA 7; 19/12",am Netz,"713401075",376916.22726724,5496199.56953362
Fohren-Linden,Baumholder,Birkenfeld,2016/08/29,"3200",143.00,114.00,200.00,"WEA 4; 19/12",am Netz,"713401026",377265.96027998,5495595.29118655
Fohren-Linden,Baumholder,Birkenfeld,2015/03/02,"3200",143.00,114.00,200.00,"WEA 5; 19/12",am Netz,"713401026",377309.013878106,5495226.40197835
Dienstweiler,Birkenfeld,Birkenfeld,2017/04/05,"2400",141.00,117.00,200.00,"WEA 5; 09/14",am Netz,"713402020",370202.943538302,5500683.37507402
Dienstweiler,Birkenfeld,Birkenfeld,2017/04/05,"2400",120.00,117.00,179.00,"WEA 6; 09/14",am Netz,"713402020",370494.228826807,5500093.40755685
Meckenbach,Birkenfeld,Birkenfeld,2014/09/11,"2350",138.00,92.00,184.00,"WEA 1; 03/13",am Netz,"713402053",361334.022378125,5497328.46491018
Meckenbach,Birkenfeld,Birkenfeld,2014/08/04,"2350",138.00,92.00,184.00,"WEA 4; 03/13",am Netz,"713402053",361602,5496335
Sellerich,Prüm,Eifelkreis Bitburg-Prüm,2013/02/04,"3300",140.00,112.00,196.00,,am Netz,"723206308",309918.358674637,5563843.2448733
Girkenroth,Westerburg,Westerwaldkreis,2017/02/13,"2300",138.00,92.00,184.00,,am Netz,"714309226",428323,5596840
Herschbach,Selters (Westerwald),Westerwaldkreis,2014/07/08,"2300",138.00,92.00,184.00,,am Netz,"714307029",412903.73,5606525.27
Herschbach,Selters (Westerwald),Westerwaldkreis,2015/01/08,"2300",138.00,92.00,184.00,,am Netz,"714307029",412610.98,5606251.37
Schenkelberg,Selters (Westerwald),Westerwaldkreis,2015/01/08,"2300",138.00,92.00,184.00,,am Netz,"714307066",413510.34,5606593.01
Schenkelberg,Selters (Westerwald),Westerwaldkreis,2014/07/08,"2300",138.00,92.00,184.00,,am Netz,"714307066",413658.37,5606316.6
Herschbach,Selters (Westerwald),Westerwaldkreis,2014/07/08,"2300",138.00,92.00,184.00,,am Netz,"714307029",413267.57,5606750.07
Hattgenstein,Birkenfeld,Birkenfeld,2017/12/04,"2350",138.00,92.00,184.00,"WEA Karschberg; WEA 1; 02/15",am Netz,"713402034",368298.132410053,5506109.13580678
Berglicht,Thalfang am Erbeskopf,Bernkastel-Wittlich,2002/07/26,"1500",100.00,77.00,138.50,BGL05 / SN 70171,am Netz,"723106006",352343,5516628
Berglicht,Thalfang am Erbeskopf,Bernkastel-Wittlich,2002/07/26,"1500",100.00,77.00,138.50,BGL06 / SN 70170,am Netz,"723106006",352296.999973723,5516359.99999902
Berglicht,Thalfang am Erbeskopf,Bernkastel-Wittlich,2002/07/26,"1500",100.00,77.00,138.50,BGL07 / SN 70167,am Netz,"723106006",352326.99997377,5516083.99999902
Berglicht,Thalfang am Erbeskopf,Bernkastel-Wittlich,2002/07/26,"1500",100.00,77.00,138.50,BGL08 / SN 70165,am Netz,"723106006",352296.999973742,5515806.99999902
Berglicht,Thalfang am Erbeskopf,Bernkastel-Wittlich,2002/07/26,"1500",100.00,77.00,138.50,BGL09 / SN 70163,am Netz,"723106006",352360,5515558
Berglicht,Thalfang am Erbeskopf,Bernkastel-Wittlich,2010/10/22,"2300",138.00,82.00,179.00,HBG02 / SN 823623,am Netz,"723106006",352636.219896632,5515884.16999609
Breit,Thalfang am Erbeskopf,Bernkastel-Wittlich,2002/07/26,"1500",100.00,77.00,138.50,BGL01 / SN 70158,am Netz,"723106202",351491,5515648
Büdlich,Thalfang am Erbeskopf,Bernkastel-Wittlich,2002/07/26,"1500",100.00,77.00,138.50,BGL02 / SN 70159,am Netz,"723106203",351501,5515953
Heidenburg,Thalfang am Erbeskopf,Bernkastel-Wittlich,2000/10/27,"1500",80.00,70.00,115.00,,am Netz,"723106204",351494.969972646,5518166.849999
Heidenburg,Thalfang am Erbeskopf,Bernkastel-Wittlich,2002/07/26,"1500",100.00,77.00,138.00,BGL04 / SN 70160,am Netz,"723106204",351798,5516622
Heidenburg,Thalfang am Erbeskopf,Bernkastel-Wittlich,2002/07/26,"1500",100.00,77.00,138.00,BGL03 / SN 70153,am Netz,"723106204",351538,5516251
Heidenburg,Thalfang am Erbeskopf,Bernkastel-Wittlich,2010/10/22,"2300",138.00,82.00,179.00,HBG01 / SN 823622,am Netz,"723106204",351569.079918383,5516671.41999703
Kleinich,Bernkastel-Kues,Bernkastel-Wittlich,1998/10/12,"1000",70.00,54.00,97.00,,am Netz,"723101070",368674.689988281,5526508.09999928
Talling,Thalfang am Erbeskopf,Bernkastel-Wittlich,2004/09/01,"2300",100.00,90.00,145.00,TAL02 / SN 8184,am Netz,"723106122",352730.439948614,5514874.98999806
Talling,Thalfang am Erbeskopf,Bernkastel-Wittlich,2004/09/01,"2300",100.00,90.00,145.00,TAL01 / SN 8183,am Netz,"723106122",352591.109948258,5515112.04999804
Gornhausen,Bernkastel-Kues,Bernkastel-Wittlich,2016/11/10,"3000",149.00,101.00,199.50,G1,am Netz,"723101040",359596.999962782,5523234.99999828
Gornhausen,Bernkastel-Kues,Bernkastel-Wittlich,2015/11/13,"3000",149.00,101.00,199.50,G3,am Netz,"723101040",359155.999923916,5523233.99999652
Gornhausen,Bernkastel-Kues,Bernkastel-Wittlich,2015/12/21,"3000",149.00,101.00,199.50,G4,am Netz,"723101040",359024.999942601,5522776.99999739
Gornhausen,Bernkastel-Kues,Bernkastel-Wittlich,2017/05/31,"3000",149.00,101.00,199.50,G6,am Netz,"723101040",359559.99996273,5522916.99999828
Gornhausen,Bernkastel-Kues,Bernkastel-Wittlich,2017/05/12,"3000",149.00,101.00,199.50,G7,am Netz,"723101040",360182.999963876,5522774.9999983
Veldenz,Bernkastel-Kues,Bernkastel-Wittlich,2015/10/26,"3000",149.00,101.00,199.50,Ve1,am Netz,"723101126",360413.999964228,5524111.9999983
Veldenz,Bernkastel-Kues,Bernkastel-Wittlich,2015/11/27,"3000",149.00,101.00,199.50,Ve5,am Netz,"723101126",360674.999964672,5524566.9999983
Berglicht,Thalfang am Erbeskopf,Bernkastel-Wittlich,2011/10/13,"2300",138.00,82.00,179.00,H2G01 / SN 824349,am Netz,"723106006",352790.969974334,5516266.39999903
Watzerath,Prüm,Eifelkreis Bitburg-Prüm,2013/07/08,"2750",139.00,90.00,170.00,,am Netz,"723206320",309993.157861277,5562893.48877189
Weibern,Brohltal,Ahrweiler,2016/12/29,"2300",108.00,82.00,149.00,,am Netz,"713104211",370007.999988201,5586006.99999927
Sien,Herrstein-Rhaunen,Birkenfeld,2019/02/02,"3450",149.00,136.00,217.00,"WEA 4; 18/13",am Netz,"713405082",393319.893461189,5504813.16617265
Sien,Herrstein-Rhaunen,Birkenfeld,2018/12/31,"3450",149.00,136.00,217.00,"WEA 5; 18/13",am Netz,"713405082",393181.60319366,5504462.34965689
Gusterath,Ruwer,Trier-Saarburg,2011/12/08,"800",73.25,52.90,99.70,,am Netz,"723504037",334516.84,5509238.57
Westerburg,Westerburg,Westerwaldkreis,2014/12/29,"2400",141.00,116.80,200.00,Wes-1,am Netz,"714309308",424968,5602173
Westerburg,Westerburg,Westerwaldkreis,2014/12/29,"2400",141.00,116.80,200.00,Wes-2,am Netz,"714309308",424626,5602002
Westerburg,Westerburg,Westerwaldkreis,2014/12/29,"2400",141.00,116.80,200.00,Wes-3,am Netz,"714309308",425015,5601767
