gemeinde,vg,kreis,datum,nennleist,nabenhoehe,rotor,gesamthoeh,bemerkung,planstd,gem_neu,xcoord,ycoord
Eppenrod,Diez,Rhein-Lahn-Kreis,2001/10/25,"900",73.80,52.00,99.80,,am Netz,"714103038",424055.113758548,5583305.9153297
Eppenrod,Diez,Rhein-Lahn-Kreis,2001/10/25,"900",73.80,52.00,99.80,,am Netz,"714103038",423985.208688629,5582986.65464301
Eppenrod,Diez,Rhein-Lahn-Kreis,2000/10/05,"500",77.90,44.00,99.90,,am Netz,"714103038",423755.962964218,5583105.93849031
Holzhausen an der Haide,Nastätten,Rhein-Lahn-Kreis,1997/10/13,"600",70.00,46.00,93.00,,am Netz,"714107060",422855.760326799,5562663.97258315
Rettert,Aar-Einrich,Rhein-Lahn-Kreis,2001/12/05,"600",65.00,44.00,87.00,,am Netz,"714111117",424770.549148733,5565503.17540721
Arzfeld,Arzfeld,Eifelkreis Bitburg-Prüm,2002/01/01,"1800",98.00,70.00,133.00,,am Netz,"723201201",306820.375843213,5551939.5342372
Arzfeld,Arzfeld,Eifelkreis Bitburg-Prüm,2002/01/01,"1800",98.00,70.00,133.00,,am Netz,"723201201",306896.982621876,5551654.21063104
Arzfeld,Arzfeld,Eifelkreis Bitburg-Prüm,2002/01/01,"1800",98.00,70.00,133.00,,am Netz,"723201201",306547.199586103,5551642.2474252
Arzfeld,Arzfeld,Eifelkreis Bitburg-Prüm,2002/01/01,"1800",98.00,70.00,133.00,,am Netz,"723201201",306613.859450883,5551383.34590589
Harspelt,Arzfeld,Eifelkreis Bitburg-Prüm,1995/03/06,"250",50.00,29.60,64.80,,am Netz,"723201234",297579.001829849,5558569.99644877
Kesfeld,Arzfeld,Eifelkreis Bitburg-Prüm,1999/12/30,"500",65.00,44.00,87.00,,am Netz,"723201247",302784.873979694,5560226.96614856
Kesfeld,Arzfeld,Eifelkreis Bitburg-Prüm,2003/11/04,"1300",90.00,62.00,121.00,,am Netz,"723201247",303231.637869825,5560086.88040055
Kesfeld,Arzfeld,Eifelkreis Bitburg-Prüm,2003/10/09,"2300",90.00,90.00,127.00,,am Netz,"723201247",302588.373314529,5560489.05506263
Kesfeld,Arzfeld,Eifelkreis Bitburg-Prüm,2003/10/09,"1300",90.00,62.00,121.00,,am Netz,"723201247",302981.83407437,5560481.3794025
Kesfeld,Arzfeld,Eifelkreis Bitburg-Prüm,2003/10/09,"2300",90.00,82.00,131.00,,am Netz,"723201247",302313.089487019,5560541.21376365
Kesfeld,Arzfeld,Eifelkreis Bitburg-Prüm,2003/10/09,"2300",90.00,82.00,131.00,,am Netz,"723201247",302370.359068885,5560173.58347303
Lauperath,Arzfeld,Eifelkreis Bitburg-Prüm,2003/02/07,"600",78.00,44.00,100.00,,am Netz,"723201258",308993.665702128,5550680.17584911
Lauperath,Arzfeld,Eifelkreis Bitburg-Prüm,2011/02/11,"2000",138.00,82.00,179.00,,am Netz,"723201258",309076.496464578,5550748.90844643
Lichtenborn,Arzfeld,Eifelkreis Bitburg-Prüm,2002/03/14,"1800",85.00,70.00,120.00,,am Netz,"723201260",306662.913448971,5553425.14642459
Lichtenborn,Arzfeld,Eifelkreis Bitburg-Prüm,2003/09/17,"1500",100.00,77.00,138.50,,am Netz,"723201260",307313.537356136,5554696.11005759
Lichtenborn,Arzfeld,Eifelkreis Bitburg-Prüm,2003/09/17,"1500",100.00,77.00,138.50,,am Netz,"723201260",307483.337210915,5554538.15176457
Lichtenborn,Arzfeld,Eifelkreis Bitburg-Prüm,,"1800",85.00,70.00,120.00,,am Netz,"723201260",306829.018597684,5553250.96826664
Lichtenborn,Arzfeld,Eifelkreis Bitburg-Prüm,2005/05/30,"2000",113.00,71.00,149.00,,am Netz,"723201260",308783.061680447,5554713.07906913
Lichtenborn,Arzfeld,Eifelkreis Bitburg-Prüm,2005/05/31,"2000",113.00,71.00,149.00,,am Netz,"723201260",307839.91863375,5554691.08434882
Manderscheid,Arzfeld,Eifelkreis Bitburg-Prüm,2002/01/01,"1800",86.00,70.00,121.00,,am Netz,"723201264",307314.877938391,5552489.14895789
Manderscheid,Arzfeld,Eifelkreis Bitburg-Prüm,2003/01/01,"1800",98.00,70.00,133.00,,am Netz,"723201264",307310.61021689,5552731.52969487
Manderscheid,Arzfeld,Eifelkreis Bitburg-Prüm,2003/01/01,"1800",98.00,70.00,133.00,,am Netz,"723201264",307378.900636037,5552040.1900223
Pintesfeld,Arzfeld,Eifelkreis Bitburg-Prüm,1995/01/09,"250",50.00,29.00,64.50,,am Netz,"723201291",312153,5554943
Plütscheid,Arzfeld,Eifelkreis Bitburg-Prüm,2000/02/23,"1500",66.80,66.00,99.80,,am Netz,"723201293",316617.708955705,5552365.39481521
Plütscheid,Arzfeld,Eifelkreis Bitburg-Prüm,2000/02/23,"500",65.00,44.00,87.00,,am Netz,"723201293",316714.041101024,5552271.0424126
Plütscheid,Arzfeld,Eifelkreis Bitburg-Prüm,2000/02/23,"500",65.00,44.00,87.00,,am Netz,"723201293",316806.703929967,5552087.57760005
Üttfeld,Arzfeld,Eifelkreis Bitburg-Prüm,2005/07/29,"2300",103.00,93.00,149.50,,am Netz,"723201333",304412.347300692,5559108.55062387
Brimingen,Bitburger Land,Eifelkreis Bitburg-Prüm,2002/01/28,"1300",69.00,62.00,100.00,,am Netz,"723208021",309805.110745344,5538487.24262546
Brimingen,Bitburger Land,Eifelkreis Bitburg-Prüm,2002/01/28,"1300",69.00,62.00,100.00,,am Netz,"723208021",309751.972944858,5538659.51921897
Brimingen,Bitburger Land,Eifelkreis Bitburg-Prüm,2005/05/25,"800",56.00,48.00,81.00,,am Netz,"723208021",311106.198935809,5538137.78612758
Halsdorf,Bitburger Land,Eifelkreis Bitburg-Prüm,2000/06/14,"1000",80.00,60.00,110.00,,am Netz,"723208045",310803.986823305,5534127.99594291
Halsdorf,Bitburger Land,Eifelkreis Bitburg-Prüm,2000/06/14,"1000",80.00,60.00,110.00,,am Netz,"723208045",310699.812443122,5534569.06880856
Halsdorf,Bitburger Land,Eifelkreis Bitburg-Prüm,2000/06/14,"1000",80.00,60.00,110.00,,am Netz,"723208045",311040.417771619,5534427.30136609
Halsdorf,Bitburger Land,Eifelkreis Bitburg-Prüm,2000/06/14,"1000",80.00,60.00,110.00,,am Netz,"723208045",310556.011336902,5535026.216633
Halsdorf,Bitburger Land,Eifelkreis Bitburg-Prüm,2000/06/14,"1000",80.00,60.00,110.00,,am Netz,"723208045",310760.274428731,5534828.8649433
Halsdorf,Bitburger Land,Eifelkreis Bitburg-Prüm,2000/06/14,"1000",80.00,60.00,110.00,,am Netz,"723208045",311070.744863996,5534709.32328672
Halsdorf,Bitburger Land,Eifelkreis Bitburg-Prüm,2000/06/14,"1000",80.00,60.00,110.00,,am Netz,"723208045",310882.490388157,5535455.49510485
Halsdorf,Bitburger Land,Eifelkreis Bitburg-Prüm,2000/06/14,"1000",80.00,60.00,110.00,,am Netz,"723208045",310951.201070997,5535122.46122245
Halsdorf,Bitburger Land,Eifelkreis Bitburg-Prüm,2000/06/14,"1000",80.00,60.00,110.00,,am Netz,"723208045",311260.634451655,5535026.98094141
Halsdorf,Bitburger Land,Eifelkreis Bitburg-Prüm,2000/06/14,"1000",80.00,60.00,110.00,,am Netz,"723208045",311184.170359898,5535366.33025813
Heilenbach,Bitburger Land,Eifelkreis Bitburg-Prüm,2004/01/01,"2500",100.00,80.00,140.00,,am Netz,"723208048",319282.827501224,5548828.51621426
Heilenbach,Bitburger Land,Eifelkreis Bitburg-Prüm,2004/01/01,"2500",100.00,80.00,140.00,,am Netz,"723208048",318796.365270045,5548079.44594081
Heilenbach,Bitburger Land,Eifelkreis Bitburg-Prüm,2005/01/01,"2000",100.00,80.00,140.00,,am Netz,"723208048",319157.836790993,5547635.57974218
Heilenbach,Bitburger Land,Eifelkreis Bitburg-Prüm,2004/01/01,"2500",100.00,80.00,140.00,,am Netz,"723208048",319244.584614959,5547395.92535728
Heilenbach,Bitburger Land,Eifelkreis Bitburg-Prüm,1997/12/16,"500",65.00,40.00,85.00,,am Netz,"723208048",319394.731817908,5548350.64157858
Hisel,Bitburger Land,Eifelkreis Bitburg-Prüm,2004/01/01,"600",77.70,43.70,99.55,,am Netz,"723208052",311395.917095196,5537326.49004993
Hisel,Bitburger Land,Eifelkreis Bitburg-Prüm,2003/08/28,"600",64.55,44.00,86.55,,am Netz,"723208052",311153.933644551,5537979.03402781
Hisel,Bitburger Land,Eifelkreis Bitburg-Prüm,2003/08/28,"600",64.55,44.00,86.55,,am Netz,"723208052",311350.963756613,5538147.83275638
Hisel,Bitburger Land,Eifelkreis Bitburg-Prüm,2003/08/28,"600",64.55,44.00,86.55,,am Netz,"723208052",310810.554737468,5537903.44083735
Hisel,Bitburger Land,Eifelkreis Bitburg-Prüm,2003/08/28,"600",64.55,44.00,86.55,,am Netz,"723208052",310905.988617871,5537707.18290867
Hisel,Bitburger Land,Eifelkreis Bitburg-Prüm,2010/01/01,"2000",105.00,90.00,150.00,,am Netz,"723208052",311102.019205616,5537634.53022441
Idesheim,Bitburger Land,Eifelkreis Bitburg-Prüm,2000/09/11,"1500",85.00,70.00,120.00,,am Netz,"723208061",323747.7,5527314.3
Idesheim,Bitburger Land,Eifelkreis Bitburg-Prüm,2000/09/11,"1500",85.00,70.00,120.00,,am Netz,"723208061",323992.867606038,5527003.08048688
Idesheim,Bitburger Land,Eifelkreis Bitburg-Prüm,2000/09/11,"1500",85.00,70.00,120.00,,am Netz,"723208061",324254.65,5526840.56
Idesheim,Bitburger Land,Eifelkreis Bitburg-Prüm,2000/09/11,"1500",85.00,70.00,120.00,,am Netz,"723208061",324305,5526445
Idesheim,Bitburger Land,Eifelkreis Bitburg-Prüm,2000/09/11,"1500",85.00,70.00,120.00,,am Netz,"723208061",323764.2,5526599.9
