"","X","eeg_nr","leistung_m","inbetrieb_m","gem_m","b_wgs84","l_wgs84","nabe_m","rotor_m","gem","plz","ort","leistung","inbetriebnahme","menge_kwh","nearest","menge_mwh","area_m2","area_km2","kwh_m2"
"25",25,"E30254010000000000005230789306702","1500","17.12.2003",7334001,49.175425,8.260155,100,77,733401001,76756,"Bellheim",1500,"2003-12-17",2282790,319,2283,101761,0.101761,22.4328573815116
"26",26,"E30254010000000000005230789401732","1800","16.7.2004",7335033,49.552833,7.656802,65,66,733510033,67737,"Olsbrücken",1800,"2004-07-16",2073185,580,2073,336400,0.3364,6.16285671819263
"27",27,"E30254010000000000005230789401733","1800","27.7.2004",7335033,49.556707,7.65823,65,66,733510033,67737,"Olsbrücken",1800,"2004-07-27",2073177,580,2073,336400,0.3364,6.16283293697979
"28",28,"E30254010000000000005230789401734","2000","3.12.2004",7335029,49.577767,7.729233,98,70,733510029,67700,"Niederkirchen",2000,"2005-03-24",2554238,260,2554,67600,0.0676,37.7845857988166
"29",29,"E30254010000000000005230789401735","2000","30.11.2004",7335029,49.576873,7.731607,98,77,733510029,67700,"Niederkirchen",2000,"2005-03-24",2554238,260,2554,67600,0.0676,37.7845857988166
"30",30,"E30254010000000000005230789401736","2000","24.3.2005",7335029,49.584019,7.731028,98,70,733510029,67700,"Niederkirchen",2000,"2004-11-30",2554238,284,2554,80656,0.080656,31.6682949811545
"31",31,"E30254010000000000005230789401737","2000","24.3.2005",7335029,49.585967,7.731109,98,70,733510029,67700,"Niederkirchen",2000,"2004-12-02",2554238,284,2554,80656,0.080656,31.6682949811545
"32",32,"E30254010000000000005230789401738","2000","7.4.2006",7335029,49.584602,7.720648,98,70,733510029,67700,"Niederkirchen",2000,"2006-03-22",2882998,289,2883,83521,0.083521,34.5182409214449
"33",33,"E30254010000000000005230789401739","2000","17.5.2006",7335029,49.583218,7.723228,98,70,733510029,67700,"Niederkirchen",2000,"2006-05-08",2882998,316,2883,99856,0.099856,28.8715550392565
"34",34,"E30254010000000000005230789401740","2000","30.3.2006",7335029,49.588547,7.720517,98,70,733510029,67700,"Niederkirchen",2000,"2006-03-30",2882998,285,2883,81225,0.081225,35.493973530317
"35",35,"E30254010000000000005230789401741","2000","22.3.2006",7335029,49.586589,7.720637,98,70,733510029,67700,"Niederkirchen",2000,"2006-05-18",2882998,285,2883,81225,0.081225,35.493973530317
"36",36,"E30254010000000000005230789401742","2000","8.5.2006",7335029,49.587505,7.724652,98,70,733510029,67700,"Niederkirchen",2000,"2006-05-24",2882998,320,2883,102400,0.1024,28.15427734375
"37",37,"E30254010000000000005230789401743","2000","24.5.2006",7335029,49.586613,7.727745,98,70,733510029,67700,"Niederkirchen",2000,"2006-04-07",2882992,320,2883,102400,0.1024,28.15421875
"38",38,"E30254010000000000005230789408782","2300","8.1.2009",7336086,49.605,7.65509,65,70,733608036,67753,"Hefersweiler",2300,"2009-01-08",2344728,454,2345,206116,0.206116,11.3757689844554
