"","X","eeg_nr","leistung_m","inbetrieb_m","gem_m","b_wgs84","l_wgs84","nabe_m","rotor_m","gem","plz","ort","leistung","inbetriebnahme","menge_kwh","nearest","menge_mwh","area_m2","area_km2","kwh_m2"
"376",376,"E31102010000000000002000249400007","2000","29.6.2006",7143268,50.606557,7.759739,113,70,714302268,56271,"Mündersbach",2000,"2006-06-29",2807601.67,207,2808,42849,0.042849,65.5231550327896
"377",377,"E31102010000000000002000249400008","2000","6.7.2006",7143268,50.611068,7.764593,113,70,714302268,56271,"Mündersbach",2000,"2006-07-06",3181449.68,308,3181,94864,0.094864,33.5369547984483
"378",378,"E31102010000000000002000249400009","2000","22.6.2006",7143268,50.612847,7.761127,113,70,714302268,56271,"Mündersbach",2000,"2006-06-22",3097219.64,406,3097,164836,0.164836,18.7897039481667
"379",379,"E31102010000000000002000249400010","2000","5.7.2006",7143029,50.603013,7.762049,113,70,714307029,56249,"Herschbach",2000,"2006-07-05",2657524.65,550,2658,302500,0.3025,8.78520545454545
"380",380,"E31102010000000000002000249400011","2000","28.7.2006",7143268,50.609029,7.76565,113,70,714302268,56271,"Mündersbach",2000,"2006-07-28",2548943.67,308,2549,94864,0.094864,26.8694517414404
"381",381,"E31102010000000000002000249400012","2000","19.6.2006",7143268,50.608,7.7597,1135,71,714302268,56271,"Mündersbach",2000,"2006-06-19",2848477.61,207,2848,42849,0.042849,66.4771082172279
"382",382,"E31102010000000000002000578400001","2000","13.6.2007",7143226,50.518535,7.982332,1135,70,714309226,56459,"Girkenroth",2000,"2007-06-13",3150671.86,260,3151,67600,0.0676,46.6075718934911
"383",383,"E31102010000000000002000578400002","2000","21.6.2007",7143226,50.517748,7.984887,1135,70,714309226,56459,"Girkenroth",2000,"2007-06-21",3150671.86,260,3151,67600,0.0676,46.6075718934911
"384",384,"E31102010000000000002000578400003","2000","28.8.2009",7143226,50.519823,7.994022,138,82,714309226,56459,"Girkenroth",2000,"2009-08-28",4140448.28,477,4140,227529,0.227529,18.1974529840152
"385",385,"E31102010000000000002001123800001","2000","3.8.2009",7143025,50.616579,7.757758,138,82,714302241,57629,"Höchstenbach",2000,"2009-08-03",3893912,379,3894,143641,0.143641,27.1086388983647
"386",386,"E31102010000000000002001466300001","2000","23.12.2010",7143315,50.656077,8.062267,113,70,714306286,56477,"Rennerod",2000,"2010-12-23",3003503.03,626,3004,391876,0.391876,7.66442198552603
"387",387,"E31102010000000000002001466300002","2000","16.12.2010",7143315,50.660242,8.060175,108,82,714306286,56477,"Rennerod",2000,"2010-12-16",3653016.97,626,3653,391876,0.391876,9.32186959650502
"388",388,"E31102010000000000002001749800001","800","29.12.2011",7143252,50.725391,7.802329,73,53,714302252,57629,"Kundert",800,"2011-12-29",1122621,293,1123,85849,0.085849,13.0766927978194
"389",389,"E31102010000000000002001749800002","800","29.12.2011",7143252,50.725213,7.795547,73,53,714302252,57629,"Kundert",800,"2011-12-29",1122621,365,1123,133225,0.133225,8.42650403452805
"390",390,"E31102010000000000002001763800001","800","22.12.2011",7143203,50.527725,7.873258,7325,53,714308203,56244,"Arnshöfen",800,"2011-12-22",1075047.5,284,1075,80656,0.080656,13.3287976096013
"391",391,"E31102010000000000002001763800002","800","22.12.2011",7143203,50.529604,7.872282,73,53,714308203,56244,"Arnshöfen",800,"2011-12-22",1075047.5,284,1075,80656,0.080656,13.3287976096013
"392",392,"E31102010000000000002001862100001","3200","10.2.2013",7143268,50.60975,7.75289,1376,110,714302268,56271,"Mündersbach",3200,"2013-02-10",6243281.33,531,6243,281961,0.281961,22.1423577374176
"393",393,"E31102010000000000002001862100002","3200","10.2.2014",7143268,50.61311,7.75533,1376,110,714302268,56271,"Mündersbach",3200,"2014-02-10",6243281.33,530,6243,280900,0.2809,22.2259926308295
"394",394,"E31102010000000000002001862100003","3200","22.7.2014",7143268,50.61376,7.74884,1432,110,714302268,56271,"Mündersbach",3200,"2014-07-22",6243281.33,471,6243,221841,0.221841,28.1430453793483
"395",395,"E31102010000000000002002788000001","2400","19.12.2014",7143293,50.566649,7.940786,1406,1168,714309308,56457,"Westerburg",2400,"2014-12-19",6176677,514,6177,264196,0.264196,23.3791465427183
"396",396,"E31102010000000000002002788000002","2400","22.12.2014",7143293,50.565065,7.935738,1406,1168,714309308,56457,"Westerburg",2400,"2014-12-22",6176677,514,6177,264196,0.264196,23.3791465427183
"397",397,"E31102010000000000002002788000003","2400","15.12.2014",7143293,50.563011,7.941263,1406,1168,714309308,56457,"Westerburg-Gershasen",2400,"2014-12-15",6176677,524,6177,274576,0.274576,22.495327341064
"398",398,"E31102010000000000002002810800001","3200","9.2.2015",7143241,50.61924,7.76666,1432,110,714302241,57629,"Höchstenbach",3200,"2015-02-09",6494274,432,6494,186624,0.186624,34.7987075617284
"399",399,"E31102010000000000002002810800002","3200","9.2.2015",7143241,50.62186,7.76432,1432,110,714302241,57629,"Höchstenbach",3200,"2015-02-09",6494274,432,6494,186624,0.186624,34.7987075617284
"400",400,"E31102010000000000002002810800003","3200","14.7.2015",7143241,50.61936,7.75456,1432,110,714302241,57629,"Höchstenbach",3200,"2015-07-14",6494274,486,6494,236196,0.236196,27.4952751105014
"401",401,"E31102010000000000002002810800004","3200","5.8.2015",7143241,50.62193,7.75805,1432,110,714302241,57629,"Höchstenbach",3200,"2015-08-05",6494274,487,6494,237169,0.237169,27.3824741007467
"402",402,"E31102010000000000002002810800005","3200","25.8.2015",7143268,50.61653,7.75162,1432,110,714302268,56271,"Mündersbach",3200,"2015-08-25",6494274,471,6494,221841,0.221841,29.2744533246785
"403",403,"E31102010000000000002003074700001","2350","15.12.2015",7143226,50.519124,7.988923,138,92,714309226,56459,"Girkenroth",2350,"2015-12-04",4082526,419,4083,175561,0.175561,23.2541737629656
"404",404,"E31102010000000000002003157600001","2530","21.3.2016",7143242,50.628907,8.008926,139,120,714309242,56462,"Höhn",2530,"2016-03-21",6379431,478,6379,228484,0.228484,27.9206902890356
"405",405,"E31102010000000000002003157600002","2530","15.3.2016",7143242,50.628485,8.016412,139,120,714309242,56462,"Höhn",2530,"2016-03-15",6379431.01,685,6379,469225,0.469225,13.5956758697853
"414",414,"E31238010000000000000000251370106","2300","30.7.2014",7134042,49.597276,7.217835,138,82,713401075,55776,"Ruschberg",2300,"2014-07-30",4230378,514,4230,264196,0.264196,16.0122711925994
"415",415,"E31238010000000000000000617332516","2000","7.8.2007",7140111,49.573671,7.22213,105,90,714004145,55487,"Sohren",2000,"2007-08-07",2963855,110,2964,12100,0.0121,244.946694214876
"416",416,"E31238010000000000000000617332517","2000","30.7.2007",7140111,49.57379,7.215399,105,90,714004145,55487,"Sohren",2000,"2007-07-30",2963855,638,2964,407044,0.407044,7.2814118375409
"417",417,"E31238010000000000000000617339031","2000","9.8.2007",7140111,49.573032,7.222754,105,90,714004145,55487,"Sohren",2000,"2007-08-09",2963855,110,2964,12100,0.0121,244.946694214876
"418",418,"E31238010000000000000000832515818","1300","19.10.2000",7232024,49.852829,6.535372,85,60,723507501,54298,"Welschbillig",1300,"2000-10-19",1513216,326,1513,106276,0.106276,14.2385486845572
"419",419,"E31238010000000000000000832518851","1300","11.10.2000",7232024,49.850782,6.536796,85,60,723507501,54298,"Welschbillig",1300,"2000-10-11",1495735,326,1496,106276,0.106276,14.0740618766231
"420",420,"E31238010000000000000000832518852","1300","10.10.2000",7232024,49.845009,6.540861,85,60,723507501,54298,"Welschbillig",1300,"2000-10-12",1420579,457,1421,208849,0.208849,6.80194303061063
"421",421,"E31238010000000000000000832518853","1300","19.10.2000",7232024,49.842084,6.543303,85,60,723507501,54298,"Welschbillig",1300,"2001-01-17",1487101,385,1487,148225,0.148225,10.0327272727273
"422",422,"E31238010000000000000000832518854","1300","19.10.2000",7232024,49.845155,6.534662,85,60,723507501,54298,"Welschbillig",1300,"2000-10-19",1593567,376,1594,141376,0.141376,11.2718353893164
"423",423,"E31238010000000000000000832518855","1500","21.12.2000",7232024,49.844018,6.529491,85,70,723507501,54298,"Welschbillig",1500,"2000-12-27",1711244,337,1711,113569,0.113569,15.0678794389314
"424",424,"E31238010000000000000000832518856","1500","27.12.2000",7232024,49.844816,6.520129,85,70,723507501,54298,"Welschbillig",1500,"2000-12-29",1680107,462,1680,213444,0.213444,7.87141826427541
"425",425,"E31238010000000000000000832518857","1500","29.12.2000",7232024,49.843604,6.51176,85,70,723507501,54298,"Welschbillig",1500,"2000-12-21",1797538,805,1798,648025,0.648025,2.77387137841904
"426",426,"E31238010000000000000000832518858","1500","26.4.2001",7232024,49.864775,6.555144,85,70,723507501,54298,"Welschbillig",1500,"2001-04-26",1787767,398,1788,158404,0.158404,11.2861228251812
"427",427,"E31238010000000000000000832518859","1500","24.4.2001",7232061,49.868302,6.554489,85,70,723507501,54298,"Welschbillig",1500,"2001-04-26",1566272,381,1566,145161,0.145161,10.7898953575685
"428",428,"E31238010000000000000000832518861","1500","6.5.2001",7232024,49.866087,6.54762,85,70,723507501,54298,"Welschbillig",1500,"2001-05-28",1542925,373,1543,139129,0.139129,11.089887801968
"429",429,"E31238010000000000000000832518862","1500","31.5.2001",7232024,49.872355,6.547329,85,70,723507501,54298,"Welschbillig",1500,"2001-05-06",1805593,455,1806,207025,0.207025,8.72161816205772
"430",430,"E31238010000000000000000832518863","1500","28.5.2001",7232024,49.86939,6.550704,85,70,723507501,54298,"Welschbillig",1500,"2001-05-31",1642587,387,1643,149769,0.149769,10.9674699036516
"431",431,"E31238010000000000000000832518864","1500","29.6.2002",7232024,49.840868,6.528345,85,70,723507501,54298,"Welschbillig",1500,"2002-06-29",1703338,375,1703,140625,0.140625,12.1126257777778
"432",432,"E31238010000000000000000832518865","1500","3.6.2002",7232024,49.836955,6.534599,85,70,723507501,54298,"Welschbillig",1500,"2002-06-03",1529632,441,1530,194481,0.194481,7.86520019950535
"433",433,"E31238010000000000000001100406639","3370","6.5.2013",7134058,49.694337,7.214744,128,104,713400045,55743,"Idar-Oberstein",3370,"2013-05-06",4916706,385,4917,148225,0.148225,33.1705582728959
"434",434,"E31238010000000000000001100472125","3370","10.6.2013",7134058,49.6959,7.211443,128,104,713400045,55743,"Idar-Oberstein",3370,"2013-06-10",4916706,385,4917,148225,0.148225,33.1705582728959
"435",435,"E31238010000000000000001100472126","3370","27.5.2013",7134058,49.694475,7.205905,128,104,713400045,55743,"Idar-Oberstein",3370,"2013-05-27",4916706,447,4917,199809,0.199809,24.6070297133763
"436",436,"E31238010000000000000001100472129","3370","1.7.2013",7134058,49.697265,7.203908,128,104,713400045,55743,"Idar-Oberstein",3370,"2013-07-01",4916706,411,4917,168921,0.168921,29.1065409274158
"437",437,"E31238010000000000000001100472130","3370","12.6.2013",7134094,49.699992,7.202756,128,104,713400045,55743,"Idar-Oberstein",3370,"2013-06-12",4916706,411,4917,168921,0.168921,29.1065409274158
"439",439,"E31238010000000000000001146993248","3050","22.8.2014",7134019,49.706402,7.412187,149,101,713400045,55743,"Idar-Oberstein",3050,"2014-08-22",6603356,725,6603,525625,0.525625,12.5628651605232
"440",440,"E31238010000000000000001151176809","2400","29.8.2015",7336050,49.648055,7.488316,120,117,733608100,67746,"Unterjeckenbach",2400,"2015-08-29",6057022,508,6057,258064,0.258064,23.4710071920144
"441",441,"E31238010000000000000001151176810","2400","17.9.2015",7336050,49.646372,7.493034,120,117,733608100,67746,"Unterjeckenbach",2400,"2015-09-17",6057022,508,6057,258064,0.258064,23.4710071920144
"442",442,"E31238010000000000000001151176811","2400","25.8.2015",7336050,49.642359,7.492147,120,117,733608100,67746,"Unterjeckenbach",2400,"2015-08-25",6057022,590,6057,348100,0.3481,17.400235564493
"444",444,"E31238010000000000000001171796208","3050","26.11.2014",7134002,49.635112,7.063023,135,101,713402010,55765,"Birkenfeld",3050,"2014-11-26",5769180,456,5769,207936,0.207936,27.7449792243767
"445",445,"E31238010000000000000001171796209","3050","7.12.2014",7134002,49.635238,7.067844,135,101,713402010,55765,"Birkenfeld",3050,"2014-12-07",5769180,414,5769,171396,0.171396,33.659945389624
"446",446,"E31238010000000000000001171796211","3050","31.12.2014",7134002,49.634587,7.072107,135,101,713402010,55765,"Birkenfeld",3050,"2014-12-31",5769180,414,5769,171396,0.171396,33.659945389624
"450",450,"E31238010000000000000001172292046","3050","24.7.2014",7134053,49.607316,7.08449,135,101,713402010,55765,"Birkenfeld",3050,"2014-07-24",5690953,524,5691,274576,0.274576,20.7263307790921
"451",451,"E31238010000000000000001172292048","3050","15.7.2014",7134053,49.615259,7.081397,135,101,713402010,55765,"Birkenfeld",3050,"2014-07-15",5690953,402,5691,161604,0.161604,35.215421647979
"452",452,"E31238010000000000000001172292049","2350","11.9.2014",7134053,49.612571,7.080439,138,92,713402010,55765,"Birkenfeld",2350,"2014-09-11",4476693,402,4477,161604,0.161604,27.701622484592
"453",453,"E31238010000000000000001172292050","2350","4.8.2014",7134053,49.603713,7.08449,138,92,713402010,55765,"Birkenfeld",2350,"2014-08-04",4476693,524,4477,274576,0.274576,16.3040214731076
"454",454,"E31238010000000000000001172400216","3200","29.8.2016",7134026,49.60046,7.30144,143,114,713401075,55776,"Ruschberg",3170,"2016-08-29",6004805,486,6005,236196,0.236196,25.4229749868753
"455",455,"E31238010000000000000001172406137","3200","29.8.2016",7134026,49.59715,7.30215,143,114,713401075,55776,"Ruschberg",3170,"2016-08-29",6004805,486,6005,236196,0.236196,25.4229749868753
"456",456,"E31238010000000000000001172406138","3200","3.9.2016",7134026,49.60582,7.29641,143,114,713401075,55776,"Ruschberg",3170,"2016-09-03",6004805,400,6005,160000,0.16,37.53003125
"457",457,"E31238010000000000000001172406139","3200","1.9.2016",7134026,49.60314,7.29734,143,114,713401075,55776,"Ruschberg",3170,"2016-09-01",6004805,400,6005,160000,0.16,37.53003125
"458",458,"E31238010000000000000001256208450","2000","28.9.2007",7140076,50.005359,7.511563,98,71,714008144,55469,"Simmern",2000,"2007-09-28",2128880,399,2129,159201,0.159201,13.3722778123253
"459",459,"E31238010000000000000001256241038","2000","28.9.2007",7140076,50.00789,7.513257,98,71,714008144,55469,"Simmern",2000,"2007-09-28",2128880,339,2129,114921,0.114921,18.5247256811201
"460",460,"E31238010000000000000001256241039","2000","10.10.2007",7140076,50.010168,7.514094,98,71,714008144,55469,"Simmern",2000,"2007-10-10",2128880,275,2129,75625,0.075625,28.150479338843
"461",461,"E31238010000000000000001256241040","2000","16.10.2007",7140076,50.011944,7.513034,98,71,714008144,55469,"Simmern",2000,"2007-10-16",2128880,275,2129,75625,0.075625,28.150479338843
"462",462,"E31238010000000000000001256257990","2300","29.5.2013",7140076,50.015933,7.51622,138,82,714008144,55469,"Simmern",2300,"2013-05-29",2932957,151,2933,22801,0.022801,128.632823121793
"463",463,"E31238010000000000000003031635350","2000","5.12.2007",7232320,50.195398,6.341968,105,90,723206320,54595,"Watzerath",2000,"2007-12-27",2630211,452,2630,204304,0.204304,12.8740063826455
"464",464,"E31238010000000000000003031645431","2000","15.11.2007",7232320,50.193575,6.336968,105,90,723206320,54595,"Watzerath",2000,"2007-11-15",2630211,383,2630,146689,0.146689,17.9305264880121
"465",465,"E31238010000000000000003031645432","2000","27.11.2007",7232320,50.195618,6.332342,105,90,723206320,54595,"Watzerath",2000,"2007-11-19",2630211,412,2630,169744,0.169744,15.4951633047413
"466",466,"E31238010000000000000003031645433","2000","13.12.2007",7232320,50.190417,6.332632,105,90,723206320,54595,"Watzerath",2000,"2007-12-20",2630211,603,2630,363609,0.363609,7.23362458024966
"467",467,"E31238010000000000000003031645434","2000","13.12.2007",7232320,50.187662,6.325893,105,90,723206320,54595,"Watzerath",2000,"2007-12-20",2630211,417,2630,173889,0.173889,15.1258043924573
"468",468,"E31238010000000000000003031645435","2000","19.11.2007",7232320,50.190647,6.339121,105,90,723206320,54595,"Watzerath",2000,"2007-12-18",2630211,442,2630,195364,0.195364,13.4631303617862
"469",469,"E31238010000000000000003031645436","2000","20.11.2007",7232320,50.192987,6.345072,105,90,723206320,54595,"Watzerath",2000,"2007-12-13",2630211,452,2630,204304,0.204304,12.8740063826455
"470",470,"E31238010000000000000003031645437","2000","20.12.2007",7232320,50.184486,6.33959,105,90,723206320,54595,"Watzerath",2000,"2007-12-18",2630211,375,2630,140625,0.140625,18.7037226666667
"471",471,"E31238010000000000000003031645438","2000","18.12.2007",7232320,50.183887,6.324464,105,90,723206320,54595,"Watzerath",2000,"2007-12-13",2630211,447,2630,199809,0.199809,13.1636262630812
"472",472,"E31238010000000000000003031645439","2000","18.12.2007",7232320,50.186406,6.329942,105,90,723206320,54595,"Watzerath",2000,"2007-11-27",2630211,417,2630,173889,0.173889,15.1258043924573
"473",473,"E31238010000000000000003031645440","2000","20.12.2007",7232320,50.186505,6.342125,105,90,723206320,54595,"Watzerath",2000,"2007-11-27",2630206,375,2630,140625,0.140625,18.7036871111111
"474",474,"E31238010000000000000003031645441","2000","27.12.2007",7232320,50.179649,6.324029,105,90,723206320,54595,"Watzerath",2000,"2007-12-05",2630206,614,2630,376996,0.376996,6.976747763902
"475",475,"E31238010000000000000003031645442","2000","27.12.2007",7232320,50.183529,6.329248,105,90,723206320,54595,"Watzerath",2000,"2007-11-20",2630206,421,2630,177241,0.177241,14.8397154157334
"476",476,"E31238010000000000000003290216178","2000","5.2.2008",7232329,50.191909,6.246049,78,80,723206296,54595,"Prüm",2000,"2007-12-20",2447788,357,2448,127449,0.127449,19.2060196627671
"477",477,"E31238010000000000000003290245026","2000","5.1.2008",7232329,50.1872,6.241669,100,80,723206296,54595,"Prüm",2000,"2007-12-20",2447788,348,2448,121104,0.121104,20.2122803540758
"478",478,"E31238010000000000000003290245027","2000","6.2.2008",7232329,50.189603,6.241374,100,80,723206296,54595,"Prüm",2000,"2007-12-20",2447788,337,2448,113569,0.113569,21.5533112028811
"479",479,"E31238010000000000000003290245028","2000","16.6.2008",7232329,50.191208,6.238743,100,80,723206296,54595,"Prüm",2000,"2007-12-20",2447788,337,2448,113569,0.113569,21.5533112028811
"480",480,"E31238010000000000000003290245029","2000","30.12.2007",7232329,50.191754,6.213214,100,87,723206296,54595,"Prüm",2000,"2007-12-20",2447786,443,2448,196249,0.196249,12.4728584604253
"481",481,"E31238010000000000000003290245031","2000","20.12.2007",7232329,50.19432,6.210596,100,87,723206296,54595,"Prüm",2000,"2007-12-20",2447786,443,2448,196249,0.196249,12.4728584604253
"482",482,"E31238010000000000000003309412930","2000","29.12.2007",7232218,49.849572,6.528277,105,90,723507501,54298,"Welschbillig",2000,"2007-12-29",3314600,386,3315,148996,0.148996,22.2462347982496
"483",483,"E31238010000000000000003309444520","2000","28.12.2007",7232218,49.846834,6.5264,105,90,723507501,54298,"Welschbillig",2000,"2007-12-28",3314600,416,3315,173056,0.173056,19.153337647929
"484",484,"E31238010000000000000004616514668","2000","7.5.2008",7232201,50.113337,6.31222,1135,71,723201201,54687,"Arzfeld",2000,"2008-05-07",2767460,304,2767,92416,0.092416,29.945680401662
"485",485,"E31238010000000000000004616542072","2000","8.5.2008",7232201,50.11384,6.325267,1135,71,723201201,54687,"Arzfeld",2000,"2008-05-08",2767460,650,2767,422500,0.4225,6.55020118343195
"486",486,"E31238010000000000000004660800067","2000","24.12.2002",7133057,49.730308,7.598812,60,80,713310057,55568,"Lauschied",2000,"2002-12-24",2041007,250,2041,62500,0.0625,32.656112
"487",487,"E31238010000000000000004872343798","2000","23.7.2008",7135075,50.2525,7.2475,105,90,713502075,56754,"Roes",2000,"2008-07-23",4023848,768,4024,589824,0.589824,6.82211642795139
"490",490,"E31238010000000000000005883130321","2000","7.11.2008",7140001,50.04195,7.47698,105,90,714008144,55469,"Simmern",2000,"2008-11-07",2842645,355,2843,126025,0.126025,22.556199166832
"491",491,"E31238010000000000000005883156156","2000","7.11.2008",7140001,50.041294,7.482628,105,90,714008144,55469,"Simmern",2000,"2008-11-07",2842645,428,2843,183184,0.183184,15.5179764608263
"492",492,"E31238010000000000000005883156158","2000","10.11.2008",7140001,50.044681,7.482816,105,90,714008144,55469,"Simmern",2000,"2008-11-10",2842645,449,2843,201601,0.201601,14.1003516847635
"493",493,"E31238010000000000000005883156161","2000","10.11.2008",7140147,50.051917,7.47656,105,90,714008144,55469,"Simmern",2000,"2008-11-10",2842645,391,2843,152881,0.152881,18.5938409612705
"494",494,"E31238010000000000000005883156162","2000","12.11.2008",7140147,50.04431,7.47803,105,90,714008144,55469,"Simmern",2000,"2008-11-12",2842646,355,2843,126025,0.126025,22.5562071017655
"495",495,"E31238010000000000000005883156165","2000","14.11.2008",7140147,50.046803,7.477171,105,90,714008144,55469,"Simmern",2000,"2008-11-14",2842646,353,2843,124609,0.124609,22.8125255800143
"496",496,"E31238010000000000000005883156166","2000","12.11.2008",7140147,50.049247,7.477246,105,90,714008144,55469,"Simmern",2000,"2008-11-12",2842646,353,2843,124609,0.124609,22.8125255800143
"497",497,"E31238010000000000000006388746439","2000","22.1.2009",7135023,50.248225,7.180356,95,90,713502045,56759,"Kaisersesch",2000,"2009-01-22",3730388,346,3730,119716,0.119716,31.1603127401517
"498",498,"E31238010000000000000006388746440","2000","19.1.2009",7135023,50.250039,7.177903,95,90,713502045,56759,"Kaisersesch",2000,"2009-01-19",3730388,346,3730,119716,0.119716,31.1603127401517
"499",499,"E31238010000000000000006535245179","800","19.1.2009",7233036,50.266316,6.598163,73,53,723306036,54570,"Kalenborn-Scheuern",800,"2009-01-19",1162481,297,1162,88209,0.088209,13.1787119228197
"500",500,"E31238010000000000000007278100131","1500","7.4.2009",7135042,50.2132,7.1596,1115,77,713502042,56814,"Illerich",1500,"2009-03-20",2216607,556,2217,309136,0.309136,7.17032956368718
"501",501,"E31238010000000000000007278122515","1500","14.4.2009",7135042,50.2134,7.1656,1115,77,713502042,56814,"Illerich",1500,"2009-03-20",2216607,358,2217,128164,0.128164,17.2950828625823
"502",502,"E31238010000000000000007336849889","2000","12.5.2009",7140123,50.019142,7.43312,108,82,714003001,56288,"Alterkülz",2000,"2009-05-12",3282823,321,3283,103041,0.103041,31.8593860696228
"503",503,"E31238010000000000000007336849890","2000","4.5.2009",7140123,50.018168,7.436217,108,82,714003001,56288,"Alterkülz",2000,"2009-05-04",3282823,321,3283,103041,0.103041,31.8593860696228
"504",504,"E31238010000000000000007336857996","2000","4.8.2010",7140001,50.038993,7.479737,108,82,714003001,56288,"Alterkülz",2000,"2010-08-04",3282823,428,3283,183184,0.183184,17.9209046641628
"506",506,"E31238010000000000000007743039721","2000","24.9.2009",7232061,49.875298,6.549011,105,90,723507501,54298,"Welschbillig",2000,"2009-09-24",3458648,376,3459,141376,0.141376,24.4641806247171
"507",507,"E31238010000000000000007743051643","2000","19.6.2009",7232061,49.870928,6.554417,105,90,723507501,54298,"Welschbillig",2000,"2009-06-19",3456837,40,3457,1600,0.0016,2160.523125
"508",508,"E31238010000000000000007743051644","2000","27.5.2009",7232061,49.866267,6.551583,105,90,723507501,54298,"Welschbillig",2000,"2009-05-27",3456837,373,3457,139129,0.139129,24.8462721646817
"509",509,"E31238010000000000000007743051645","2000","3.6.2009",7232061,49.877706,6.550489,105,90,723507501,54298,"Welschbillig",2000,"2009-06-03",3456837,376,3457,141376,0.141376,24.4513708125849
"510",510,"E31238010000000000000007743057608","2000","2.6.2009",7232061,49.870139,6.557883,105,90,723507501,54298,"Welschbillig",2000,"2009-06-02",3456837,345,3457,119025,0.119025,29.0429489603025
"511",511,"E31238010000000000000008589909985","2000","12.8.2009",7135051,50.209612,7.145588,9838,82,713502051,56814,"Landkern",2000,"2009-08-12",3606951,357,3607,127449,0.127449,28.3011322175929
"512",512,"E31238010000000000000008589922445","2000","12.8.2009",7135051,50.207162,7.146132,9838,82,713502051,56814,"Landkern",2000,"2009-08-12",3606951,282,3607,79524,0.079524,45.3567602233288
"513",513,"E31238010000000000000008589922446","2000","17.8.2009",7135051,50.20525,7.146744,9838,82,713502051,56814,"Landkern",2000,"2009-08-17",3606951,282,3607,79524,0.079524,45.3567602233288
"514",514,"E31238010000000000000008589922448","2000","19.8.2009",7135051,50.203842,7.149036,9838,82,713502051,56814,"Landkern",2000,"2009-08-19",3606951,294,3607,86436,0.086436,41.7297306677773
"515",515,"E31238010000000000000009847346438","2500","17.12.2009",7135093,50.220924,7.208903,100,90,713502045,56759,"Kaisersesch",2500,"2009-12-17",3068603,443,3069,196249,0.196249,15.6362733058512
"516",516,"E31238010000000000000009847346441","2500","8.12.2009",7135093,50.220301,7.213584,100,90,713502045,56759,"Kaisersesch",2500,"2009-12-08",3068603,437,3069,190969,0.190969,16.0685922846116
"517",517,"E31238010000000000000009847346442","2500","17.12.2009",7135093,50.217923,7.20431,100,90,713502045,56759,"Kaisersesch",2500,"2009-12-17",3068604,444,3069,197136,0.197136,15.5659240321402
"518",518,"E31238010000000000000009847346443","2500","15.12.2009",7135093,50.217462,7.209056,100,90,713502045,56759,"Kaisersesch",2500,"2009-12-15",3068604,401,3069,160801,0.160801,19.0832395320925
"520",520,"E31238010000000000000009847346445","2500","25.6.2010",7135011,50.223249,7.214657,100,90,713502045,56759,"Kaisersesch",2500,"2010-06-25",3068604,437,3069,190969,0.190969,16.0685975210636
"521",521,"E31238010000000000000009948159604","2000","8.12.2009",7140153,50.08938,7.40991,105,90,714003153,56290,"Uhler",2000,"2009-12-08",3571686,367,3572,134689,0.134689,26.518023001136
"522",522,"E31238010000000000000009948159613","2000","10.12.2009",7140153,50.09362,7.40648,105,90,714003153,56290,"Uhler",2000,"2009-12-10",3571686,367,3572,134689,0.134689,26.518023001136
"523",523,"E31238010000000000000009948159616","2000","15.12.2009",7140153,50.0919,7.40939,105,90,714003153,56290,"Uhler",2000,"2009-12-15",3572761,367,3573,134689,0.134689,26.5260043507636
"524",524,"E31238010000000000000010665858002","2000","29.6.2010",7232218,49.851935,6.530173,105,90,723507501,54298,"Welschbillig",2000,"2009-12-18",3527211,380,3527,144400,0.1444,24.4266689750693
"525",525,"E31238010000000000000010665858004","2000","26.6.2010",7232218,49.849919,6.532765,105,90,723507501,54298,"Welschbillig",2000,"2009-12-18",3527211,380,3527,144400,0.1444,24.4266689750693
"526",526,"E31238010000000000000010665858005","2000","18.12.2009",7232218,49.846961,6.530828,105,90,723507501,54298,"Welschbillig",2000,"2010-06-29",3525097,416,3525,173056,0.173056,20.3696895802515
"527",527,"E31238010000000000000010665858006","2000","18.12.2009",7232218,49.842525,6.52355,105,90,723507501,54298,"Welschbillig",2000,"2010-06-26",3525097,462,3525,213444,0.213444,16.5153248627275
"528",528,"E31238010000000000000010665858007","2000","17.6.2010",7232218,49.838612,6.539703,105,90,723507501,54298,"Welschbillig",2000,"2010-06-25",3527211,529,3527,279841,0.279841,12.6043396071341
"529",529,"E31238010000000000000010665858008","2000","25.6.2010",7232218,49.847909,6.535816,105,90,723507501,54298,"Welschbillig",2000,"2010-06-17",3527211,409,3527,167281,0.167281,21.085544682301
"535",535,"E31238010000000000000012063458671","800","24.6.2010",7233036,50.267572,6.595617,76,48,723306036,54570,"Kalenborn-Scheuern",800,"2010-07-09",996808,252,997,63504,0.063504,15.6967750062988
"536",536,"E31238010000000000000012072556954","2000","15.7.2010",7135042,50.215666,7.154392,108,82,713502042,56814,"Illerich",2000,"2010-07-15",2610805,599,2611,358801,0.358801,7.27647080136343
"537",537,"E31238010000000000000012414517207","2000","20.8.2010",7232321,50.128275,6.490794,105,90,723208070,54655,"Kyllburg",2000,"2010-08-20",1767024,460,1767,211600,0.2116,8.35077504725898
"538",538,"E31238010000000000000012414517209","2000","5.8.2010",7232321,50.12925,6.495508,105,90,723208070,54655,"Kyllburg",2000,"2010-08-05",1767024,413,1767,170569,0.170569,10.359584684204
