"","eeg_nr","hersteller","typ","leistung_m","indatum_m","gem_m","b_wgs84","l_wgs84","nabe","rotor","gem_s","plz","ort","leistung_s","indatum_s","eiccode","bnetznr","menge_kwh","lk_nr","lk_name","flh","menge_mwh","vg_nr","vg_name"
"31","E30254010000000000005230789401733","ENERCON GmbH","E-66",1800,"27.07.2004",7335033,"49,556707","7,65823",65,66,733510033,67737,"OlsbrÃ¼cken",1800,"2004-07-27","11YR00000001555H",10002992,2073177,7335,"Kaiserslautern",1151.765,2073,733510,"Otterbach-Otterberg"
"32","E30254010000000000005230789401734","ENERCON GmbH","E-66/20.70",2000,"03.12.2004",7332009,"49,577773","7,729247",98,70,733510029,67700,"Niederkirchen",2000,"2005-03-24","11YR00000001555H",10002992,2554238,7335,"Kaiserslautern",1277.119,2554,733510,"Otterbach-Otterberg"
"33","E30254010000000000005230789401735","ENERCON GmbH","E 66/20.70",2000,"30.11.2004",7332009,"49,576873","7,731607",98,77,733510029,67700,"Niederkirchen",2000,"2005-03-24","11YR00000001555H",10002992,2554238,7335,"Kaiserslautern",1277.119,2554,733510,"Otterbach-Otterberg"
"34","E30254010000000000005230789401736","ENERCON GmbH","E-66/20.70",2000,"24.03.2005",7332009,"49,584024","7,731049",98,70,733510029,67700,"Niederkirchen",2000,"2004-11-30","11YR00000001555H",10002992,2554238,7335,"Kaiserslautern",1277.119,2554,733510,"Otterbach-Otterberg"
"35","E30254010000000000005230789401737","ENERCON GmbH","E-66/20.70",2000,"24.03.2005",7332009,"49,585967","7,731109",98,70,733510029,67700,"Niederkirchen",2000,"2004-12-02","11YR00000001555H",10002992,2554238,7335,"Kaiserslautern",1277.119,2554,733510,"Otterbach-Otterberg"
"36","E30254010000000000005230789401738","ENERCON GmbH","E-70-E4",2000,"07.04.2006",7332009,"49,584602","7,720648",98,70,733510029,67700,"Niederkirchen",2000,"2006-03-22","11YR00000001555H",10002992,2882998,7335,"Kaiserslautern",1441.499,2883,733510,"Otterbach-Otterberg"
"37","E30254010000000000005230789401739","ENERCON GmbH","E70-E4",2000,"17.05.2006",7332009,"49,583218","7,723228",98,70,733510029,67700,"Niederkirchen",2000,"2006-05-08","11YR00000001555H",10002992,2882998,7335,"Kaiserslautern",1441.499,2883,733510,"Otterbach-Otterberg"
"38","E30254010000000000005230789401740","ENERCON GmbH","E-70-E4",2000,"30.03.2006",7332009,"49,588547","7,720517",98,70,733510029,67700,"Niederkirchen",2000,"2006-03-30","11YR00000001555H",10002992,2882998,7335,"Kaiserslautern",1441.499,2883,733510,"Otterbach-Otterberg"
"39","E30254010000000000005230789401741","ENERCON GmbH","E-70-E4",2000,"22.03.2006",7332009,"49,586589","7,720637",98,70,733510029,67700,"Niederkirchen",2000,"2006-05-18","11YR00000001555H",10002992,2882998,7335,"Kaiserslautern",1441.499,2883,733510,"Otterbach-Otterberg"
"40","E30254010000000000005230789401742","ENERCON GmbH","E70-E4",2000,"08.05.2006",7332009,"49,587505","7,724652",98,70,733510029,67700,"Niederkirchen",2000,"2006-05-24","11YR00000001555H",10002992,2882998,7335,"Kaiserslautern",1441.499,2883,733510,"Otterbach-Otterberg"
"41","E30254010000000000005230789401743","ENERCON GmbH","E-70-E4",2000,"24.05.2006",7332009,"49,586613","7,727745",98,70,733510029,67700,"Niederkirchen",2000,"2006-04-07","11YR00000001555H",10002992,2882992,7335,"Kaiserslautern",1441.496,2883,733510,"Otterbach-Otterberg"
"42","E30254010000000000005230789408782","ENERCON GmbH","E 70",2300,"08.01.2009",7336086,"49,605","7,65509",65,70,733608036,67753,"Hefersweiler",2300,"2009-01-08","11YR00000001555H",10002992,2344728,7336,"Kusel",1019.44695652174,2345,733608,"Lauterecken-Wolfstein"
"44","E30254010000000000005230789408818","ENERCON GmbH","E 70",2300,"13.01.2009",7336085,"49,60801","7,65637",65,70,733608085,67753,"Reipoltskirchen",2300,"2009-01-14","11YR00000001555H",10002992,2344719,7336,"Kusel",1019.44304347826,2345,733608,"Lauterecken-Wolfstein"
"45","E30254010000000000005230789408838","ENERCON GmbH","E 70",2300,"14.01.2009",7336036,"49,61113","7,66179",65,70,733608086,67753,"Relsberg",2300,"2009-01-12","11YR00000001555H",10002992,2344728,7336,"Kusel",1019.44695652174,2345,733608,"Lauterecken-Wolfstein"
"46","E30254010000000000005230789801746","Fuhrländer AG","FL MD 77",1500,"30.09.2005",7337039,"49,168084","8,251131",100,77,733704039,76863,"Herxheimweyher",1500,"2005-10-01","11YR00000001555H",10002992,2411405,7337,"Südliche Weinstraße",1607.60333333333,2411,733704,"Herxheim"
"47","E30254010000000000005230789801747","Fuhrländer AG","FL MD 77",1500,"10.10.2005",7337039,"49,165615","8,25461",100,77,733704039,76863,"Herxheimweyher",1500,"2005-10-10","11YR00000001555H",10002992,2411405,7337,"Südliche Weinstraße",1607.60333333333,2411,733704,"Herxheim"
"48","E30254010000000000005230789801748","Fuhrländer AG","FL MD 77",1500,"12.10.2005",7334025,"49,163768","8,260973",100,77,733704039,76863,"Herxheimweyher",1500,"2005-12-31","11YR00000001555H",10002992,2411405,7337,"Südliche Weinstraße",1607.60333333333,2411,733704,"Herxheim"
"49","E30254010000000000005230789801749","Fuhrländer AG","FL MD 77",1500,"22.10.2005",7337039,"49,165163","8,25836",100,77,733704039,76863,"Herxheimweyher",1500,"2005-12-31","11YR00000001555H",10002992,2411405,7337,"Südliche Weinstraße",1607.60333333333,2411,733704,"Herxheim"
"50","E30254010000000000005230789801750","Fuhrländer AG","FL MD 77",1500,"17.02.2006",7334025,"49,164089","8,264848",100,77,733704039,76863,"Herxheimweyher",1500,"2005-12-31","11YR00000001555H",10002992,2411405,7337,"Südliche Weinstraße",1607.60333333333,2411,733704,"Herxheim"
"51","E30254010000000000005230789807055","Fuhrländer AG","FL MD 77",1500,"27.09.2005",7337039,"49,167872","8,247555",100,77,733704039,76863,"Herxheimweyher",1500,"2005-10-01","11YR00000001555H",10002992,2411405,7337,"Südliche Weinstraße",1607.60333333333,2411,733704,"Herxheim"
"52","E30254010000000000005230790301752","Fuhrländer AG","FL MD77",1500,"22.12.2005",7316000,"49,386136","8,270259",100,77,733200025,67454,"HaÃŸloch",1500,"2005-12-23","11YR00000001555H",10002992,2143091,7332,"Bad Dürkheim",1428.72733333333,2143,733200,"vfr Bad Dürkheim"
"53","E30254010000000000005230790306701","Fuhrländer AG","FL MD77",1500,"22.12.2005",7316000,"49,381927","8,268697",100,77,733200025,67454,"HaÃŸloch",1500,"2005-12-16","11YR00000001555H",10002992,2143096,7332,"Bad Dürkheim",1428.73066666667,2143,733200,"vfr Bad Dürkheim"
"55","E30254010000000000005230790601755","ENERCON GmbH","E-70 E4",2000,"17.08.2006",7340022,"49,303426","7,616378",113.5,71,734006022,66989,"HÃ¶heinÃ¶d",2000,"2006-08-17","11YR00000001555H",10002992,2852936,7340,"Südwestpfalz",1426.468,2853,734006,"Waldfischbach-Burgalben"
"61","E30254010000000000005230791001762","GE Renewable Germany GmbH","77 1,5",1500,"22.09.2004",7334020,"49,081286","8,155437",100,77,733404020,76872,"Minfeld",1500,"2004-09-22","11YR00000001555H",10002992,2504323,7334,"Germersheim",1669.54866666667,2504,733404,"Kandel"
"62","E30254010000000000005230791001763","GE Renewable Germany GmbH","77 1,5",1500,"14.09.2004",7334020,"49,081483","8,152292",100,77,733404020,76872,"Minfeld",1500,"2004-09-14","11YR00000001555H",10002992,2504323,7334,"Germersheim",1669.54866666667,2504,733404,"Kandel"
"63","E30254010000000000005230791001764","GE Renewable Germany GmbH","77 1,5",1500,"15.09.2004",7334020,"49,079857","8,158007",100,77,733404020,76872,"Minfeld",1500,"2004-09-15","11YR00000001555H",10002992,2504323,7334,"Germersheim",1669.54866666667,2504,733404,"Kandel"
"64","E30254010000000000005230791006703","GE Renewable Germany GmbH","77 1,5",1500,"22.09.2004",7334020,"49,082963","8,147428",100,77,733404020,76872,"Minfeld",1500,"2004-09-22","11YR00000001555H",10002992,2504323,7334,"Germersheim",1669.54866666667,2504,733404,"Kandel"
"65","E30254010000000000005230791008781","Vestas Deutschland GmbH","V 90",2000,"12.02.2009",7334020,"49,085519","8,147192",105,90,733404020,76872,"Minfeld",2000,"2009-02-12","11YR00000001555H",10002992,3610916,7334,"Germersheim",1805.458,3611,733404,"Kandel"
"66","E30254010000000000005230797401809","DeWind GmbH","DeWind D6/64",1250,"28.03.2003",7335003,"49","7",91.5,64,734009216,66894,"KrÃ¤henberg",1250,"2003-03-28","11YR00000001555H",10002992,1252114,7340,"Südwestpfalz",1001.6912,1252,734009,"Thaleischweiler-Wallhalben"
"67","E30254010000000000005230797401810","DeWind GmbH","DeWind D6/64",1250,"25.03.2003",7335003,"49","7",91.5,64,734009216,66894,"KrÃ¤henberg",1250,"2003-03-25","11YR00000001555H",10002992,1252114,7340,"Südwestpfalz",1001.6912,1252,734009,"Thaleischweiler-Wallhalben"
"68","E30254010000000000005230797401811","DeWind GmbH","DeWind D6/64",1250,"19.03.2003",7335003,"49","7",68,64,734009216,66894,"KrÃ¤henberg",1250,"2003-03-19","11YR00000001555H",10002992,1374979,7340,"Südwestpfalz",1099.9832,1375,734009,"Thaleischweiler-Wallhalben"
"69","E30254010000000000005230797401812","DeWind GmbH","DeWind D6/64",1250,"31.03.2003",7335003,"49","7",68,64,734009216,66894,"KrÃ¤henberg",1250,"2003-03-31","11YR00000001555H",10002992,1374979,7340,"Südwestpfalz",1099.9832,1375,734009,"Thaleischweiler-Wallhalben"
"70","E30254010000000000005230797405750","DeWind GmbH","DeWind D6/64",1250,"31.03.2003",7335003,"49","7",91.5,64,734009216,66894,"KrÃ¤henberg",1250,"2003-03-31","11YR00000001555H",10002992,1374978,7340,"Südwestpfalz",1099.9824,1375,734009,"Thaleischweiler-Wallhalben"
"71","E30254010000000000005230797501801","Fuhrländer AG","FL MD77",1500,"17.01.2006",7334028,"49,266912","8,355917",100,77,733405028,67365,"Schwegenheim",1500,"2006-01-17","11YR00000001555H",10002992,1833372,7334,"Germersheim",1222.248,1833,733405,"Lingenfeld"
"72","E30254010000000000005230797501802","Fuhrländer AG","FL MD77",1500,"31.01.2006",7334028,"49,268489","8,362973",100,77,733405028,67365,"Schwegenheim",1500,"2006-01-31","11YR00000001555H",10002992,1833372,7334,"Germersheim",1222.248,1833,733405,"Lingenfeld"
"73","E30254010000000000005230797501803","Fuhrländer AG","FL MD77",1500,"23.12.2005",7334028,"49,265038","8,348838",100,77,733405028,67365,"Schwegenheim",1500,"2005-12-23","11YR00000001555H",10002992,1833372,7334,"Germersheim",1222.248,1833,733405,"Lingenfeld"
"78","E30254010000000000005230822702034","ENERCON GmbH","E-66 /15.66",1500,"10.04.2000",7333008,"49,628597","7,755712",67,66,733307008,67806,"Bisterschied",1500,"2000-04-10","11YR00000001555H",10002992,1975377,7333,"Donnersbergkreis",1316.918,1975,733307,"Nordpfälzer Land"
"79","E30254010000000000005230822702035","ENERCON GmbH","E-66/18.70b",1800,"05.03.2004",7333008,"49,629879","7,755334",98,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","E30254010000000000005230822706687","Enron Wind GmbH","E-40/5.40",500,"04.11.1999",7333008,"49,628729","7,758726",65,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
