"","eeg_nr","hersteller","typ","leistung_m","indatum_m","gem_m","b_wgs84","l_wgs84","nabe","rotor","gem_s","plz","ort","leistung_s","indatum_s","eiccode","bnetznr","menge_kwh","lk_nr","lk_name","flh","menge_mwh","vg_nr","vg_name"
"284","E3025401WEA0005000060630000004686","Senvion Deutschland GmbH","3.4XM104",3370,"22.03.2012",7333079,"49,656595","7,703714",128,104,733307079,67822,"Waldgrehweiler",3370,"2012-03-22","11YR00000001555H",10002992,7362753,7333,"Donnersbergkreis",2184.79317507418,7363,733307,"Nordpfälzer Land"
"285","E3025401WEA0005000068450000005343","Vestas Deutschland GmbH","V-90",2000,"12.01.2012",7133045,"49,771022","7,855421",105,90,713301045,55585,"HochstÃ¤tten",2000,"2012-01-12","11YR00000001555H",10002992,3135739,7133,"Bad Kreuznach",1567.8695,3136,713301,"Bad Kreuznach"
"286","E3025401WEA0005000068450000005344","Vestas Deutschland GmbH","V-90",2000,"29.12.2011",7133045,"49,77204","7,85193",105,90,713301045,55585,"HochstÃ¤tten",2000,"2011-12-29","11YR00000001555H",10002992,3135739,7133,"Bad Kreuznach",1567.8695,3136,713301,"Bad Kreuznach"
"287","E3025401WEA0005000068450000005345","Vestas Deutschland GmbH","V-90",2000,"18.01.2012",7133045,"49,765048","7,851277",105,90,713301045,55585,"HochstÃ¤tten",2000,"2012-01-18","11YR00000001555H",10002992,3118619,7133,"Bad Kreuznach",1559.3095,3119,713301,"Bad Kreuznach"
"288","E3025401WEA0005000077080000006148","Senvion Deutschland GmbH","3.2M114",3170,"14.02.2013",7333076,"49,690702","8,099436",143,114,733304076,67294,"Stetten",3170,"2013-02-14","11YR00000001555H",10002992,7477337,7333,"Donnersbergkreis",2358.78138801262,7477,733304,"Kirchheimbolanden"
"289","E3025401WEA0005000077080000006149","Senvion Deutschland GmbH","3.2M114",3170,"07.02.2013",7333076,"49,686434","8,099806",143,114,733304076,67294,"Stetten",3170,"2013-02-07","11YR00000001555H",10002992,7477337,7333,"Donnersbergkreis",2358.78138801262,7477,733304,"Kirchheimbolanden"
"290","E3025401WEA0005000077080000006150","Senvion Deutschland GmbH","3.2M114",3170,"29.12.2012",7333076,"49,683401","8,102827",143,114,733304076,67294,"Stetten",3170,"2012-12-29","11YR00000001555H",10002992,7477337,7333,"Donnersbergkreis",2358.78138801262,7477,733304,"Kirchheimbolanden"
"291","E3025401WEA0005000085560000006845","Vestas Deutschland GmbH","Vestas V112-3.0 MW",3075,"21.12.2012",7331024,"49,698868","8,117693",140,112,733101024,55234,"Flomborn",3075,"2012-12-21","11YR00000001555H",10002992,6484622,7331,"Alzey-Worms",2108.82016260163,6485,733101,"Alzey-Land"
"292","E3025401WEA0005000085570000006846","Vestas Deutschland GmbH","Vestas V112-3.0 MW",3075,"28.12.2012",7331024,"49,695375","8,118492",140,112,733101024,55234,"Flomborn",3075,"2012-12-28","11YR00000001555H",10002992,6484622,7331,"Alzey-Worms",2108.82016260163,6485,733101,"Alzey-Land"
"293","E3025401WEA0005000085580000006847","Vestas Deutschland GmbH","Vestas V112-3.0 MW",3075,"25.01.2013",7331024,"49,69306","8,120405",140,112,733101024,55234,"Flomborn",3075,"2013-01-25","11YR00000001555H",10002992,6484622,7331,"Alzey-Worms",2108.82016260163,6485,733101,"Alzey-Land"
"294","E3025401WEA0005000085590000006848","Vestas Deutschland GmbH","Vestas V112-3.0 MW",3075,"07.02.2013",7331024,"49,68764","8,12329",140,112,733101024,55234,"Flomborn",3075,"2013-02-07","11YR00000001555H",10002992,6484622,7331,"Alzey-Worms",2108.82016260163,6485,733101,"Alzey-Land"
"295","E3025401WEA0005000087220000006951","Vestas Deutschland GmbH","Vestas V112-3.0 MW",3075,"21.02.2013",7331024,"49,690244","8,121496",140,112,733101024,55234,"Flomborn",3075,"2013-02-21","11YR00000001555H",10002992,6484628,7331,"Alzey-Worms",2108.82211382114,6485,733101,"Alzey-Land"
"296","E3025401WEA0005000093180000007504","ENERCON GmbH","E-82 E2",2300,"29.07.2013",7340221,"49,168909","7,45952",138.4,82,734008221,66484,"Riedelberg",2300,"2013-07-19","11YR00000001555H",10002992,4144935,7340,"Südwestpfalz",1802.14565217391,4145,734008,"Zweibrücken-Land"
"297","E3025401WEA0005000093220000007507","ENERCON GmbH","E-82 E2",2300,"19.07.2013",7340221,"49,169291","7,46407",138.4,82,734008221,66484,"Riedelberg",2300,"2013-07-29","11YR00000001555H",10002992,4144935,7340,"Südwestpfalz",1802.14565217391,4145,734008,"Zweibrücken-Land"
"298","E3025401WEA0005000093240000007509","ENERCON GmbH","E-82 E2",2300,"16.08.2013",7340221,"49,166747","7,4593",138.4,82,734008221,66484,"Riedelberg",2300,"2013-08-02","11YR00000001555H",10002992,4144935,7340,"Südwestpfalz",1802.14565217391,4145,734008,"Zweibrücken-Land"
"299","E3025401WEA0005000093260000007510","ENERCON GmbH","E-82 E2",2300,"02.08.2013",7340221,"49,167138","7,464524",138.4,82,734008221,66484,"Riedelberg",2300,"2013-08-16","11YR00000001555H",10002992,4144927,7340,"Südwestpfalz",1802.14217391304,4145,734008,"Zweibrücken-Land"
"300","E3025401WEA0005000102220000011949","ENERCON GmbH","E82; 2,3MW",2300,"27.12.2013",7133032,"49,76563","7,870572",138,82,713301032,55546,"FÃ¼rfeld",2300,"2013-12-27","11YR00000001555H",10002992,3966213,7133,"Bad Kreuznach",1724.44043478261,3966,713301,"Bad Kreuznach"
"304","E3025401WEA00O4100036880000014696","Vestas Deutschland GmbH","V126",3450,"27.03.2018",7336101,"49,461998","7,368058",137,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"305","E3025401WEA00UWALSENZ370000000001","Vestas Deutschland GmbH","V112",3075,"01.08.2014",7333003,"49,722701","7,845204",140,112,733307003,67821,"Alsenz",3075,"2014-08-01","11YR00000001555H",10002992,6980442,7333,"Donnersbergkreis",2270.06243902439,6980,733307,"Nordpfälzer Land"
"306","E3025401WEA00UWALSENZ370000000002","Vestas Deutschland GmbH","V112",3075,"28.07.2014",7333003,"49,719999","7,847599",140,112,733307003,67821,"Alsenz",3075,"2014-07-28","11YR00000001555H",10002992,6980442,7333,"Donnersbergkreis",2270.06243902439,6980,733307,"Nordpfälzer Land"
"307","E3025401WEA00UWALSENZ370000000003","Vestas Deutschland GmbH","V112",3075,"12.08.2014",7333003,"49,712375","7,842549",140,112,733307003,67821,"Alsenz",3075,"2014-08-12","11YR00000001555H",10002992,6980442,7333,"Donnersbergkreis",2270.06243902439,6980,733307,"Nordpfälzer Land"
"308","E3025401WEA00UWALSENZ370000000004","Vestas Deutschland GmbH","V112",3075,"19.08.2014",7333003,"49,707528","7,839031",140,112,733307003,67821,"Alsenz",3075,"2014-08-19","11YR00000001555H",10002992,6980442,7333,"Donnersbergkreis",2270.06243902439,6980,733307,"Nordpfälzer Land"
"309","E3025401WEA00UWALSENZ370000000005","Vestas Deutschland GmbH","V112",3075,"25.08.2014",7333003,"49,709958","7,834728",140,112,733307003,67821,"Alsenz",3075,"2014-08-25","11YR00000001555H",10002992,6980442,7333,"Donnersbergkreis",2270.06243902439,6980,733307,"Nordpfälzer Land"
"310","E3025401WEA00UWALSENZ370000000006","Vestas Deutschland GmbH","V112",3075,"13.08.2014",7333049,"49,728688","7,900302",140,112,733307003,67821,"Alsenz",3075,"2014-08-13","11YR00000001555H",10002992,6980442,7333,"Donnersbergkreis",2270.06243902439,6980,733307,"Nordpfälzer Land"
"311","E3025401WEA00UWALSENZ370000000007","Vestas Deutschland GmbH","V112",3075,"22.08.2014",7333049,"49,731707","7,899026",140,112,733307003,67821,"Alsenz",3075,"2014-08-22","11YR00000001555H",10002992,6980442,7333,"Donnersbergkreis",2270.06243902439,6980,733307,"Nordpfälzer Land"
"312","E3025401WEA00UWALSENZ370000000008","Vestas Deutschland GmbH","V112",3075,"22.08.2014",7333049,"49,733478","7,905592",140,112,733307003,67821,"Alsenz",3075,"2014-08-22","11YR00000001555H",10002992,6980442,7333,"Donnersbergkreis",2270.06243902439,6980,733307,"Nordpfälzer Land"
"313","E3025401WEA00UWALSENZ370000000009","Vestas Deutschland GmbH","V112",3075,"17.09.2014",7333050,"49,747342","7,909777",140,112,733307003,67821,"Alsenz",3075,"2014-09-17","11YR00000001555H",10002992,6980442,7333,"Donnersbergkreis",2270.06243902439,6980,733307,"Nordpfälzer Land"
"314","E3025401WEA00UWALSENZ370000000010","Vestas Deutschland GmbH","V112",3075,"04.09.2014",7333050,"49,744968","7,912732",140,112,733307003,67821,"Alsenz",3075,"2014-09-04","11YR00000001555H",10002992,6980442,7333,"Donnersbergkreis",2270.06243902439,6980,733307,"Nordpfälzer Land"
"315","E3025401WEA00UWALSENZ370000000011","Vestas Deutschland GmbH","V112",3075,"19.09.2014",7333050,"49,738819","7,905388",140,112,733307003,67821,"Alsenz",3075,"2014-09-19","11YR00000001555H",10002992,6980442,7333,"Donnersbergkreis",2270.06243902439,6980,733307,"Nordpfälzer Land"
"316","E3025401WEA0ENERGIEPARKGOLLHEIM01","Vestas Deutschland GmbH","V112",3075,"18.07.2014",7333026,"49,58874","8,075503",140,112,733303026,67307,"GÃ¶llheim",3075,"2014-07-18","11YR00000001555H",10002992,6902789,7333,"Donnersbergkreis",2244.80943089431,6903,733303,"Göllheim"
"322","E3025401WEA100BUBENHEIM0003530582","GE Wind Energy GmbH","GE 2.5-120",2750,"06.02.2015",7333012,"49,620999","8,130567",139,120,733303006,67308,"Biedesheim",2530,"2015-02-06",NA,10002992,6152309,7333,"Donnersbergkreis",2431.74268774704,6152,733303,"Göllheim"
"323","E3025401WEA1SIPPERSFELD0337001329","ENERCON GmbH","E101",3050,"30.12.2014",7333009,"49,563997","7,913271",135.4,101,733306009,67725,"BÃ¶rrstadt",3050,"2014-12-30","11YR00000001555H",10002992,7685863,7333,"Donnersbergkreis",2519.95508196721,7686,733306,"Winnweiler"
"324","E3025401WEA2SIPPERSFELD0337001494","ENERCON GmbH","E101",3050,"17.12.2014",7333071,"49,562094","7,916549",135.4,101,733306071,67729,"Sippersfeld",3050,"2014-12-17","11YR00000001555H",10002992,7685863,7333,"Donnersbergkreis",2519.95508196721,7686,733306,"Winnweiler"
"325","E3025401WEA300BUBENHEIM0003530502","GE Wind Energy GmbH","GE 2.5-120",2750,"20.02.2015",7333012,"49,626581","8,1361",139,120,733303006,67308,"Biedesheim",2530,"2015-02-20",NA,10002992,6152305,7333,"Donnersbergkreis",2431.74110671937,6152,733303,"Göllheim"
"326","E3025401WEA3SIPPERSFELD0337001495","ENERCON GmbH","E101",3050,"23.12.2014",7333071,"49,55964","7,918609",135.4,101,733306071,67729,"Sippersfeld",3050,"2014-12-23","11YR00000001555H",10002992,7685863,7333,"Donnersbergkreis",2519.95508196721,7686,733306,"Winnweiler"
"327","E30568011000000000000002251100001","Schütz GmbH & Co. KGaA","VT110",3200,"29.08.2017",7132113,"50,71272","7,947602",143.2,110,713203113,57586,"Weitefeld",3200,"2017-08-29",NA,10003990,5359680,7132,"Altenkirchen",1674.9,5360,713203,"Daaden-Herdorf"
"328","E30613019020000000000000589300001","Vestas Deutschland GmbH","V112-3.0",3075,"05.11.2014",7312000,"49,475803","7,814618",140,112,733502026,67678,"Mehlingen",3075,"2014-11-05","11YR00000002596Z_D_KNS_TWK",10003622,6699240,7335,"Kaiserslautern",2178.61463414634,6699,733502,"Enkenbach-Alsenborn"
"329","E30613019020000000000000589300002","Vestas Deutschland GmbH","V112-3.0",3075,"05.11.2014",7312000,"49,471795","7,806974",140,112,733502026,67678,"Mehlingen",3075,"2014-11-05","11YR00000002596Z_D_KNS_TWK",10003622,6699240,7335,"Kaiserslautern",2178.61463414634,6699,733502,"Enkenbach-Alsenborn"
"330","E30613019020000000000000589300003","Vestas Deutschland GmbH","V112-3.0",3075,"10.11.2014",7312000,"49,469903","7,816209",140,112,733502026,67678,"Mehlingen",3075,"2014-11-10","11YR00000002596Z_D_KNS_TWK",10003622,6699240,7335,"Kaiserslautern",2178.61463414634,6699,733502,"Enkenbach-Alsenborn"
"331","E30773010000000000000000200100013","Vestas Deutschland GmbH","V80",2000,"23.07.2003",7333025,"49,677035","7,902818",100,80,733307025,67813,"Gerbach",2000,"2003-07-23","11YR00000004459Z",10001416,3948094.41,7333,"Donnersbergkreis",1974.047205,3948,733307,"Nordpfälzer Land"
"332","E30773010000000000000000200100014","ENERCON GmbH","E-66/18.70",1800,"27.10.2003",7333025,"49,678704","7,892354",98,70,733307025,67813,"Gerbach",1800,"2003-09-30","11YR00000004459Z",10001416,3553284.97,7333,"Donnersbergkreis",1974.04720555556,3553,733307,"Nordpfälzer Land"
"333","E30773010000000000000000200100015","ENERCON GmbH","E-66/18.70",1800,"23.09.2003",7333025,"49,67524","7,895377",114,70,733307025,67813,"Gerbach",1800,"2003-09-30","11YR00000004459Z",10001416,3553284.97,7333,"Donnersbergkreis",1974.04720555556,3553,733307,"Nordpfälzer Land"
"334","E30856010000000000000000000100064","ENERCON GmbH","Enercon E-82",2000,"29.04.2011",7338016,"49,528511","8,310642",108,82,733806016,67245,"Lambsheim",2000,"2011-03-31","11YR00000001894W",10000856,2921539,7338,"Rhein-Pfalz",1460.7695,2922,733806,"Lambsheim-Heßheim"
"335","E30856010000000000000000000100070","ENERCON GmbH","Enercon E-82",2000,"13.04.2011",7338016,"49,532975","8,309531",108,82,733806016,67245,"Lambsheim",2000,"2011-03-31","11YR00000001894W",10000856,2921539,7338,"Rhein-Pfalz",1460.7695,2922,733806,"Lambsheim-Heßheim"
"336","E30873010003403410000000S00100002","Vestas Deutschland GmbH","V-80",2000,"29.12.2002",7338013,"49,581253","8,29175",100,80,733806013,67259,"Heuchelheim",2012,"2002-12-27","11YR00000001247S",10000873,2508602.28,7338,"Rhein-Pfalz",1246.82021868787,2509,733806,"Lambsheim-Heßheim"
"342","E31060010000000094100991100100155","ENERCON GmbH","E-82",2000,"18.10.2006",7315000,"49,93926","8,24093",108,82,731500000,55129,"Mainz",2000,"2006-10-18","11YR00000001258N",10003079,3792315.81,7315,"Mainz",1896.157905,3792,731500,"Mainz"
"343","E31060010000000094100992100100378","ENERCON GmbH","E-82",2000,"08.11.2006",7315000,"49,93844","8,24408",108,82,731500000,55129,"Mainz",2000,"2006-11-08","11YR00000001258N",10003079,3366844,7315,"Mainz",1683.422,3367,731500,"Mainz"
"344","E31060010000000094100993300100653","ENERCON GmbH","E-82 E2",2000,"22.01.2010",7339032,"49,94255","8,23876",108,82,731500000,55129,"Mainz",2000,"2010-01-22","11YR00000001258N",10003079,3656756.7,7315,"Mainz",1828.37835,3657,731500,"Mainz"
"345","E31102010000000000001008269700001","ENERCON GmbH","E-40/5.40",500,"07.08.1998",7143202,"50,6237","7,8508",65,40.3,714302202,57642,"Alpenrod",500,"1998-08-07","11YR000000018725",10001102,535739.72,7143,"Westerwald",1071.47944,536,714302,"Hachenburg"
"346","E31102010000000000001008269700002","ENERCON GmbH","E-40/5.40",500,"13.08.1998",7143202,"50,6196","7,8544",65,40.3,714302202,57642,"Alpenrod",500,"1998-08-13","11YR000000018725",10001102,535739.72,7143,"Westerwald",1071.47944,536,714302,"Hachenburg"
"347","E31102010000000000001008269700003","ENERCON GmbH","E-40/6.44 E1",600,"22.09.2000",7143202,"50,6208","7,8527",65,44,714302202,57642,"Alpenrod",600,"2000-09-22","11YR000000018725",10001102,630752.03,7143,"Westerwald",1051.25338333333,631,714302,"Hachenburg"
"349","E31102010000000000001273901400001","Fuhrländer AG","FL 250",250,"17.01.1995",7143220,"50,519482","7,882494",41.5,NA,714308220,56244,"Ettinghausen",250,"1995-01-16","11YR000000018725",10001102,202306,7143,"Westerwald",809.224,202,714308,"Wallmerod"
"350","E31102010000000000001273977400001","NEG Micon Deutschland GmbH","M570 200/40",200,"26.11.1993",7143295,"50,670606","8,043634",36,27,714306295,56479,"Stein-Neukirch",200,"1993-11-12","11YR000000018725",10001102,194819.88,7143,"Westerwald",974.0994,195,714306,"Rennerod"
"351","E31102010000000000001274022500001","Fuhrländer AG","FL 1000",1000,"04.12.2001",7143220,"50,530817","7,878062",70,54,714308232,56244,"Hahn am See",1000,"2001-12-04","11YR000000018725",10001102,971282,7143,"Westerwald",971.282,971,714308,"Wallmerod"
"352","E31102010000000000001274253800001","Fuhrländer AG","FUH15 G1 D250",250,"29.11.1994",7143225,"50,694","7,725945",42,30,714302250,57612,"Kroppach",250,"1994-11-29","11YR000000018725",10001102,158788.4,7143,"Westerwald",635.1536,159,714302,"Hachenburg"
"354","E31102010000000000001274308900001","Vestas Deutschland GmbH","V44",600,"13.05.1996",7143222,"50,65","8,00336",53,44,714301222,56472,"Fehl-Ritzhausen",600,"1996-05-13","11YR000000018725",10001102,64294.91,7143,"Westerwald",107.158183333333,64,714301,"Bad Marienberg"
"356","E31102010000000000001274362300001","Fuhrländer AG","FL 800",800,"09.07.1998",7143248,"50","7",70,48,714301248,57629,"Kirburg",800,"1998-07-09","11YR000000018725",10001102,930300,7143,"Westerwald",1162.875,930,714301,"Bad Marienberg"
"358","E31102010000000000001274402600001","AN-Maschinenbau- und Umweltschutzanlagen GmbH","150/30 - 50Hz",150,"26.04.1991",7143253,"50,704533","7,944676",30,23,714301253,57520,"Langenbach bei Kirburg",150,"1991-04-26","11YR000000018725",10001102,148635.43,7143,"Westerwald",990.902866666667,149,714301,"Bad Marienberg"
"359","E31102010000000000001274404200001","ENERCON GmbH","E-40/5.40",500,"24.09.1997",7143253,"50,705","7,9496",65,40.3,714301253,57520,"Langenbach bei Kirburg",500,"1997-09-24","11YR000000018725",10001102,740397.5,7143,"Westerwald",1480.795,740,714301,"Bad Marienberg"
"360","E31102010000000000001274406900001","AN-Maschinenbau- und Umweltschutzanlagen GmbH","AN Bonus 600/41",600,"06.04.1995",7143253,"50,708","7,9456",50,41,714301253,57520,"Langenbach bei Kirburg",600,"1995-04-06","11YR000000018725",10001102,592103.49,7143,"Westerwald",986.83915,592,714301,"Bad Marienberg"
"361","E31102010000000000001274407700001","ENERCON GmbH","E-40/5.40",500,"25.02.1997",7143253,"50,707","7,947",65,40.3,714301253,57520,"Langenbach bei Kirburg",500,"1997-02-25","11YR000000018725",10001102,725955,7143,"Westerwald",1451.91,726,714301,"Bad Marienberg"
"362","E31102010000000000001274409300001","Fuhrländer AG","Fuhrländer FL250",250,"26.10.1998",7143253,"50,270108","7,97512",41.5,NA,714301253,57520,"Langenbach bei Kirburg",250,"1998-10-26","11YR000000018725",10001102,213145,7143,"Westerwald",852.58,213,714301,"Bad Marienberg"
"363","E31102010000000000001274439500001","ENERCON GmbH","E58",950,"03.12.2003",7143243,"50,668215","8,032498",89,58,714301243,56472,"Hof",950,"2003-11-24","11YR000000018725",10001102,2398495.5,7143,"Westerwald",2524.73210526316,2398,714301,"Bad Marienberg"
"365","E31102010000000000001274441700001","Vestas Deutschland GmbH","V39",500,"15.12.1994",7143243,"50,6671","8,0304",53,39,714301243,56472,"Hof",500,"1994-12-12","11YR000000018725",10001102,676070.97,7143,"Westerwald",1352.14194,676,714301,"Bad Marienberg"
"366","E31102010000000000001274442500001","ENERCON GmbH","E-40",500,"19.09.1997",7143243,"50,664279","8,010153",65,40,714301243,56472,"Hof",500,"1997-09-19","11YR000000018725",10001102,668465.5,7143,"Westerwald",1336.931,668,714301,"Bad Marienberg"
"367","E31102010000000000001274443300001","ENERCON GmbH","E40",500,"07.03.1996",7143243,"50,6675","8,0347",65,40,714306291,56479,"Salzburg",500,"1996-03-06","11YR000000018725",10001102,829245.25,7143,"Westerwald",1658.4905,829,714306,"Rennerod"
"368","E31102010000000000001274444100001","Nordex SE","Nordex N29",250,"27.09.1995",7143291,"50,67083","8,05378",50,29,714306291,56479,"Salzburg",250,"1995-09-28","11YR000000018725",10001102,298593.53,7143,"Westerwald",1194.37412,299,714306,"Rennerod"
"369","E31102010000000000001274446800001","ENERCON GmbH","E-40/5.40",500,"11.03.1996",7143291,"50,67","8,051",48,40.3,714306291,56479,"Salzburg",500,"1996-03-11","11YR000000018725",10001102,731240.75,7143,"Westerwald",1462.4815,731,714306,"Rennerod"
"370","E31102010000000000001274448400001","Fuhrländer AG","Astos 100",100,"25.02.1992",7143243,"50,669854","8,020838",33,21,714301243,56472,"Hof",100,"1993-02-25","11YR000000018725",10001102,73006.5,7143,"Westerwald",730.065,73,714301,"Bad Marienberg"
"371","E31102010000000000001274448400002","Fuhrländer AG","Astos 100",100,"25.02.1993",7143243,"50,670973","8,022326",33,21,714301243,56472,"Hof",100,"1993-02-25","11YR000000018725",10001102,73006.5,7143,"Westerwald",730.065,73,714301,"Bad Marienberg"
"372","E31102010000000000001274449200001","ENERCON GmbH","E-40/5.40",500,"18.09.1997",7143243,"50,6683","8,0301",65,40.3,714301243,56472,"Hof",500,"1997-09-18","11YR000000018725",10001102,807690.5,7143,"Westerwald",1615.381,808,714301,"Bad Marienberg"
"374","E31102010000000000001277342500001","ENERCON GmbH","E-66",1800,"31.12.2003",7143252,"50,727294","7,797876",114,70,714302252,57629,"Kundert",1800,"2003-12-30","11YR000000018725",10001102,2409202,7143,"Westerwald",1338.44555555556,2409,714302,"Hachenburg"
"375","E31102010000000000001277342500002","ENERCON GmbH","E-66",1800,"19.12.2003",7143252,"50,727333","7,803342",114,70,714302252,57629,"Kundert",1800,"2003-12-19","11YR000000018725",10001102,2409202,7143,"Westerwald",1338.44555555556,2409,714302,"Hachenburg"
"376","E31102010000000000001278035900001","ENERCON GmbH","E-66/18.70",1800,"30.03.2004",7143222,"50,653402","8,005816",85,70,714301222,56472,"Fehl-Ritzhausen",1800,"2004-03-30","11YR000000018725",10001102,2821749,7143,"Westerwald",1567.63833333333,2822,714301,"Bad Marienberg"
"377","E31102010000000000001279811800001","ENERCON GmbH","E-58/10.58",1000,"09.07.2004",7143242,"50,6265","7,9964",70,58.6,714309242,56462,"HÃ¶hn",1000,"2004-07-09","11YR000000018725",10001102,1459338,7143,"Westerwald",1459.338,1459,714309,"Westerburg"
"378","E31102010000000000002000196200001","Fuhrländer AG","FL MD 77",1500,"17.12.2004",7143302,"50,654519","8,099289",100,77,714306302,56477,"Waigandshain",1500,"2004-12-17","11YR000000018725",10001102,2819228.75,7143,"Westerwald",1879.48583333333,2819,714306,"Rennerod"
"379","E31102010000000000002000196200002","Fuhrländer AG","FL MD 77",1500,"17.12.2004",7143302,"50,653786","8,101897",100,77,714306302,56477,"Waigandshain",1500,"2004-12-17","11YR000000018725",10001102,2819228.75,7143,"Westerwald",1879.48583333333,2819,714306,"Rennerod"
"380","E31102010000000000002000196200003","Fuhrländer AG","FL MD 77",1500,"17.12.2004",7143302,"50,653028","8,105739",100,77,714306302,56477,"Waigandshain",1500,"2004-12-17","11YR000000018725",10001102,2819228.75,7143,"Westerwald",1879.48583333333,2819,714306,"Rennerod"
"381","E31102010000000000002000196200004","Fuhrländer AG","FL MD 77",1500,"17.12.2004",7143302,"50,652394","8,109406",100,77,714306302,56477,"Waigandshain",1500,"2004-12-17","11YR000000018725",10001102,2819228.75,7143,"Westerwald",1879.48583333333,2819,714306,"Rennerod"
"382","E31102010000000000002000196200005","Fuhrländer AG","FL MD 77",1500,"17.12.2004",7143302,"50,651914","8,113228",100,77,714306302,56477,"Waigandshain",1500,"2004-12-17","11YR000000018725",10001102,2819228.75,7143,"Westerwald",1879.48583333333,2819,714306,"Rennerod"
"383","E31102010000000000002000196200006","Fuhrländer AG","FL MD 77",1500,"17.12.2004",7143302,"50,65025","8,117819",100,77,714306244,56479,"Homberg",1500,"2004-12-17","11YR000000018725",10001102,2819228.75,7143,"Westerwald",1879.48583333333,2819,714306,"Rennerod"
"384","E31102010000000000002000196200007","Fuhrländer AG","FL MD 77",1500,"17.12.2004",7143302,"50,651444","8,100603",100,77,714306302,56477,"Waigandshain",1500,"2004-12-17","11YR000000018725",10001102,2819228.75,7143,"Westerwald",1879.48583333333,2819,714306,"Rennerod"
"385","E31102010000000000002000196200008","Fuhrländer AG","FL MD 77",1500,"17.12.2004",7143302,"50,650856","8,104069",100,77,714306302,56477,"Waigandshain",1500,"2004-12-17","11YR000000018725",10001102,2819228.75,7143,"Westerwald",1879.48583333333,2819,714306,"Rennerod"
"386","E31102010000000000002000196200009","Fuhrländer AG","FL MD 77",1500,"17.12.2004",7143302,"50,649344","8,104439",100,77,714306302,56477,"Waigandshain",1500,"2004-12-17","11YR000000018725",10001102,2819228.75,7143,"Westerwald",1879.48583333333,2819,714306,"Rennerod"
"387","E31102010000000000002000196200010","Fuhrländer AG","FL MD 77",1500,"17.12.2004",7143302,"50,650878","8,106461",100,77,714306302,56477,"Waigandshain",1500,"2004-12-17","11YR000000018725",10001102,2819228.75,7143,"Westerwald",1879.48583333333,2819,714306,"Rennerod"
"388","E31102010000000000002000196200011","Fuhrländer AG","FL MD 77",1500,"17.12.2004",7143302,"50,650183","8,107217",100,77,714306302,56477,"Waigandshain",1500,"2004-12-17","11YR000000018725",10001102,2819228.75,7143,"Westerwald",1879.48583333333,2819,714306,"Rennerod"
"389","E31102010000000000002000196200012","Fuhrländer AG","FL MD 77",1500,"17.12.2004",7143302,"50,650742","8,107611",100,77,714306302,56477,"Waigandshain",1500,"2004-12-17","11YR000000018725",10001102,2819228.75,7143,"Westerwald",1879.48583333333,2819,714306,"Rennerod"
"390","E31102010000000000002000219900001","ENERCON GmbH","E-40/6.44 E3",600,"20.06.2002",7143202,"50,6223","7,8513",65,44,714302202,57642,"Alpenrod",600,"2002-06-20","11YR000000018725",10001102,628332,7143,"Westerwald",1047.22,628,714302,"Hachenburg"
"391","E31102010000000000002000249400001","ENERCON GmbH","E-70 E4",2000,"13.06.2006",7143025,"50,615968","7,765482",113,70,714307025,56244,"Hartenfels",2000,"2006-06-13","11YR000000018725",10001102,3161022.66,7143,"Westerwald",1580.51133,3161,714307,"Selters (Westerwald)"
"392","E31102010000000000002000249400002","ENERCON GmbH","E-70 E4",2000,"01.09.2006",7143025,"50,610827","7,772412",113,70,714307025,56244,"Hartenfels",2000,"2006-09-01","11YR000000018725",10001102,2971405.68,7143,"Westerwald",1485.70284,2971,714307,"Selters (Westerwald)"
"393","E31102010000000000002000249400003","ENERCON GmbH","E-70 E4",2000,"01.09.2006",7143025,"50,612453","7,770576",113,70,714307025,56244,"Hartenfels",2000,"2006-08-17","11YR000000018725",10001102,2756309.68,7143,"Westerwald",1378.15484,2756,714307,"Selters (Westerwald)"
"394","E31102010000000000002000249400004","ENERCON GmbH","E-70 E4",2000,"25.09.2006",7143025,"50,61453","7,768996",113,70,714307025,56244,"Hartenfels",2000,"2006-09-25","11YR000000018725",10001102,2749287.66,7143,"Westerwald",1374.64383,2749,714307,"Selters (Westerwald)"
"396","E31102010000000000002000249400006","ENERCON GmbH","E-70 E4",2000,"14.08.2006",7143241,"50,616703","7,761902",114,70,714302241,57629,"HÃ¶chstenbach",2000,"2006-08-14","11YR000000018725",10001102,2808163.7,7143,"Westerwald",1404.08185,2808,714302,"Hachenburg"
"397","E31102010000000000002000249400007","ENERCON GmbH","E-70 E4",2000,"01.09.2006",7143268,"50,606557","7,759739",113,70,714302268,56271,"MÃ¼ndersbach",2000,"2006-06-29","11YR000000018725",10001102,2807601.67,7143,"Westerwald",1403.800835,2808,714302,"Hachenburg"
"398","E31102010000000000002000249400008","ENERCON GmbH","E-70 E4",2000,"06.07.2006",7143268,"50,611068","7,764593",113,70,714302268,56271,"MÃ¼ndersbach",2000,"2006-07-06","11YR000000018725",10001102,3181449.68,7143,"Westerwald",1590.72484,3181,714302,"Hachenburg"
